iteration,true_perf_mean,true_perf_std,mc_perf_mean,mc_perf_std,bound_mean,bound_std,alpha_mean,alpha_std,beta_mean,beta_std,cum_samples_mean
0,0.04566716192723773,6.348935454647748e-05,0.044166578879175335,0.0032820887452439185,3.063859052707872e-06,3.1019034400927404e-07,0.0015383171212419032,7.744145704220904e-05,0.0001,0.0,7595.2
1,0.0460033127400899,5.1749825649353176e-05,0.043007498148071296,0.0031538098210618613,2.6327734773581864e-06,5.576232697222444e-07,0.0014239925907634024,0.00015329745025086192,0.0,0.0,15211.2
2,0.04639912197601247,5.9212949121558245e-05,0.04616734412115479,0.004434228071666888,3.0012300328037282e-06,1.7489618781413254e-07,0.0015267125350213362,4.5255536336759726e-05,0.0,0.0,22781.4
3,0.04678387589605986,8.402254090424909e-05,0.04370568391010869,0.006927849137342416,2.7499531278343684e-06,7.589843057856472e-07,0.0014508320796044324,0.00020011548299699578,0.0,0.0,30378.4
4,0.04716761057088018,6.330621892329944e-05,0.04820337737268794,0.005182886796290155,3.1499351744578976e-06,4.093535289893293e-07,0.0015611533622123023,0.00010154874503508576,0.0,0.0,37941.0
5,0.047581373848997986,0.00011837773207954764,0.04869273116779716,0.0039971980407260445,3.288583993248143e-06,5.058945903768362e-07,0.0015952540723545273,0.00012020879043144093,0.0,0.0,45499.0
6,0.04800351260773605,9.273998561621148e-05,0.04735749074187382,0.005170448073480619,3.2672021366165527e-06,3.486363814872295e-07,0.0015927091219075356,8.547906894319309e-05,0.0,0.0,53054.4
7,0.04842348261493904,0.0001037252673857474,0.04894644571568122,0.006909496290268414,3.2683703385754006e-06,7.489701022195121e-07,0.0015874420891758376,0.00018207815524919787,0.0,0.0,60604.6
8,0.04877850839804425,7.78634541744081e-05,0.043025432957057894,0.006456278993648388,2.7623907403317746e-06,4.1666745429927174e-07,0.0014665636612283069,0.00010734707516034392,0.0,0.0,68187.6
9,0.04919005551846643,0.00010383754449199593,0.04662323692963042,0.004606753566366539,3.0485893486121764e-06,4.150285370370152e-07,0.0015395945384255303,0.00010068328041310315,0.0,0.0,75735.4
10,0.049626555979685,9.02261565661359e-05,0.05368124858804696,0.007608666608794429,3.5145276682380908e-06,4.956518380262204e-07,0.0016527492789377943,0.00011291707764205114,0.0,0.0,83243.8
11,0.050058335749453974,9.071864172776706e-05,0.047961894645882144,0.0043563637662891565,3.336137913971252e-06,5.306551340516824e-07,0.0016112878479220363,0.00013163018671152698,0.0,0.0,90810.4
12,0.0505110546397452,0.0001049843526394582,0.050968824230957034,0.007459233239738661,3.45530364829367e-06,4.620391553112052e-07,0.0016377751429032799,0.00011040105580870568,0.0,0.0,98335.0
13,0.05098068525248063,0.00013849423499146205,0.054146922803897046,0.00610609574264772,3.618691274485196e-06,5.122526118061459e-07,0.0016786883305568551,0.00011504768036905023,0.0,0.0,105833.4
14,0.05142735129947076,0.00014503888621444417,0.051782671862011444,0.00440643104560046,3.608135715404822e-06,4.5946936767508267e-07,0.0016762795938115524,0.00010840673958354873,0.0,0.0,113361.0
15,0.051890289448987346,0.00019211729402900468,0.052229413475737105,0.0038791421834380073,3.399065432535568e-06,5.937500814586823e-07,0.0016235675868864219,0.00014494466683353838,0.0,0.0,120868.8
16,0.052365634602007605,0.00020827768573725678,0.05627632379375338,0.00607415554349772,3.4899373751569975e-06,4.1279176503247247e-07,0.0016522546811506879,9.539890732174879e-05,0.0,0.0,128349.4
17,0.0528363461173008,0.00023979292441644648,0.05596646132781852,0.007863197362510071,3.826302591796543e-06,5.520559579985681e-07,0.0017245541760643117,0.00012519497580802384,0.0,0.0,135836.2
18,0.05333117467580911,0.000284580882762521,0.05438036715120513,0.003930135381938773,3.5625081720101095e-06,7.887990175139905e-07,0.001659960376271214,0.00017810496780707287,0.0,0.0,143324.4
19,0.053750182330465544,0.00024727351525797106,0.04842416503115653,0.0036712822038695017,3.1541125790668538e-06,3.12600955731465e-07,0.001570138658571201,7.422336020267217e-05,0.0,0.0,150885.6
20,0.05421212919435816,0.00024824428234917383,0.053927478545538775,0.007751816429078743,3.4407956030960294e-06,5.475903931865079e-07,0.0016402423698403997,0.00012677731861759233,0.0,0.0,158391.0
21,0.05461317865452381,0.00018598503642923225,0.05563740270868963,0.007552204343773855,3.345021791290434e-06,6.281520164716478e-07,0.0015789700232020094,0.00019129365668470747,0.0,0.0,165877.4
22,0.05506850970201962,0.0001612027766850304,0.053951747729478514,0.007643411972362758,3.2492207171675552e-06,5.82958784968404e-07,0.001590226522857715,0.0001420920535857055,0.0,0.0,173382.8
23,0.055554242360761376,0.00016160242559301884,0.051860958319517335,0.009024742404488507,3.318325851464972e-06,6.612456722486334e-07,0.0016145308335758584,0.00016037156364852241,0.0,0.0,180911.2
24,0.05601544427384061,0.00015611660422643886,0.05337623963107174,0.005596590043724876,3.4535618843019085e-06,5.037449667075749e-07,0.0016409230761285666,0.00011291303404415459,0.0,0.0,188430.0
25,0.05648503839838011,0.00014284535429469217,0.051435366369512,0.001778013362839303,3.364088916610649e-06,2.596817472163748e-07,0.0016245620175004323,6.200731167668574e-05,0.0,0.0,195973.0
26,0.056956027701929444,0.00013751264629084626,0.0568410530629805,0.004096315754310399,3.5369034263857438e-06,5.46138132208297e-07,0.0016648369286377726,0.00012293891856925517,0.0,0.0,203457.4
27,0.05740353877153115,0.00013688758198363777,0.058194323136087925,0.005458648272837984,3.4057334765625643e-06,3.661717933361247e-07,0.0016342483395071273,8.705073793697318e-05,0.0,0.0,210909.6
28,0.05792251877714322,0.00014579529930920583,0.060346040768844846,0.0015870451161885074,4.009465507398748e-06,3.044442981296643e-07,0.001771595224791531,6.804948282494062e-05,0.0,0.0,218370.6
29,0.05840679705721569,0.00011730057317174117,0.056363909877398664,0.0034595626545959454,3.7715318243853967e-06,3.942948386409386e-07,0.0017218526443795485,8.732080698751929e-05,2e-05,4e-05,225818.4
30,0.0588731600727145,0.00014261081195187186,0.05492857132405077,0.003677952995772498,3.495053488280869e-06,5.049252775338512e-07,0.0016545523092897137,0.00011830058063246736,2e-05,4e-05,233327.6
31,0.0594142116859334,0.00013468214603725223,0.06427050033235324,0.004248143079757071,3.962829248429169e-06,4.306558562659872e-07,0.0017710808952511475,9.510306566925688e-05,2e-05,4e-05,240704.8
32,0.05991421797684142,0.00016646712135849574,0.06224373946621638,0.003286332056886086,3.988311096272073e-06,7.053508595618404e-07,0.001766777104491362,0.00015292210916620374,2e-05,4e-05,248127.6
33,0.060425237577338996,0.00015765820256968845,0.06349130844809234,0.003915845519146578,3.707689180389559e-06,3.5314474942385816e-07,0.0017071427758216869,8.234163285460884e-05,2e-05,4e-05,255572.0
