iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.04676409865831363,0.04579204319376311,0.0020270558085157806,0.0001,5.3082622532204274e-06,0.005237411057870341,2.6595146036333327e-06,15158,0.04676409865831363
1,0.04380467286172572,0.046434251287022055,0.002087459015142801,0.0001,5.671376096956951e-06,0.005433760429130128,2.063143480105669e-06,15246,0.04380467286172572
2,0.03975793790434959,0.04700837106886445,0.0018852407946265012,0.0001,4.613550104442803e-06,0.004894388151999255,8.044163270218711e-07,15319,0.03975793790434959
3,0.048721736403865505,0.04764075802851471,0.0021088646726844748,0.0001,5.759521024556e-06,0.005462200679974811,1.3108632627609687e-05,15120,0.048721736403865505
4,0.04859856035582791,0.04830020214143646,0.0021436880106392,0.0001,5.937587176321755e-06,0.005539600116111391,8.881859927351064e-06,15100,0.04859856035582791
5,0.04864651673916791,0.04897241271208534,0.0021945526867366222,0.0001,6.22214260547818e-06,0.005670533811362468,1.567120259021508e-05,15112,0.04864651673916791
6,0.05151917020222406,0.04963764547379325,0.002292013903840569,0.0001,6.785303218852691e-06,0.005920822039938787,1.0825727276734755e-05,15015,0.05151917020222406
7,0.058611076429235645,0.05031212534508041,0.002279205382996685,0.0001,6.730926246554712e-06,0.005906379738104104,1.60117320336395e-05,14916,0.058611076429235645
8,0.044712702398123125,0.05082007714732045,0.001967599670566555,0.0001,5.014185409317408e-06,0.005096753658099171,8.052958313026793e-06,15179,0.044712702398123125
9,0.05005558702512396,0.05143601615950245,0.0020534952181180265,0.0001,5.448458913449778e-06,0.005306522133947939,1.4745152321293738e-05,15014,0.05005558702512396
10,0.051096986633847714,0.05206762902289385,0.0020947602012829918,0.0001,5.673433906616396e-06,0.00541678603893806,1.1246865827485744e-05,15073,0.051096986633847714
11,0.052861403772969114,0.05271962640041096,0.002168777218590116,0.0001,6.0820190301815185e-06,0.005608707965067367,1.952866748032389e-05,15101,0.052861403772969114
12,0.04712414170318481,0.053303295034085624,0.0019240248621464754,0.0001,4.773490046944059e-06,0.004961983746528797,1.1306374977977224e-05,15161,0.04712414170318481
13,0.05317244600107501,0.05394462196049326,0.0021133550365872644,0.0001,5.7378630823567985e-06,0.005430098571248628,4.302607298711592e-05,15003,0.05317244600107501
14,0.05024995356476446,0.05456360377392621,0.001965724565042329,0.0001,4.979699186725435e-06,0.005066527910656905,2.4556719371022298e-05,15061,0.05024995356476446
15,0.053613121173947856,0.05522914678400791,0.0021435684239652195,0.0001,5.8722910677130505e-06,0.005478986350107134,2.6403282608781542e-05,15052,0.053613121173947856
16,0.05206009030847223,0.05581206781303893,0.0017616585017909533,0.0001,4.920267926464178e-06,0.0055859497416350466,2.8028273524164818e-05,15031,0.05206009030847223
