iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.0028061087044820234,0.0028118710968075187,0.0002186843314866524,0.0001,6.000709446430032e-08,0.0005488010417240423,3.245635975668079e-21,63633,0.0028061087044820234
1,0.002687349628544448,0.002819069312900235,0.00020561649834112213,0.0001,5.186428044882025e-08,0.0005044758651883695,1.2489770237786503e-21,63563,0.002687349628544448
2,0.0018754446890366329,0.002824719262420334,0.0001750350344703052,0.0001,3.217959755736017e-08,0.000367693218157642,1.3951799162416352e-21,63628,0.0018754446890366329
3,0.00264098367440005,0.00283091170382442,0.00019346595353437378,0.0001,4.607764394588361e-08,0.00047633852989742534,5.746468699509713e-22,63638,0.00264098367440005
4,0.002614313004169691,0.0028385641484639005,0.0002205160774951408,0.0001,5.8871272922930744e-08,0.0005339408680913799,4.979720053271011e-22,63667,0.002614313004169691
5,0.0030891117153745906,0.0028464925531441056,0.00023216155820695753,0.0001,6.756900843314495e-08,0.0005820861037890814,9.366772451467588e-22,63561,0.0030891117153745906
6,0.003295151757596212,0.0028548959387447513,0.00023472516790762655,0.0001,6.75168219634506e-08,0.0005752840444448727,9.995174355273998e-22,63591,0.003295151757596212
7,0.002266922192240271,0.00286159523738469,0.0001966874331962404,0.0001,4.545870843292704e-08,0.0004622431407457704,5.459705693910623e-22,63629,0.002266922192240271
8,0.003438056236111115,0.002870203348278084,0.00026083191100134136,0.0001,8.097744436444083e-08,0.000620916697298011,7.200988303086256e-22,63477,0.003438056236111115
9,0.003213891953714891,0.0028779981137028424,0.00023252733053773122,0.0,6.793855834701802e-08,0.0005843490155751298,-7.102409115233821e-07,63582,0.003213891953714891
10,0.0030764274857978434,0.0028859704014278812,0.00023194304897805295,0.0,6.70585416459571e-08,0.0005782328200083491,-6.211454142083385e-07,63577,0.0030764274857978434
11,0.002656769878069622,0.0028939005034304436,0.000225161475597244,0.0,6.161434651396796e-08,0.0005472903066613419,-7.160494294822174e-07,63602,0.002656769878069622
12,0.0028407168563008346,0.0029022266597963156,0.00023671084872142187,0.0,6.521090176508395e-08,0.0005509751844270455,-4.3898580374465606e-07,63642,0.0028407168563008346
13,0.0029303442531171033,0.0029099465748233483,0.00021958641849628122,0.0,5.939356773459629e-08,0.0005409584813243095,-5.730547916055165e-07,63633,0.0029303442531171033
14,0.0028582204510985603,0.002917328940671955,0.00021645486121857067,0.0,5.675048120741376e-08,0.0005243631941359686,-7.635146255367785e-07,63588,0.0028582204510985603
15,0.0032441014002325217,0.0029249767476507526,0.0002117973430761569,0.0,5.482875268116402e-08,0.0005177473133971185,-6.304465984640757e-07,63634,0.0032441014002325217
16,0.0031110283380590704,0.0029339639368267663,0.00024873508396472074,0.0,7.708636183494146e-08,0.0006198270111817034,-5.639924231596178e-07,63585,0.0031110283380590704
17,0.002333590833060497,0.002940958012249588,0.0001947441687620104,0.0,4.677639788776703e-08,0.0004803881747538303,-5.721618167970595e-07,63569,0.002333590833060497
18,0.002399533322993841,0.002947137340479433,0.00018293662247482147,0.0,4.020480667125647e-08,0.0004395490211566585,-5.238230327596048e-07,63666,0.002399533322993841
19,0.0034394994632287903,0.0029566872116936886,0.00026109332095641976,0.0,8.434405702645767e-08,0.0006460836050305239,-2.236386706534584e-05,63522,0.0034394994632287903
20,0.0028370392526946404,0.0029634727378994603,0.00020614897940331888,0.0,5.2204904970431485e-08,0.0005064774525834108,-1.359421399565049e-05,63609,0.0028370392526946404
21,0.002962345002573391,0.002971420088261739,0.00022183044990725062,0.0,6.155088323937733e-08,0.0005549362881886802,-1.7755015934090373e-05,63538,0.002962345002573391
22,0.0026781668626625734,0.002978348385733295,0.00020431014292542738,0.0,5.1708429811749786e-08,0.0005061758468900216,-1.519751304007921e-05,63601,0.0026781668626625734
23,0.002756114357733611,0.002986125054087494,0.0002205143837305602,0.0,6.062985545848555e-08,0.0005498947908320331,-1.6949658893633207e-05,63701,0.002756114357733611
24,0.003048070805337366,0.0029933877523174945,0.00021745772952058324,0.0,5.660212823400266e-08,0.0005205805133603682,-1.782260460097296e-05,63575,0.003048070805337366
25,0.0024253718968775696,0.0029987379255680367,0.0001869692276173042,0.0,4.322336948683955e-08,0.00046235811141404293,-1.3702468148018319e-05,63627,0.0024253718968775696
26,0.003180568286016215,0.0030076270438416956,0.0002517188481867712,0.0,7.693710904013341e-08,0.0006112939860828169,-1.2096729529175121e-05,63561,0.003180568286016215
27,0.0033947025584677507,0.003017971724794564,0.0002822696293813176,0.0,9.813771699863466e-08,0.000695347333071108,-2.1045577990475278e-05,63615,0.0033947025584677507
28,0.002359130865655013,0.003024350780978047,0.00018989350213465895,0.0,4.384060083145607e-08,0.0004617388203243251,-1.3713569686728957e-05,63699,0.002359130865655013
29,0.0028055562852616935,0.0030315373648573504,0.00021054690931311207,0.0,5.4714150611425106e-08,0.00051973359086509,-1.561993576319448e-05,63551,0.0028055562852616935
30,0.0032412062133768773,0.0030395733406797243,0.0002272054698896819,0.0,6.348357325445529e-08,0.0005588208178727327,-1.5005722724406984e-05,63575,0.0032412062133768773
31,0.002485809834055279,0.0030474469262880073,0.000211870002736912,0.0,5.18137163117699e-08,0.000489108563198625,-1.33350280387305e-05,63476,0.002485809834055279
32,0.002698700188872649,0.0030545304169855244,0.0002023359431059966,0.0,5.1333634345900625e-08,0.0005074099397061525,-1.5335345850712657e-05,63661,0.002698700188872649
33,0.0034008166978949476,0.003063741465729539,0.0002489753609316589,0.0,7.757613935788014e-08,0.0006231631842411425,-1.9680118609867704e-05,63596,0.0034008166978949476
34,0.003965485195740114,0.003074026549827565,0.00028223397862694403,0.0,9.789176228268145e-08,0.0006936922532072191,-1.8093906973987983e-05,63560,0.003965485195740114
35,0.003809816298747765,0.003083628167488482,0.0002608059841038982,0.0,8.427206260506735e-08,0.0006462433206401855,-2.0967759264443548e-05,63514,0.003809816298747765
36,0.003278509943656774,0.0030932499771767507,0.00025183634678409115,0.0,7.714173685062152e-08,0.0006126338619163504,-1.62685356581947e-05,63581,0.003278509943656774
37,0.0027760343547846714,0.0031008488816921744,0.0002221409026655043,0.0,6.124437725632082e-08,0.0005514011739525654,-1.041690605028382e-05,63708,0.0027760343547846714
38,0.003156069068547004,0.0031085386362667547,0.0002170758880549372,0.0,5.7334556473910806e-08,0.0005282443571936527,-1.4547278970652627e-05,63526,0.003156069068547004
39,0.0036579656827692634,0.0031187601689093057,0.0002777495735484782,0.0,9.177469886865291e-08,0.0006608449308933657,-1.5460753828940978e-05,63381,0.0036579656827692634
40,0.0030555039248561576,0.0031254198877496047,0.00021582711958874608,0.0,5.5788653750500946e-08,0.0005169753815628455,-1.5299655743278152e-05,63668,0.0030555039248561576
41,0.0036456809412206675,0.0031350888369193076,0.0002550117184097821,0.0,8.185866978015059e-08,0.0006419992798025905,-2.367012940701481e-05,63641,0.0036456809412206675
42,0.003997391107858259,0.003144504047081539,0.0002746290299612987,0.0,8.931331491726338e-08,0.0006504287979304271,-1.5278570772489834e-05,63592,0.003997391107858259
43,0.003297061812835344,0.003153708131708763,0.0002452812941057483,0.0,7.404785071112915e-08,0.0006037790283282249,-1.9098134109147804e-05,63565,0.003297061812835344
44,0.0024189618348209943,0.0031601364914611283,0.00018117527956972205,0.0,4.1024747538421046e-08,0.00045287356681167313,-1.3977755442249497e-05,63605,0.0024189618348209943
45,0.003163346835315004,0.0031687731465046896,0.00022982434175892072,0.0,6.591373382614093e-08,0.0005736009799630587,-1.4851542226061943e-05,63487,0.003163346835315004
46,0.002780394776493947,0.003175772438607332,0.00019704789071896454,0.0,4.800102620614138e-08,0.0004872016242447562,-8.724274648390346e-06,63476,0.002780394776493947
47,0.0026663603100424873,0.0031833545538317264,0.00022020586092608513,0.0,5.9222862464789864e-08,0.0005378863415871457,-1.547952080170628e-05,63630,0.0026663603100424873
48,0.0019143528793391356,0.0031892817187795905,0.00015238430387872758,0.0,2.7991238296893262e-08,0.000367376922483691,-1.1774397489527783e-05,63674,0.0019143528793391356
49,0.002833692365481119,0.003197216483130044,0.00021162832282264606,0.0,5.44556243315532e-08,0.0005146345593561164,-1.3987948511692353e-05,63590,0.002833692365481119
50,0.0027648672414008583,0.0032047519514821956,0.0002163331613074783,0.0,5.8373921861778654e-08,0.0005396668870271879,-1.7380692927088626e-05,63651,0.0027648672414008583
51,0.0030705052148544626,0.003212230597097787,0.00020733954352691086,0.0,5.25164841660376e-08,0.000506574706133868,-1.8651811579964933e-05,63582,0.0030705052148544626
52,0.0026695721177554593,0.00322043159968948,0.00022189871352147557,0.0,5.931380549437739e-08,0.0005346025179964547,-1.395473465866421e-05,63587,0.0026695721177554593
53,0.0037526213903174973,0.0032302912497491135,0.00026258157139593573,0.0,8.393490490885587e-08,0.0006393053744224412,-2.2349774302966958e-05,63598,0.0037526213903174973
54,0.0036281878535180086,0.003238396427238649,0.0002379701292338643,0.0,6.731004816490305e-08,0.0005657016566037523,-8.875170654931435e-06,63455,0.0036281878535180086
55,0.0027822397804848982,0.0032455841342802945,0.00021380094205438385,0.0,5.6727665420191154e-08,0.0005306587040740121,-1.3770987158806043e-05,63632,0.0027822397804848982
56,0.0034842499136944318,0.0032545765156808885,0.0002537018364063029,0.0,7.973110322832893e-08,0.0006285417902978025,-8.912236994917921e-06,63578,0.0034842499136944318
57,0.004212212317097732,0.0032655357190936093,0.0002879530496121499,0.0,1.0252113694118792e-07,0.000712068422815982,-1.5767262988271734e-05,63546,0.004212212317097732
58,0.0030640432890847212,0.0032737004230548004,0.00022257015820799676,0.0,5.9598143637533024e-08,0.0005355447838774254,-1.2596825114557685e-05,63634,0.0030640432890847212
59,0.0029263409745282406,0.003281672282978747,0.00021478224205034432,0.0,5.7518795816692146e-08,0.0005356010372888269,-1.493747026738448e-06,63595,0.0029263409745282406
60,0.0029753615889375105,0.0032890306167951923,0.0001935065678132499,0.0,4.615860150861462e-08,0.00047707529548207943,-1.567536695759667e-06,63713,0.0029753615889375105
61,0.003625836368003959,0.003299226702394534,0.0002612259245513781,0.0,8.12958548814092e-08,0.0006224179703528613,-2.692489785059901e-06,63557,0.003625836368003959
62,0.0032157914251132297,0.003308464089267539,0.00023992878801183312,0.0,7.055054135005522e-08,0.0005880956756766989,-1.1958151207546444e-06,63639,0.0032157914251132297
63,0.002582462563834445,0.003315922430236159,0.00019717656977385556,0.0,4.776117904656332e-08,0.0004844508564211382,-1.7584229097337662e-06,63706,0.002582462563834445
64,0.0030895488986452174,0.0033253075141083358,0.00023642629934583247,0.0,6.913642840862199e-08,0.000584845498152409,-1.1817876585824768e-06,63613,0.0030895488986452174
65,0.0030364383868950367,0.003334603247272128,0.00023416813973274465,0.0,6.61381444299982e-08,0.0005648773954089693,-1.6281172342723725e-06,63494,0.0030364383868950367
66,0.003183252162946183,0.0033435360314176535,0.00023620826263700596,0.0,6.772323662130872e-08,0.0005734197090758227,-1.985387488583501e-06,63524,0.003183252162946183
67,0.0031682557463680525,0.003353354370628152,0.0002441525502373742,0.0,7.262727739138095e-08,0.0005949335963992185,-1.981548456896645e-06,63532,0.0031682557463680525
68,0.002251362552359046,0.0033604331584021346,0.00019120860517551775,0.0,4.4446714334793474e-08,0.0004649028666256324,-1.6840135989396885e-06,63714,0.002251362552359046
69,0.002687557811149012,0.003368180898036922,0.00021394677916487933,0.0,5.514403321447488e-08,0.0005154929971811148,-8.254393291925478e-07,63537,0.002687557811149012
70,0.0023421848681448184,0.003375611945117788,0.00019887047459602995,0.0,4.633941558792119e-08,0.0004660260974591777,-7.400277997528482e-07,63683,0.0023421848681448184
71,0.0037765155667913385,0.003385986587608782,0.0002737351022624104,0.0,8.976322080504579e-08,0.000655840044357893,-5.171064589679215e-07,63528,0.0037765155667913385
72,0.003918681048761252,0.003396102094123191,0.0002578276204592044,0.0,8.126758335200664e-08,0.0006304024619803329,-2.2330859423665136e-07,63532,0.003918681048761252
73,0.003960579508703369,0.0034073951404419234,0.0002786498124749702,0.0001,9.495057338938622e-08,0.000681504663836192,4.651876053901573e-07,63545,0.003960579508703369
74,0.00336528446061652,0.003416306395176443,0.00022519138160748435,0.0001,6.141756536044155e-08,0.0005454699458036479,4.482705534673229e-07,63600,0.00336528446061652
75,0.003091635205251704,0.0034253292355910163,0.00023589678646986992,0.0,6.770072073567819e-08,0.0005739859516426715,-5.88329078765668e-07,63573,0.003091635205251704
76,0.0032330155058696974,0.003435435642481748,0.00024896200766983675,0.0,7.624802619244309e-08,0.0006125274045312174,-2.308160322428576e-08,63614,0.0032330155058696974
77,0.0027329254818394206,0.0034435534025685256,0.00021660447660203487,0.0,5.498254782335974e-08,0.0005076769297282678,-3.2370414887134807e-09,63672,0.0027329254818394206
78,0.003601454517267397,0.003453697924312467,0.00025625165838165435,0.0001,8.07506775302072e-08,0.0006302451117013984,3.0063423933393293e-07,63442,0.003601454517267397
79,0.0030969818832839832,0.0034628927664232347,0.00022771892854296218,0.0,6.303757198028197e-08,0.0005536436727822482,-1.567480019972052e-06,63496,0.0030969818832839832
80,0.0030909251500475256,0.003473394202425074,0.00026018693302603353,0.0,7.890122387211987e-08,0.0006064964366540671,-4.039628527345184e-06,63562,0.0030909251500475256
81,0.003019182401298566,0.003481548000893719,0.00020922543856940584,0.0,5.332002810081147e-08,0.0005096897247809926,-3.6452798672028813e-06,63691,0.003019182401298566
82,0.0037115850705597437,0.0034915838818501727,0.00024356403019248394,0.0,7.171850142120975e-08,0.0005889088086162149,-3.6859607429953633e-06,63511,0.0037115850705597437
83,0.0036531977584538674,0.0035016288999195973,0.0002616174524241769,0.0,8.524970208306357e-08,0.0006517126536714594,-3.2774151257328032e-06,63622,0.0036531977584538674
84,0.003135987024198171,0.003510429200347527,0.000241973698609567,0.0,7.052624788771554e-08,0.0005829249070702689,-1.475660367811308e-06,63522,0.003135987024198171
85,0.0028322574351373306,0.0035194379390046764,0.00022785545775741304,0.0,6.13435795337693e-08,0.0005384429246288135,-3.909814938516518e-06,63556,0.0028322574351373306
