iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.35521834146727294,0.39861437867716104,0.0001,0.0001,5.095417132737557e-07,0.015066546818234142,0.009554363044102438,2000,0.35521834146727294
1,0.33650174733881577,0.398785086821976,0.0001,0.0001,4.952010136706827e-07,0.014852914663997963,0.007620678060279579,2000,0.33650174733881577
2,0.3411908903488017,0.398979626731203,0.0001,0.0001,6.455067609499392e-07,0.01695757486607986,0.010054613039593324,2000,0.3411908903488017
3,0.3996691635831935,0.3991980233954849,0.0001,0.0001,7.09136453043066e-07,0.01777189330008874,0.009641303200358154,2000,0.3996691635831935
4,0.42500909753497773,0.39939267861221556,0.0001,0.0001,7.053404096180812e-07,0.01772560446628981,0.01221806311387446,2000,0.42500909753497773
5,0.4367642589795696,0.39957547456345516,0.0001,0.0001,7.751873249503808e-07,0.01858235014213237,0.01145236005609062,2000,0.4367642589795696
6,0.35475202281344004,0.39974638594414824,0.0001,0.0001,5.514161673793919e-07,0.015672736882698,0.010997303877105766,2000,0.35475202281344004
7,0.5571511457548244,0.3999701684075283,0.00011264267134240548,0.0001,1.4128642859443843e-06,0.025085773785489006,0.01234341558298095,2000,0.5571511457548244
8,0.34930972363863066,0.4001650035068616,0.0001,0.0001,3.6566567448828765e-07,0.01276213483187309,0.009752697805731285,2000,0.34930972363863066
9,0.40585728809488664,0.40035986853428057,0.0001,0.0001,6.535329981697423e-07,0.017059597722830666,0.009637620398835204,2000,0.40585728809488664
10,0.43854218631400965,0.4005428545167299,0.0001,0.0001,5.519307445159116e-07,0.01567941852696994,0.01261272619347851,2000,0.43854218631400965
11,0.42151724020776854,0.4007378143581113,0.0001,0.0001,7.087565647702699e-07,0.017766587044391755,0.011518454321927097,2000,0.42151724020776854
12,0.37122480112530043,0.4009447577270822,0.0001,0.0001,6.107445669214004e-07,0.01649193567808651,0.009061673416571367,2000,0.37122480112530043
13,0.2954563162296443,0.40111591047596473,0.0001,0.0001,4.390518833242994e-07,0.013984677245104575,0.007926930201389215,2000,0.2954563162296443
14,0.364691693968868,0.4013110072163346,0.0001,0.0001,5.017273271415736e-07,0.014948182658742634,0.01044311442268633,2000,0.364691693968868
15,0.43601464169735765,0.40149420288689386,0.0001,0.0001,5.807409604348932e-07,0.016082442536894906,0.011536478436381597,2000,0.43601464169735765
16,0.4455952449822942,0.4016894140209698,0.0001,0.0001,7.21527431814892e-07,0.017924921699017334,0.0120518878134626,2000,0.4455952449822942
17,0.4364318818853067,0.4018607613053851,0.0001,0.0001,7.625159279926091e-07,0.018429350623361457,0.011868188795709446,2000,0.4364318818853067
18,0.4211326788164896,0.40205606197516425,0.0001,0.0001,6.028765473240123e-07,0.016383438151299706,0.01197415226362256,2000,0.4211326788164896
19,0.42112198284681795,0.4022393539976258,0.0001,0.0001,6.335028701001747e-07,0.016797340921877346,0.010439989914045428,2000,0.42112198284681795
20,0.388763539522878,0.4024586187306522,0.0001,0.0001,6.149546841777886e-07,0.016530575484596476,0.010972529408915148,2000,0.388763539522878
21,0.34035027418795794,0.40265402152220653,0.0001,0.0001,4.1984747379043975e-07,0.013672685285108316,0.009620227243743862,2000,0.34035027418795794
22,0.42096489571686974,0.4028494880992668,0.0001,0.0001,6.047891885673803e-07,0.016410040150042052,0.010150219484419675,2000,0.42096489571686974
23,0.37426631348559236,0.403045041873951,0.0001,0.0001,7.919123488832946e-07,0.018772837218938812,0.011222056412276072,2000,0.37426631348559236
24,0.3829217748520291,0.4032525955089886,0.0001,0.0001,7.516743214746095e-07,0.018289543529588476,0.010420949042216611,2000,0.3829217748520291
25,0.416903520711816,0.4034481822432525,0.0001,0.0001,6.165364986240785e-07,0.016568201165090703,0.010561154674363051,2000,0.416903520711816
26,0.4174747486443406,0.4036317836172179,0.0001,0.0001,6.674128066001271e-07,0.017236350616437787,0.009987596006205897,2000,0.4174747486443406
