# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;3.985493429397704012728809175314e-01;1.654166666666667673268875660142e-01;8.250000000000003164135620181696e-02;1.500000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.333333333333333259318465024990e+00;3.333333333333333703407674875052e-01;0.000000000000000000000000000000e+00;1.980736764695312690683082212928e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368165729981979272800e-06
1.000000000000000000000000000000e+00;3.986906650828928588836674862250e-01;1.654804697813211100676511478014e-01;8.248365892169129409694505739026e-02;1.500000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.333069235098040650200346135534e+00;3.332673087745101625500865338836e-01;0.000000000000000000000000000000e+00;1.981129174234414315816654728053e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368165729981979272800e-06
2.000000000000000000000000000000e+00;3.988319872260153164944540549186e-01;1.655442728959754528084147295885e-01;8.246731784338251491917048952018e-02;1.500000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.332805136862748041082227246079e+00;3.332012842156870102705568115198e-01;0.000000000000000000000000000000e+00;1.981521739287121135295738350024e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368153871520717712595e-06
3.000000000000000000000000000000e+00;3.989733093691378851275430861278e-01;1.656080760106297955491783113757e-01;8.245097676507377737475934509348e-02;1.500000000000000000000000000000e+00;1.500000000000000666133814775094e+00;1.332541038627455431964108356624e+00;3.331352596568640245244807829295e-01;0.000000000000000000000000000000e+00;1.981914459945898789299673081743e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368150483388928695394e-06
4.000000000000000000000000000000e+00;3.991146315122603427383296548214e-01;1.656718791252841382899418931629e-01;8.243463568676508146371162411015e-02;1.500000000000000000000000000000e+00;1.500000000000000444089209850063e+00;1.332276940392162600801384542137e+00;3.330692350980407612226485980500e-01;0.000000000000000000000000000000e+00;1.982307336303287999008243547294e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368162341850190255599e-06
5.000000000000000000000000000000e+00;3.992559536553831334160236110620e-01;1.657356822399384255195542436923e-01;8.241829460845634391930047968344e-02;1.500000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.332012842156869769638660727651e+00;3.330032105392175534319676444284e-01;0.000000000000000000000000000000e+00;1.982700368451895892984299107908e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368165729981979272800e-06
6.000000000000000000000000000000e+00;3.993972757985054800045077172399e-01;1.657994853545929347937715192529e-01;8.240195353014756474152591181337e-02;1.500000000000000000000000000000e+00;1.500000000000000888178419700125e+00;1.331748743921576938475936913164e+00;3.329371859803945676858916158380e-01;0.000000000000000000000000000000e+00;1.983093556484405222892219988751e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368150483388928695394e-06
7.000000000000000000000000000000e+00;3.995385979416279376152942859335e-01;1.658632884692472220233838697823e-01;8.238561245183882719711476738667e-02;1.500000000000000000000000000000e+00;1.500000000000000888178419700125e+00;1.331484645686284329357818023709e+00;3.328711614215714709175131247321e-01;0.000000000000000000000000000000e+00;1.983486900493578429256064099562e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368147095257139678193e-06
8.000000000000000000000000000000e+00;3.996799200847504507372320858849e-01;1.659270915839016202752986828273e-01;8.236927137353013128606704640333e-02;1.500000000000000000000000000000e+00;1.500000000000000888178419700125e+00;1.331220547450991720239699134254e+00;3.328051368627482631268321711104e-01;0.000000000000000000000000000000e+00;1.983880400572247612589471543743e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368153871520717712595e-06
9.000000000000000000000000000000e+00;3.998212422278729638591698858363e-01;1.659908946985559907716378802434e-01;8.235293029522133823050467071880e-02;1.500000000000000000000000000000e+00;1.500000000000000888178419700125e+00;1.330956449215698889076975319767e+00;3.327391123039250553361512174888e-01;0.000000000000000000000000000000e+00;1.984274056813314262345121496978e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;8.170539154368147095257139678193e-06
