iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.37330509826372155,0.39855489470720695,0.0001,0.0,5.850024608988082e-07,0.016143685950174097,0.0,4000,0.37330509826372155
1,0.36906810687330116,0.39870177533164597,0.0001,0.0,4.5037093086248957e-07,0.014163337299023209,0.0,4000,0.36906810687330116
2,0.3807562843430143,0.3988486626650132,0.0001,0.0,5.97906509991915e-07,0.016317500389576266,0.0,4000,0.3807562843430143
3,0.4186449927989474,0.3989955567023583,0.0001,0.0,5.984551671829248e-07,0.01632335289153452,0.0,4000,0.4186449927989474
4,0.4042283555350714,0.399142457438733,0.0001,0.0,5.50091829246748e-07,0.015648320214966073,0.0,4000,0.4042283555350714
5,0.3509256675870904,0.39928936486918953,0.0001,0.0,4.895961615194433e-07,0.014761337092712382,0.0,4000,0.3509256675870904
6,0.3729684580568073,0.3994243866532497,0.0001,0.0,6.507819590032842e-07,0.017024342104412248,0.0,4000,0.3729684580568073
7,0.41733377884994727,0.39955941603909273,0.0001,0.0,6.083822660192662e-07,0.01646000058602299,0.0,4000,0.41733377884994727
8,0.3668214234460283,0.3996944530223674,0.0001,0.0,5.832267997120666e-07,0.016115596995463055,0.0,4000,0.3668214234460283
9,0.42941673119957524,0.39984139034106914,0.0001,0.0,5.8173643416825e-07,0.016086485373764205,-6.570638356732743e-05,4000,0.42941673119957524
10,0.4086805657400148,0.3999764404004219,0.0001,0.0,5.355396120067871e-07,0.015442123153654702,-6.215823469906987e-05,4000,0.4086805657400148
11,0.3907541876585706,0.4000996039801593,0.0001,0.0,6.988837597133102e-07,0.017641287796848395,-5.814361856103485e-05,4000,0.3907541876585706
12,0.3611567284555522,0.40023466955763976,0.0001,0.0,6.115363121710645e-07,0.016500557534064604,-5.083326457817517e-05,4000,0.3611567284555522
13,0.41581802870755286,0.40038163774560953,0.0001,0.0,6.938281123229505e-07,0.017561456520629494,-5.877833397850701e-05,4000,0.41581802870755286
14,0.3956078865601015,0.40051665812064796,0.0001,0.0,4.936087666590446e-07,0.014823941369387916,-5.814338488295472e-05,4000,0.3956078865601015
15,0.40269452910405884,0.4006516783469459,0.0001,0.0,5.297704441341216e-07,0.01535704816859286,-5.996131014771912e-05,4000,0.40269452910405884
16,0.3518886504056916,0.400798660169177,0.0001,0.0,5.640718367807041e-07,0.015829819853390735,-5.0708396760138446e-05,4000,0.3518886504056916
17,0.4567697637095241,0.40094564862825305,0.0001,0.0,7.722385039275572e-07,0.018519998245501944,-6.86743711624705e-05,4000,0.4567697637095241
18,0.4239147179263847,0.40108074976879887,0.0001,0.0,5.739661764218436e-07,0.015983466578914387,-6.627684028528226e-05,4000,0.4239147179263847
19,0.44048807843235216,0.40122775254303406,0.0001,0.0,8.482881632981442e-07,0.019406747564460577,-4.1342061774651134e-05,4000,0.44048807843235216
20,0.42074033220243057,0.4013747619394573,0.0001,0.0,6.549891569676784e-07,0.017051189940093376,-3.985788387061223e-05,4000,0.42074033220243057
21,0.4535939858093996,0.40152177795314203,0.0001,0.0,7.683646692734222e-07,0.018466201192918266,-4.1457519386858256e-05,4000,0.4535939858093996
22,0.4474073510988756,0.4016688005791626,0.0001,0.0,6.756608158198932e-07,0.01731468655136016,-4.350095833642285e-05,4000,0.4474073510988756
23,0.431458292670021,0.40179203637498495,0.0001,0.0,6.191191134528574e-07,0.016600144051160906,-4.1788286854594616e-05,4000,0.431458292670021
24,0.3759882746736451,0.40193907432632986,0.0001,0.0,6.453203901262319e-07,0.01691827179599314,-3.4954695000558566e-05,4000,0.3759882746736451
25,0.39212056778935034,0.4020861188755029,0.0001,0.0,5.733623372260983e-07,0.015945562440051676,-3.6893713227300964e-05,4000,0.39212056778935034
26,0.38957167852049557,0.4022331700175842,0.0001,0.0,5.418837852372117e-07,0.015500108050621133,-3.53705829682218e-05,4000,0.38957167852049557
27,0.5321453535368801,0.4023802277476543,0.0001,0.0,8.521074326080331e-07,0.01943501811903802,-5.3921570778980606e-05,4000,0.5321453535368801
28,0.398372343768306,0.4025272920607964,0.0001,0.0,6.158789109494989e-07,0.01652123182312864,-3.823998783127912e-05,4000,0.398372343768306
29,0.42122609931548377,0.4026743629520941,0.0001,0.0,6.347290979045109e-07,0.01677047293708074,-2.4268704583556435e-05,4000,0.42122609931548377
30,0.4018774097254127,0.4028095427749593,0.0001,0.0,5.327151300990136e-07,0.015392545411377448,-2.367083271595682e-05,4000,0.4018774097254127
31,0.36127281617522156,0.40295662786706316,0.0001,0.0,5.183308859669351e-07,0.015153033145801343,-2.050375418688968e-05,4000,0.36127281617522156
32,0.36734971014785384,0.403068026534791,0.0001,0.0,4.1679623891955123e-07,0.01361973185213913,-2.047669267407184e-05,4000,0.36734971014785384
33,0.3813455031354496,0.40320309398972387,0.0001,0.0,4.999479424758748e-07,0.01491150837946327,-2.154942126898923e-05,4000,0.3813455031354496
34,0.3739187845618701,0.403338302035293,0.0001,0.0,5.60336706825216e-07,0.015784979005525647,-2.003541317269029e-05,4000,0.3739187845618701
35,0.40363510024766136,0.4034735144053822,0.0001,0.0,5.04921496427008e-07,0.014983779567287145,-2.388774984505247e-05,4000,0.40363510024766136
36,0.36088316389961395,0.40359683372612276,0.0001,0.0,4.357997387088858e-07,0.013923742323321634,-2.0547510312628046e-05,4000,0.36088316389961395
37,0.44953070537103496,0.403732064911135,0.0001,0.0,5.794761001643331e-07,0.0160511413732322,-2.709842322441233e-05,4000,0.44953070537103496
38,0.4151279132443241,0.40386714759770026,0.0001,0.0,6.390678721302281e-07,0.01685632635599528,-2.307245729489935e-05,4000,0.4151279132443241
39,0.4491837685872295,0.40400223002696267,0.0001,0.0,5.381709213282716e-07,0.015467329036688286,-5.4381112595890416e-05,4000,0.4491837685872295
40,0.3704749364828622,0.4041374755379872,0.0001,0.0,5.203417545850115e-07,0.015207980372390722,-4.2782684877083985e-05,4000,0.3704749364828622
41,0.41292152776803737,0.40428462616140115,0.0001,0.0,8.332472958045709e-07,0.0191983177284043,-4.8170143194991e-05,4000,0.41292152776803737
42,0.36193099081188324,0.40441988411619567,0.0001,0.0,4.890410730869667e-07,0.014745062670905158,-4.270542508689649e-05,4000,0.36193099081188324
43,0.42463101827335764,0.4045549752484248,0.0001,0.0,5.44146968061289e-07,0.015553423972788378,-5.0970221198421235e-05,4000,0.42463101827335764
44,0.4341830672575307,0.4047021433262744,0.0001,0.0,7.721397241045309e-07,0.018475660791583227,-5.229260778134978e-05,4000,0.4341830672575307
45,0.37270237320977,0.4048253346573194,0.0001,0.0,6.265865811226536e-07,0.016693130328558303,-4.438871433960936e-05,4000,0.37270237320977
46,0.40517330524960526,0.4049606107983069,0.0001,0.0,7.143252264873467e-07,0.017817811812052206,-4.593289946929441e-05,4000,0.40517330524960526
47,0.402697663563594,0.40508399171896403,0.0001,0.0,5.996179911099001e-07,0.01632820005155452,-4.912716818829569e-05,4000,0.402697663563594
48,0.43041448250954667,0.40523118689162607,0.0001,0.0,7.318761810726516e-07,0.017980824466768804,-5.119894637984939e-05,4000,0.43041448250954667
49,0.3465030727567826,0.4053783885491094,0.0001,0.0,5.674148956243365e-07,0.015830627919146186,-1.696733142797929e-05,4000,0.3465030727567826
50,0.3994010387563708,0.40552559668652444,0.0001,0.0,4.722237125210991e-07,0.014440325993948237,-2.09241941435039e-05,4000,0.3994010387563708
51,0.41557825244828417,0.40567281129898314,0.0001,0.0,5.221147326594885e-07,0.015182545289266188,-2.1392847978998154e-05,4000,0.41557825244828417
52,0.43857990110985534,0.4058200323815987,0.0001,0.0,6.802074500308629e-07,0.01732757161509171,-2.2938300823469734e-05,4000,0.43857990110985534
53,0.37987873371548686,0.4059553547894849,0.0001,0.0,5.792793472379987e-07,0.016043546622967926,-1.9552750434748866e-05,4000,0.37987873371548686
54,0.4242003080157544,0.4060906859978977,0.0001,0.0,5.460095505366627e-07,0.015575343333423385,-2.157775262358766e-05,4000,0.4242003080157544
