# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;3.985220877461823629772652566317e-01;1.654166666666667673268875660142e-01;0.000000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.500000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.766444400830017241212088752178e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.423496723186497667397454325311e-06
1.000000000000000000000000000000e+00;3.986361802303113321954697312322e-01;1.654221219855088464978365436764e-01;0.000000000000000000000000000000e+00;1.499883503333987455619080719771e+00;1.499883503333987011529870869708e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.767907065912214815625591590731e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.424918351147132444757450325801e-06
2.000000000000000000000000000000e+00;3.987502982547184715578225677746e-01;1.654275750644242648501602843680e-01;0.000000000000000000000000000000e+00;1.499766993777351675731779323542e+00;1.499766993777351675731779323542e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.769370120108825823572462621058e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.426340293737986920170803667451e-06
3.000000000000000000000000000000e+00;3.988644418250879564169508739724e-01;1.654330259025353910828926018439e-01;0.000000000000000000000000000000e+00;1.499650471328665801706847560126e+00;1.499650471328665801706847560126e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.770833563566170124493198700932e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.427762551028668567176978243527e-06
4.000000000000000000000000000000e+00;3.989786109471057384823211577896e-01;1.654384744989650379842771599215e-01;0.000000000000000000000000000000e+00;1.499533935986503641046851953433e+00;1.499533935986503419002247028402e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.772297396430673287540114024807e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.429185123088839916457009476813e-06
5.000000000000000000000000000000e+00;3.990928056264592682644831711514e-01;1.654439208528354077198940785820e-01;0.000000000000000000000000000000e+00;1.499417387749438557165149177308e+00;1.499417387749438113075939327246e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.773761618848800184194275386673e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.430608009988152487263618484192e-06
6.000000000000000000000000000000e+00;3.992070258688364403631965160457e-01;1.654493649632684248995673215177e-01;0.000000000000000000000000000000e+00;1.499300826616043025296676205471e+00;1.499300826616043025296676205471e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.775226230967106487868695241517e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.432031211796273892475524214252e-06
7.000000000000000000000000000000e+00;3.993212716799265926681528071640e-01;1.654548068293865137334819337411e-01;0.000000000000000000000000000000e+00;1.499184252584890852943999561830e+00;1.499184252584891074988604486862e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.776691232932241384413762919081e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.433454728582937813541331451006e-06
8.000000000000000000000000000000e+00;3.994355430654208394258830594481e-01;1.654602464503107661641934100771e-01;0.000000000000000000000000000000e+00;1.499067665654554737386661145138e+00;1.499067665654554737386661145138e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;7.778156624890883875239611100483e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;6.434878560417815251471548160245e-06
9.000000000000000000000000000000e+00;3.995498400310116826616990692855e-01;1.654656838251628014901939422998e-01;-5.766454454151952657356416942491e-04;1.498951065823606931814993004082e+00;1.498951065823606487725783154019e+00;2.753168157194994455916337017243e-02;2.753168157194993762026946626520e-02;7.779622406989825447731767837922e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;6.436302707370650899143093431887e-06
