# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;2.620554628946207900708209592722e-02;2.867243777098615539755677161793e-02;6.911904894625602567305880887356e-19;2.000000000000000000000000000000e+00;1.447181680482958476829935534624e+00;2.775557561562891351059079170227e-16;1.085151003670540761309721857790e-17;1.100700230649435777674494119083e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.577987943390303255536410986792e-05
1.000000000000000000000000000000e+00;2.645288488950110761255274383075e-02;2.878476042853234106999593677756e-02;6.974733439985311574544859154612e-19;2.000000000000000000000000000000e+00;1.475029493512378220287928343168e+00;2.775557561562891351059079170227e-16;1.087589021279507309505468494375e-17;1.084150089319732904180604293742e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.560350029482022624852805003925e-05
2.000000000000000000000000000000e+00;2.669721630299419848353359441262e-02;2.889481539782807334448833103124e-02;7.036868823666361168357977715761e-19;2.000000000000000000000000000000e+00;1.505695058291905752412276342511e+00;2.775557561562891351059079170227e-16;1.089979591526316695030024604612e-17;1.066130564260874121970679162530e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.540282292215012396158733964935e-05
3.000000000000000000000000000000e+00;2.695277539841850478197216034459e-02;2.900247859716154757991901647074e-02;7.098213842333566384062549360242e-19;1.999289246290492760849133446754e+00;1.452054305804786560329944222758e+00;2.775557561562891351059079170227e-16;1.092320012282563270621556989445e-17;1.110028466983583629590359720396e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.609678842796571606441925761377e-05
4.000000000000000000000000000000e+00;2.721208911443444983246919832709e-02;2.911398316079912354514824812668e-02;7.162341070580777473431336416652e-19;1.999999999999999777955395074969e+00;1.442700735649165677543237507052e+00;2.775557561562891351059079170227e-16;1.094745929326124910629116860614e-17;1.121121982519465839697736520009e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.632016326013672907779307463816e-05
5.000000000000000000000000000000e+00;2.748125260240056461080726535329e-02;2.922598506447333238655872378331e-02;7.227372411704337023586534592943e-19;1.998177279073507062179260174162e+00;1.403127760493211528824986089603e+00;2.775557561562891351059079170227e-16;1.097184823155853860267074638135e-17;1.158231614635245928374152057927e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.692522993526526364077566810806e-05
6.000000000000000000000000000000e+00;2.774768620686189624091610994583e-02;2.934104199022026515653038813980e-02;7.294833801386090035740512700879e-19;1.997195085673161285555465838115e+00;1.430480078748110894792944236542e+00;2.775557561562891351059079170227e-16;1.099692619306059022772470793312e-17;1.141118432615575734728752266278e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.674080192359397525761824376822e-05
7.000000000000000000000000000000e+00;2.801320131236926386231189667342e-02;2.945374505568451942161267709253e-02;7.361571177556885817187765545192e-19;1.996850399027131572893267730251e+00;1.447841715459523115328011044767e+00;2.775557561562891351059079170227e-16;1.102151574945589154311542438929e-17;1.131960830353091838201828878141e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.667024285512046184514964308754e-05
8.000000000000000000000000000000e+00;2.828526766654291743630089683847e-02;2.956490055497922389560194744718e-02;7.428039487326747960827426105117e-19;1.994463038317560776846448789001e+00;1.426569331854422806316051719477e+00;2.775557561562891351059079170227e-16;1.104579281633035258609299748161e-17;1.154556092585563506491830310097e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.706716803121878904829673839760e-05
9.000000000000000000000000000000e+00;2.856539203969043344555345242952e-02;2.967761448537434981753690976802e-02;-9.682756511806265599384691000751e-04;1.995550719964280350637864103192e+00;1.396573751717896882951208681334e+00;5.439646664937394238137358115637e-01;5.943042634579898814140008767026e-02;1.183204557275409178618286176743e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.755734435407880898076873887881e-05
1.000000000000000000000000000000e+01;2.884591378247207058005407986911e-02;2.979243121640624825108289996933e-02;-9.755755001483679350951505604428e-04;1.992147515273114288802958071756e+00;1.408948336618129903996532448218e+00;5.439646664937394238137358115637e-01;5.947590306875744775583214618564e-02;1.179361301558971234643147241172e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.756802022799350355346074958884e-05
1.100000000000000000000000000000e+01;2.913131826439744470613746329946e-02;2.990617164861516727447643404503e-02;-9.828666896863689876606695605687e-04;1.993514572527768091703137542936e+00;1.395670050755382973761697940063e+00;5.439646664937394238137358115637e-01;5.952103327029184542951156799973e-02;1.194307441479645730264547154320e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.785858167305434850082208886324e-05
1.200000000000000000000000000000e+01;2.941958179992200383967571042376e-02;3.002063664219373553820879862997e-02;-9.902654648449422079836690357979e-04;1.994301259952192761915057417355e+00;1.393046125266937274034262372879e+00;5.439646664937394238137358115637e-01;5.956653403194571427814452135863e-02;1.200663002290104554997673957928e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.802233386073832539504661898189e-05
1.300000000000000000000000000000e+01;2.970249094061527123100674430134e-02;3.013498078853244985242376685619e-02;-9.977187786889246245286555492271e-04;1.992463719554101064801443499164e+00;1.432653150788954610206360484881e+00;5.439646664937394238137358115637e-01;5.961207293294112918857763361302e-02;1.172997072154068586014030728393e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.767412211718383450412446500355e-05
1.400000000000000000000000000000e+01;2.998525301563626302425724645673e-02;3.024598081279973593726850822350e-02;-1.005014715683133670609539223051e-03;1.995495087775212228464738473122e+00;1.442950495995767745682769600535e+00;5.439646664937394238137358115637e-01;5.965636470400798030411237959925e-02;1.167140308172753045828917706217e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.765065168341913096885717471274e-05
1.500000000000000000000000000000e+01;3.026880416343333268791582213453e-02;3.035573765902985915454692644744e-02;-1.012288053331791316813426107046e-03;1.994617533832865330367667411338e+00;1.451193275962834539072332518117e+00;5.439646664937394238137358115637e-01;5.970024402702134302955983002903e-02;1.165234652847466426117684079600e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.768577871652421049618320036956e-05
1.600000000000000000000000000000e+01;3.054979034557014916373418600415e-02;3.046461908920190461702581785630e-02;-1.019563248225910118832659989607e-03;1.994202165594193942865786084440e+00;1.476399286841697300332043596427e+00;5.439646664937394238137358115637e-01;5.974386009583680656742643577672e-02;1.149688620082793110571683925514e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.751241294100622280030532529338e-05
1.700000000000000000000000000000e+01;3.085199303543744928091108192802e-02;3.057136359625473379098004045318e-02;-1.026754597329027551486091418553e-03;1.991604857777710568811357916275e+00;1.385544762712475286292601595051e+00;5.439646664937394238137358115637e-01;5.978670676461771138487932830685e-02;1.230973100937353750805591801054e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.881626312298250952126203727754e-05
1.800000000000000000000000000000e+01;3.114957040563702886371011402389e-02;3.068490524348636838691817274594e-02;-1.034469108368007376347330605881e-03;1.994895858152684331443538212625e+00;1.416325752849247443521107925335e+00;5.439646664937394238137358115637e-01;5.983237901226452076786088696281e-02;1.206698843438254323615077545639e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.851371983416371202308368937306e-05
1.900000000000000000000000000000e+01;3.143982256827553695144317202903e-02;3.079544738151941338233363865129e-02;-1.098523194781087213706127769797e-03;1.993972703472817631364932822180e+00;1.464317702595646197849532654800e+00;7.751941290634356551692007997190e-01;1.544778550471850586678357331039e-01;1.171897119552231048347779029939e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.804454804086245273391647669925e-05
2.000000000000000000000000000000e+01;3.173019016572763140171531404121e-02;3.090207850739967038178335201337e-02;-1.112373405137022505315136378101e-03;1.992255699485316000618695397861e+00;1.476326308643517659646704487386e+00;7.751941290634356551692007997190e-01;1.544930272355392597560808098933e-01;1.167394774668684218760228432643e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.803746248796991844313107600239e-05
2.100000000000000000000000000000e+01;3.203540898816732707121701650976e-02;3.100759177501477212302027908208e-02;-1.126228121801013453903705929804e-03;1.991526684205354280621236284787e+00;1.415920937231086140783986593306e+00;7.751941290634356551692007997190e-01;1.545078844564098941027907585521e-01;1.221800770808405918119166067015e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.894254976581272081393760020607e-05
2.200000000000000000000000000000e+01;3.235287595494409917940004106640e-02;3.111726710486328872917738408432e-02;-1.140790034917998213570555776641e-03;1.990377558051846795805772671883e+00;1.373008910530140180838998276158e+00;7.751941290634356551692007997190e-01;1.545231611003907712387217543437e-01;1.265173586324072488654146617648e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.968437220983198650508909366419e-05
2.300000000000000000000000000000e+01;3.266340366613672274720414634430e-02;3.123001917977562269523872373611e-02;-1.155934387760046248849743477649e-03;1.990123985225642488927633166895e+00;1.415171666483626022881026074174e+00;7.751941290634356551692007997190e-01;1.545386867023515187202775678088e-01;1.232084467901004226977890176897e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.923901078182600364249732471933e-05
2.400000000000000000000000000000e+01;3.297916467696813958010437772828e-02;3.133901802964762089986905380101e-02;-1.170745458569802084983213497082e-03;1.992097516370301857335789463832e+00;1.401279493372700857278800867789e+00;7.751941290634356551692007997190e-01;1.545535198365530771269504839438e-01;1.247405097046496314644459246779e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.954622541330724416730989234647e-05
2.500000000000000000000000000000e+01;3.329383680901929626338997536550e-02;3.144856490901209999933030303509e-02;-1.185803491519707994830690189758e-03;1.988861958295216725289833448187e+00;1.419447576495867169299458510068e+00;7.751941290634356551692007997190e-01;1.545682509107289548389019273600e-01;1.237753958893303158489418436261e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.946279285882136992204098635550e-05
2.600000000000000000000000000000e+01;3.361521359148914034342681134149e-02;3.155645856789691949817466820605e-02;-1.200806590060251970164539869756e-03;1.985864647251980752429290077998e+00;1.402738225232219804183841915801e+00;7.751941290634356551692007997190e-01;1.545825839161593107107250943955e-01;1.258692002178100639159241680431e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.985993100823822975252788691769e-05
2.700000000000000000000000000000e+01;3.394002310238055514224342346097e-02;3.166535472170661780211275981856e-02;-1.216125900741884483663435290168e-03;1.987678935401727464693522051675e+00;1.397444356445614044304193157586e+00;7.751941290634356551692007997190e-01;1.545968704491146317181460290158e-01;1.266663011313484124217842996529e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.005466678305327913765451763872e-05
2.800000000000000000000000000000e+01;3.426558461382020470686882163136e-02;3.177410104378067950969821708895e-02;-1.231604935013950671840454731409e-03;1.989067685786325867525192734320e+00;1.404018825539427695048289024271e+00;7.751941290634356551692007997190e-01;1.546109543113371176392689676504e-01;1.264178121449862236130856629757e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.008406168414237865683935613248e-05
2.900000000000000000000000000000e+01;3.459577450999279379928452726745e-02;3.188179266729479488517995378061e-02;-9.450487017285923163623095888397e-04;1.979086601352816776611120985763e+00;1.401996455323952339711013337364e+00;7.621339371608431001448025199352e-01;1.254304090668708904221517741462e-01;1.276698974493635464419472036468e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;2.035172600167698100568323960058e-05
3.000000000000000000000000000000e+01;3.492298923726562531744121997690e-02;3.198969754896105466279720985767e-02;-9.483503439407894083229555448611e-04;1.986463861021784182980809418950e+00;1.420212254142870111905949670472e+00;7.621339371608431001448025199352e-01;1.254458318205380062959619635876e-01;1.259893108725081882839913482997e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.015179974606784272942242020044e-05
3.100000000000000000000000000000e+01;3.526639463697854581791801820145e-02;3.209533876770228472130597197065e-02;-9.515938715485520050380019441150e-04;1.987254305868584758343331486685e+00;1.362979152627819878773607342737e+00;7.621339371608431001448025199352e-01;1.254608095901154629636664594727e-01;1.316608925093767793260135512412e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.112850473773242256005783223927e-05
3.200000000000000000000000000000e+01;3.560920372277712186992459919566e-02;3.220484357332271951879221205672e-02;-9.549680469937985504910726852756e-04;1.989487856546903410404070200457e+00;1.374325325021749311105168089853e+00;7.621339371608431001448025199352e-01;1.254762063439961716770909561092e-01;1.308723324214844559165715764948e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.107361496854898768259743702114e-05
3.300000000000000000000000000000e+01;3.594280749394707097366108428105e-02;3.231278455851761127748389412773e-02;-9.583064090233142651165110237343e-04;1.986302538897225966607607006154e+00;1.425133432754910778328394371783e+00;7.621339371608431001448025199352e-01;1.254912528566722584866255374436e-01;1.268326157787055949097143603410e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.049157494325277398695278607832e-05
