iteration,true_perf_mean,true_perf_std,mc_perf_mean,mc_perf_std,bound_mean,bound_std,alpha_mean,alpha_std,beta_mean,beta_std,cum_samples_mean
0,0.026227301291319755,8.504922861131879e-06,0.02666785427048616,0.000582495514508687,2.1998953466483425e-06,1.2629880035202748e-07,0.0012980869783730834,3.8248122490420825e-05,0.0001,0.0,30972.8
1,0.026502495963706886,1.9726652157872454e-05,0.0268003190641314,0.001798266859353997,2.155176865743917e-06,2.3909905154984605e-07,0.0012834673281701867,7.114889970871582e-05,0.0001,0.0,61978.0
2,0.026775470430053884,3.7652652322534874e-05,0.027020071573221848,0.0013563955845494417,2.09295473205285e-06,2.544058691428167e-07,0.0012649857709097197,8.057461684925797e-05,0.0001,0.0,92937.8
3,0.02706711896386667,5.680413103203831e-05,0.029152238415185446,0.003494061013975268,2.326421454656114e-06,3.6729863420120435e-07,0.0013329243649140674,0.00010722296619040332,0.0,0.0,123882.4
4,0.027338996251033098,7.432576175865391e-05,0.025894940920977428,0.002123743842699439,2.076106017270442e-06,3.0797574369129297e-07,0.0012598406653518228,9.656740892752597e-05,0.0,0.0,154937.4
5,0.027618867706996907,7.135057508992982e-05,0.027391673297186243,0.001198593894712955,2.2018740285369277e-06,1.8238521672291813e-07,0.001299964731857189,5.338720707049753e-05,0.0,0.0,185918.8
6,0.027900911150802704,7.327752030918083e-05,0.026224915578931796,0.002329214882375506,2.1051246436277926e-06,3.1641224053398787e-07,0.0012700015445300122,9.17895985333761e-05,0.0,0.0,216922.2
7,0.0281882023522053,7.776632456792083e-05,0.027196679681522153,0.0012934410272261352,2.1703751388914923e-06,1.5788600984553547e-07,0.0012922354579268619,4.650000123576233e-05,0.0,0.0,247934.8
8,0.02847905496729069,7.948213956817556e-05,0.02772608481638203,0.0008324904068718937,2.316086650882611e-06,1.163017137546166e-07,0.0013362197372345803,3.34300271172272e-05,0.0,0.0,278900.8
9,0.02878176950136512,9.986373036179439e-05,0.03051802606824696,0.0012963159694535991,2.475058991378619e-06,2.3947234929883683e-07,0.0013808117833762415,6.498264100660409e-05,0.0,0.0,309807.0
10,0.029073759651977688,8.101393286455495e-05,0.029255365460510097,0.0011741241772902132,2.3141389624224718e-06,2.546994454141605e-07,0.0013337477815365333,7.342056342617473e-05,0.0,0.0,340725.0
11,0.02937229695633655,8.059795959899314e-05,0.028741854770465862,0.0016824988959901436,2.2634868225321525e-06,2.3729437701464335e-07,0.0013208633390449879,6.94756419167449e-05,0.0,0.0,371637.0
12,0.029670369937004604,9.546157179834508e-05,0.02929356713624951,0.002256332860008589,2.3596326316875495e-06,4.740994983525114e-07,0.0013440256069378325,0.0001327015421788017,0.0,0.0,402570.0
13,0.029967382110519532,0.0001208304165962582,0.02871570527435257,0.002672451623511099,2.218348427865748e-06,3.4516911706187357e-07,0.0013064941704397934,0.0001041578588190566,0.0,0.0,433500.8
14,0.03028258291691178,0.0001223663718998985,0.029148479504716784,0.001895992403799465,2.4058997941063907e-06,1.6903028981812166e-07,0.0013639543062102947,4.8097071327580714e-05,0.0,0.0,464433.2
15,0.03059859295545166,0.00012193634460552759,0.031613361503248574,0.0008756164645407449,2.47823980986206e-06,1.7682592953684454e-07,0.0013841593397370853,4.84976816400207e-05,0.0,0.0,495252.4
16,0.03090139763889115,0.00012714657881147357,0.029355761968520883,0.0033927875897096123,2.371852769790626e-06,2.580746991559554e-07,0.0013543325095672133,7.276858514237399e-05,0.0,0.0,526114.8
17,0.031217455344947614,0.0001338497037160999,0.02983344051398996,0.0013293177975043087,2.340093973860593e-06,1.807357693285076e-07,0.0013471617312989887,5.308972072976671e-05,0.0,0.0,557043.0
18,0.031527007374827484,0.00014145674513903208,0.03054355971065701,0.0028765394825785626,2.357793075920056e-06,3.2105188414351627e-07,0.0013490425647502303,9.16694465382106e-05,0.0,0.0,587971.0
19,0.0318445873186598,0.00016120418763541436,0.03163884271303634,0.0019467841363881267,2.3937762632666297e-06,3.056239518121752e-07,0.0013359810307511095,0.0001304216282522181,2e-05,4e-05,618809.4
20,0.03217763609609321,0.0001723730499048868,0.033173062170794784,0.0019607642994733552,2.5746102069424278e-06,2.647359944643052e-07,0.0014117485696918677,6.98544097159269e-05,2e-05,4e-05,649612.4
21,0.03250721067130775,0.00016780427512626313,0.03234423794307637,0.001303545491129335,2.5581966651406363e-06,1.6938445174587275e-07,0.0014078141739729856,4.555444465061045e-05,2e-05,4e-05,680436.8
22,0.03283787013390836,0.00016495992986446278,0.03225778215651678,0.0016948627641411344,2.5650823768308214e-06,1.485713961556369e-07,0.0014112480606761472,4.1608897042857176e-05,2e-05,4e-05,711245.8
23,0.033173640944006544,0.00017596087757772977,0.03282501861939999,0.0022010471639217193,2.5466411976095327e-06,2.447122617148464e-07,0.001406392546769254,6.844721284047359e-05,2e-05,4e-05,742063.0
24,0.03351497116437151,0.00019006038375793174,0.03361219763215273,0.002765354357398658,2.6844572161940727e-06,2.6464869819414585e-07,0.0014439858787902015,7.200110072319467e-05,2e-05,4e-05,772857.4
25,0.033850777665818954,0.00018968148449990916,0.033366251970667254,0.0022843112251896805,2.6244573622431465e-06,3.6530664981474103e-07,0.001400079101254731,0.0001386340934151559,2e-05,4e-05,803607.4
26,0.034177701579738,0.00018742300373210893,0.03344484907642577,0.0029678273436306944,2.519018859831482e-06,2.8252899836854525e-07,0.0013702916506406833,9.034165858800921e-05,2e-05,4e-05,834376.2
27,0.03453723743802785,0.0001872474124557368,0.03461937486623362,0.0023947436020749164,2.861554537027299e-06,3.0626770940913534e-07,0.001490989250134363,7.961919898828388e-05,2e-05,4e-05,865098.4
28,0.034871325557530544,0.00019920068684881726,0.032982649357857406,0.0010597558278299245,2.5645391837566098e-06,9.659644143322062e-08,0.0014133674044942562,2.6518621906249327e-05,2e-05,4e-05,895895.0
