iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.025778538030314473,0.026199127282864693,0.0011284888158794569,0.0001,1.6672424655236168e-06,0.0029548231972938016,5.515712715039531e-20,62086,0.025778538030314473
1,0.02845142396192244,0.0264836859859192,0.0013047322792106026,0.0001,2.2296224902006734e-06,0.003417747112916765,1.1639696063022843e-21,61942,0.02845142396192244
2,0.02745028615505036,0.026722512524423616,0.001106842545822344,0.0001,1.599951281223833e-06,0.0028910187582916356,4.634690653552844e-20,61896,0.02745028615505036
3,0.02371978154657614,0.026952793173692927,0.0010589093039113972,0.0,1.4624649084287712e-06,0.0027622099513654676,-5.11643067546154e-21,62150,0.02371978154657614
4,0.02754358286264505,0.02722731698799411,0.0012126228961369411,0.0,1.9190478973028073e-06,0.0031651190216122884,-4.835932509863559e-21,61935,0.02754358286264505
5,0.026152925413176556,0.027485776322995013,0.0011781696712725033,0.0,1.8086547808713009e-06,0.003070278967405146,-6.131052588379581e-21,62110,0.026152925413176556
6,0.02717428510860858,0.02775328181717892,0.0011801645801695654,0.0,1.819316990594478e-06,0.0030831580970394467,-4.904201838237256e-21,62058,0.02717428510860858
7,0.027534535685600103,0.02802364812622047,0.001197604119185434,0.0,1.8682502686686599e-06,0.0031199796973633894,-6.527135989777482e-21,62012,0.027534535685600103
8,0.027122711325033952,0.028290099905116092,0.0011893359558085587,0.0,1.8401574070270379e-06,0.003094428278300936,-4.737345859412146e-21,61940,0.027122711325033952
9,0.027830227252700644,0.02856694019431541,0.0012124644374661656,0.0,1.9160967015966394e-06,0.003160664580976807,-7.867409533932285e-05,61910,0.027830227252700644
10,0.03002818936415228,0.02885034653613275,0.0012667657822933612,0.0,2.086574614784828e-06,0.0032943337181199823,-6.935576761987869e-05,61818,0.03002818936415228
11,0.029117319557972914,0.0291372657665335,0.0012332749839760223,0.0,1.9727098644636035e-06,0.003199140321655884,-9.160350716583244e-05,61836,0.029117319557972914
12,0.030338090323544252,0.02943926779567204,0.001278451633031798,0.0,2.1212994161486055e-06,0.0033185446540797588,-7.74489932513906e-05,61779,0.030338090323544252
13,0.03017118065081999,0.02975528125237084,0.0013389804742039914,0.0,2.324755392050076e-06,0.003472426128442414,-6.615769514273775e-05,61827,0.03017118065081999
14,0.028903914573208216,0.030023789834484338,0.0011571472689195714,0.0,1.7341977421807627e-06,0.0029973673857433603,-7.939040534706246e-05,61858,0.028903914573208216
15,0.028977619296324485,0.03031369061700986,0.001249989515010233,0.0,2.0227753015463583e-06,0.003236467629938158,-7.087417969245281e-05,61643,0.028977619296324485
16,0.03186873758513311,0.030612558328764354,0.0013043373977175848,0.0,2.204166522130307e-06,0.0033797490219743785,-8.717550254035974e-05,61701,0.03186873758513311
17,0.029497608149615908,0.030925995303170313,0.0013058313422686049,0.0,2.20144219682528e-06,0.003371709845776471,-6.648614675942747e-05,61875,0.029497608149615908
18,0.030775264010200337,0.031241246383615237,0.0013100708951559476,0.0,2.219853882068158e-06,0.0033889064939556755,-8.02743742467346e-05,61715,0.030775264010200337
19,0.029737715777626156,0.031546875198378066,0.0012926855500125574,0.0,2.1609578811546146e-06,0.003343362012724012,-9.105894298528154e-05,61708,0.029737715777626156
20,0.031594448665110866,0.0318613613146692,0.0013072281973469703,0.0,2.211110250640883e-06,0.0033828986478846588,-8.3154681944068e-05,61688,0.031594448665110866
21,0.03147077220977722,0.03218236124830401,0.0013066185151762379,0.0,2.198472606416693e-06,0.0033651330987302915,-9.536613100994331e-05,61677,0.03147077220977722
22,0.030814341368251962,0.032494354253805896,0.0012849026577985447,0.0,2.130652081113444e-06,0.00331644123884675,-7.484240217466064e-05,61758,0.030814341368251962
23,0.03420522892089008,0.03284330899359008,0.0014266568386717708,0.0,2.627985980537976e-06,0.0036841178751642225,-8.409123458027494e-05,61504,0.03420522892089008
24,0.03269436606106747,0.033150340558416466,0.0013076089342871713,0.0,2.206549337276287e-06,0.003374937688811621,-8.337181670343974e-05,61639,0.03269436606106747
25,0.03428896878045273,0.03349357136697515,0.0013643454388388065,0.0,2.3914329451163383e-06,0.003505612108252708,-8.664088539735478e-05,61500,0.03428896878045273
26,0.031745902478631155,0.033808090477492725,0.0012942245554271093,0.0,2.1565702554966667e-06,0.00333260599399611,-6.748037256523924e-05,61700,0.031745902478631155
27,0.03318708441819011,0.03414124643387471,0.001344686034357817,0.0,2.3277779302945627e-06,0.0034621880064460435,-9.119097592329561e-05,61484,0.03318708441819011
28,0.034921028230361105,0.034496950404219885,0.0014243026267517131,0.0,2.606903500044168e-06,0.003660603373300676,-8.930477652327939e-05,61457,0.034921028230361105
29,0.03404778970792044,0.03484097135250791,0.0013800900709064318,0.0001,2.439908418502046e-06,0.003535868375459776,7.684693320955655e-06,61587,0.03404778970792044
30,0.03707380962388494,0.03520681081872659,0.0014487058626775965,0.0001,2.6943882617678537e-06,0.003719717481901954,8.322501559708241e-06,61391,0.03707380962388494
31,0.03586654946572525,0.03556501375023325,0.0014199105874291493,0.0001,2.5894656907902265e-06,0.0036473644378955446,1.1417984675864358e-05,61440,0.03586654946572525
32,0.03470503747635621,0.035929727004486184,0.0014465077537196133,0.0001,2.684303399467695e-06,0.003711426216092047,9.51694767001017e-06,61484,0.03470503747635621
33,0.034689861270329934,0.036286829190470216,0.0013906060786543018,0.0001,2.4731648081589908e-06,0.003556959582043949,9.277244827833187e-06,61448,0.034689861270329934
34,0.033965077194776525,0.036625401081888914,0.0013264754313505173,0.0001,2.249617299527488e-06,0.0033918717925097144,1.0365843443044553e-05,61576,0.033965077194776525
35,0.03531898405828067,0.03697016807903423,0.0013469934078871866,0.0001,2.324648364783321e-06,0.0034516106035435254,1.0655246689202557e-05,61481,0.03531898405828067
36,0.03658453347438363,0.03732541387788877,0.001368188923111697,0.0001,2.3918346462756133e-06,0.003496351426140507,7.196620628380634e-06,61367,0.03658453347438363
37,0.03590504687646017,0.03769998771921486,0.0014370841098100286,0.0001,2.6317677412998676e-06,0.0036626495600842277,1.0002150677592533e-05,61365,0.03590504687646017
38,0.03962054139416905,0.038092921929494025,0.001495974831686275,0.0001,2.8573088305696053e-06,0.0038199958582843586,1.0591838284698968e-05,61070,0.03962054139416905
39,0.037097544707769506,0.03847640037527925,0.0014857672369553866,0.0,2.819440844171286e-06,0.003795265872127918,-0.0001335497545198454,61284,0.037097544707769506
40,0.035529786461888535,0.03883777779878922,0.0013690172948307448,0.0,2.3865600679735537e-06,0.003486530195031042,-0.00011942388094219559,61437,0.035529786461888535
41,0.03915293673255485,0.039221302997992605,0.0014389336097053772,0.0,2.6297583473658424e-06,0.0036551489653567646,-0.00013299999004745815,61177,0.03915293673255485
42,0.036907480000280976,0.03960518872158296,0.0014529140280681318,0.0,2.6877275906343235e-06,0.0036997751260039267,-0.00012250566456053035,61301,0.036907480000280976
43,0.038861428389976346,0.039975313597412056,0.001400637064128389,0.0,2.491676771394462e-06,0.0035579192286261862,-0.0001098660552522276,61353,0.038861428389976346
44,0.04202375942087187,0.04038879759897918,0.001555838751582699,0.0,3.0588749586864004e-06,0.003932123371492985,-0.0001435445328424946,60889,0.04202375942087187
45,0.03961202188650651,0.04080444092349308,0.0015190174194605003,0.0,2.921470825400957e-06,0.0038465270878046383,-0.0001278480206272555,61243,0.03961202188650651
46,0.040298437383254185,0.04121948112088821,0.001516745334668966,0.0,2.9134217426692977e-06,0.0038416755615802304,-0.0001321158942843801,61122,0.040298437383254185
