iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.02873737783952253,0.026267680933309584,0.0015722340214067393,0.0001,3.2108821002157676e-06,0.004084483679271697,2.430880143916747e-05,15467,0.02873737783952253
1,0.025212478241093694,0.0265556465233507,0.0013784825972367317,0.0001,2.4147327698948997e-06,0.003503465005267975,1.4100468526053604e-05,15515,0.025212478241093694
2,0.029311708131564355,0.026886437736392096,0.0015264790898923885,0.0001,3.021361243935644e-06,0.003958601547760001,2.4086804663205743e-05,15434,0.029311708131564355
3,0.02899266191217298,0.027226945907019136,0.0015670571317168832,0.0001,3.1728448797466466e-06,0.004049431020131916,6.947709925887052e-06,15446,0.02899266191217298
4,0.026555663919070053,0.02750077662497527,0.0014222831228150783,0.0001,2.6180825561825816e-06,0.0036815209492195846,2.4127440420338235e-05,15490,0.026555663919070053
5,0.027452267539271512,0.027739763418696908,0.0013867214665362689,0.0001,2.4729167389131075e-06,0.0035665658873658603,1.7185597543328304e-05,15499,0.027452267539271512
6,0.026199772896141282,0.028021389757164963,0.001403194655307326,0.0001,2.536225036997818e-06,0.003614929728252617,2.0347565372193893e-05,15556,0.026199772896141282
7,0.02888460658257957,0.028311258329405137,0.0014293432461723263,0.0001,2.635271015561257e-06,0.003687387228530745,2.1799137233448488e-05,15464,0.02888460658257957
8,0.02850938677483601,0.028597490350121785,0.001493078636255589,0.0001,2.8817662940911454e-06,0.003860166804500224,2.5547743355202965e-05,15469,0.02850938677483601
9,0.029605357744618258,0.028812437230719353,0.0012996070087002325,0.0001,2.1758180059988547e-06,0.0033484245490103056,2.0964097487170122e-05,15451,0.029605357744618258
10,0.03399178551494686,0.029165926057062176,0.0016885529522663368,0.0001,3.6972591508540464e-06,0.0043792042717898435,2.9976891607205722e-05,15335,0.03399178551494686
11,0.02695427268424378,0.029459430457513883,0.001458092687366387,0.0001,2.7372691593252107e-06,0.003754588693904333,2.31124139401943e-05,15434,0.02695427268424378
12,0.02480963186033315,0.029767454142604476,0.0014676951911217389,0.0001,2.748227948838871e-06,0.003744957352811708,1.515409804520306e-05,15541,0.02480963186033315
13,0.029709412060432927,0.030080654112010278,0.0014734128640903545,0.0001,2.77952257515261e-06,0.0037729039061547933,2.1237860158577195e-05,15507,0.029709412060432927
14,0.030756112055072185,0.03039225781267995,0.0015557776447826129,0.0001,3.125215172826858e-06,0.00401756019995202,2.4031560608186698e-05,15457,0.030756112055072185
15,0.030500474793366948,0.030702270663976877,0.001482580047442247,0.0001,2.8330733022189457e-06,0.0038218149598149183,2.4628549026667396e-05,15400,0.030500474793366948
16,0.02997467840695402,0.03097885155566723,0.0014017129533365192,0.0001,2.499384685236326e-06,0.003566186185676605,1.8000683720737488e-05,15438,0.02997467840695402
17,0.025781361733970654,0.031273160586816694,0.0014223757518138146,0.0001,2.5891586527080853e-06,0.003640611349576774,2.1019857198651602e-05,15519,0.025781361733970654
18,0.03396304571093702,0.03160782767070967,0.0015539649806400769,0.0001,3.099376861802857e-06,0.003988991901897592,2.854857315190846e-05,15266,0.03396304571093702
19,0.03510186042416863,0.031936691671781856,0.001511564440247639,0.0001,2.9393863719401523e-06,0.0038891975673344004,2.769875335622001e-05,15367,0.03510186042416863
20,0.035079794445160045,0.03233735505637993,0.0017007728147255376,0.0001,3.723448661947728e-06,0.00437853736808299,2.4989780678738852e-05,15379,0.035079794445160045
21,0.0292412852417528,0.032673252758644834,0.001522823363330557,0.0001,2.983901266451031e-06,0.0039189066024374105,2.7643061353190072e-05,15471,0.0292412852417528
22,0.03164278302563998,0.033020123521591185,0.0015003112776563517,0.0001,2.8831216192599893e-06,0.003843364589998599,2.8828635719006133e-05,15416,0.03164278302563998
23,0.031065648344287405,0.033405064546512014,0.0016561452537822252,0.0001,3.5095387423420274e-06,0.004238201612240365,2.0956088747457226e-05,15460,0.031065648344287405
24,0.033659856608342476,0.033767831133029516,0.0016545032760400258,0.0001,3.504002238622094e-06,0.004235715080611694,2.511764840676334e-05,15384,0.033659856608342476
25,0.04050479388654254,0.03423710741631493,0.0019283997680126634,0.0001,4.734828628747932e-06,0.004910629743154832,3.389014694357779e-05,15243,0.04050479388654254
26,0.04080157137817237,0.034638050004534,0.0017194334460128027,0.0001,3.773753925101739e-06,0.004389531835445801,4.5284059256563e-05,15299,0.04080157137817237
27,0.041525686223751856,0.035069502387442754,0.0017496668408127601,0.0001,3.907764266715194e-06,0.0044668666920611565,4.229678669815143e-05,15240,0.041525686223751856
28,0.03329008612971415,0.03546044389218783,0.0016221129985397346,0.0001,3.341448163153545e-06,0.004119871015350468,3.4422551016562785e-05,15397,0.03329008612971415
29,0.03378610409931815,0.035878384639279476,0.0017135563440292651,0.0001,3.730297850005417e-06,0.00435386658046385,3.673148801210825e-05,15368,0.03378610409931815
30,0.04120728026783362,0.03630808971060516,0.0017279821332311742,0.0001,3.7985197873834336e-06,0.004396480396797317,4.2045313665724926e-05,15261,0.04120728026783362
31,0.033439977734579185,0.03667295385681574,0.0016295907679816407,0.0001,3.378674649971612e-06,0.004146654137168844,3.859332372060387e-05,15359,0.033439977734579185
32,0.03218193537870155,0.037054520789427725,0.0015276621837083176,0.0001,2.9678443430294562e-06,0.0038854720299813595,3.6070450424763255e-05,15401,0.03218193537870155
33,0.03911892628900242,0.03748532589057993,0.0017827139301943352,0.0001,4.0281133350502945e-06,0.0045190798891790625,3.9822198477632745e-05,15271,0.03911892628900242
34,0.04252490593865534,0.037939257803174156,0.0018347434615613967,0.0001,4.285199551875065e-06,0.00467117026619982,3.468719227225525e-05,15211,0.04252490593865534
35,0.035940346378199595,0.038340202347674865,0.0016183708227850552,0.0001,3.3316289513311955e-06,0.004117262748963546,3.699428044949174e-05,15338,0.035940346378199595
36,0.03674811492408404,0.03874882628895407,0.0016585105079730447,0.0001,3.4470263402260824e-06,0.004156773591309806,4.359523303346243e-05,15354,0.03674811492408404
37,0.04058075719117798,0.03914645216375029,0.0015401005844275536,0.0001,3.658177670326799e-06,0.004750569809940722,4.745010900750882e-05,15225,0.04058075719117798
38,0.039136879779580136,0.03959249692881025,0.0017930076817445051,0.0001,4.095301695363479e-06,0.0045680804795871915,4.714558631818644e-05,15299,0.039136879779580136
39,0.0395339926616796,0.03999614944902044,0.0017192951182434298,0.0001,3.7665728631879083e-06,0.004381531504650746,3.657698451081068e-05,15293,0.0395339926616796
40,0.04793551057397308,0.04035058748797209,0.0014670819772573242,0.0001,3.351410887360966e-06,0.004568812021842638,6.163820148096427e-05,15129,0.04793551057397308
41,0.03881588186266691,0.04080785905534091,0.0017936674679158325,0.0001,4.079011673867759e-06,0.00454823622196527,4.925746697782044e-05,15248,0.03881588186266691
42,0.03636243556197409,0.041220693234061204,0.0017003126831359333,0.0001,3.6411930787871474e-06,0.004282968791447929,4.5456682724276574e-05,15378,0.03636243556197409
43,0.04572277273308824,0.041700908351106306,0.001901240108569581,0.0001,4.568604922485875e-06,0.004805921042685256,5.256759179811305e-05,15219,0.04572277273308824
44,0.04389431061163389,0.042095848599948554,0.0017462987317255951,0.0001,3.871061257980189e-06,0.004433446795388807,5.355337182895113e-05,15226,0.04389431061163389
45,0.04584867270253398,0.04257756594099636,0.001973286714936898,0.0001,4.921808642410922e-06,0.0049884374177913745,6.417148414768255e-05,15176,0.04584867270253398
46,0.045156195805338833,0.04309702840494098,0.001984660769085449,0.0001,4.93980159757252e-06,0.0049779807960317855,5.533526849088638e-05,15207,0.045156195805338833
47,0.04629270638161659,0.043560176658778274,0.0019553045298121036,0.0001,4.8432802811634645e-06,0.004953990754196109,5.669432744133915e-05,15168,0.04629270638161659
48,0.04523728852174404,0.04398980294478101,0.0015875105945412132,0.0001,3.858369771606372e-06,0.004860905854579737,5.9140168292986094e-05,15190,0.04523728852174404
49,0.04115039967013947,0.04442985859105219,0.0018396351344095471,0.0001,4.245601674684972e-06,0.004615699706178582,4.779821331782812e-05,15289,0.04115039967013947
50,0.03942687490784989,0.0448819417322206,0.0018477381631845278,0.0001,4.274596289982842e-06,0.0046268420224818965,5.0373073861873866e-05,15287,0.03942687490784989
51,0.04304171395042103,0.04534619935325698,0.0018100622194608237,0.0001,4.098232380829783e-06,0.004528277908646205,6.328439104805517e-05,15218,0.04304171395042103
52,0.04076070838482776,0.04569837032150295,0.001624738546023624,0.0001,3.3379698952580065e-06,0.00410893174588285,5.166788070381042e-05,15180,0.04076070838482776
53,0.05030165566466251,0.04626384135458626,0.0020678593189086556,0.0001,5.334333676356775e-06,0.0051592810280459995,6.0002977157868874e-05,15068,0.05030165566466251
54,0.05012058975904925,0.046785858131654354,0.0020001734576218393,0.0001,5.022870756862105e-06,0.005022435167032146,7.035135158194921e-05,15142,0.05012058975904925
55,0.04063511730748602,0.04722565512646465,0.0017433750017569038,0.0001,3.829399222213473e-06,0.0043930872226048395,4.80787448196041e-05,15260,0.04063511730748602
56,0.04276578701002791,0.04768221930944111,0.0017747537496252822,0.0001,3.945465508124065e-06,0.00444621177327514,5.5971224065600414e-05,15265,0.04276578701002791
57,0.04408708201328211,0.04809290562473105,0.0017845856803758366,0.0001,4.024466450890097e-06,0.004510252990534517,7.255376025615966e-05,15294,0.04408708201328211
58,0.050497234558121426,0.048608852856608244,0.0020122838445182493,0.0001,5.067056513934407e-06,0.005036125025540307,6.470716384990408e-05,15170,0.050497234558121426
59,0.05079296339474802,0.04912366027249907,0.0019088128587654426,0.0001,4.559596775856055e-06,0.0047774162405895045,5.925200191888089e-05,15072,0.05079296339474802
60,0.050461791776404835,0.04965452046309991,0.0019142180678740277,0.0001,4.534777536907194e-06,0.0047379947070958495,7.2636855596839e-05,15089,0.050461791776404835
61,0.05022442977027923,0.05019281438854886,0.0020168987201004966,0.0001,5.070627257790657e-06,0.005028142669987912,7.742590757686084e-05,15101,0.05022442977027923
62,0.048347422652165996,0.05075945983133252,0.0019908388821982667,0.0001,4.915449687033175e-06,0.004938068802037439,6.440686973625576e-05,15038,0.048347422652165996
63,0.04960491059185475,0.051300837082612946,0.0020039844317717302,0.0001,4.982128683976463e-06,0.004972222942442466,7.14353039300116e-05,15114,0.04960491059185475
64,0.048855781245175714,0.05183836237757439,0.0019188502998040433,0.0001,4.5294506509038866e-06,0.004721004709295398,7.640039444141956e-05,15157,0.048855781245175714
65,0.04897461942102989,0.05230143711126254,0.001844257807283538,0.0001,4.2593641296354814e-06,0.004619055007183866,6.850679237486129e-05,15097,0.04897461942102989
66,0.0559497275960482,0.05289331933231291,0.00216702016978001,0.0001,5.838966607381486e-06,0.00538893609649627,9.568151749202343e-05,14990,0.0559497275960482
67,0.04697886784056829,0.053415950201492056,0.0018858581509989937,0.0001,4.409275740098108e-06,0.004676147819243337,6.542510293825847e-05,15187,0.04697886784056829
68,0.059010327599879994,0.05398390366025351,0.0021146539536275725,0.0001,5.581353460653028e-06,0.005278739295456379,7.941362381996809e-05,14960,0.059010327599879994
69,0.052746243928067545,0.054471416054674066,0.0017304716667867377,0.0001,4.468156495553936e-06,0.005164090902280679,7.659327433803623e-05,15042,0.052746243928067545
70,0.05365669904007743,0.05490364646525751,0.0016584573237641144,0.0001,4.131363645905322e-06,0.004982176612815795,8.744675898761869e-05,15016,0.05365669904007743
71,0.05006013213276592,0.05540624195508969,0.001971204588752193,0.0001,4.860293869255614e-06,0.004931293176759765,7.520356342158909e-05,15115,0.05006013213276592
72,0.05703002157572288,0.05602171480998293,0.0022334004492527756,0.0001,6.174489425737718e-06,0.0055292273517751865,0.00010224978569252282,14987,0.05703002157572288
73,0.05430081514604454,0.05657463985032421,0.002099788532200274,0.0001,5.443979474092071e-06,0.005185264506981158,8.499034990064096e-05,15052,0.05430081514604454
74,0.06097725080697515,0.05722318128798657,0.0021728375067073657,0.0001,5.77243931094479e-06,0.005313272891438738,8.541567348721071e-05,14910,0.06097725080697515
75,0.05073899066371662,0.05776337282735195,0.0019032146633820022,0.0001,4.437101823120567e-06,0.004662744469649956,7.673858434754433e-05,15121,0.05073899066371662
76,0.056603978044136555,0.05824303299578951,0.00170126396818222,0.0001,4.232266807284901e-06,0.004975438128871941,9.943694150878645e-05,15035,0.056603978044136555
77,0.056840620373266454,0.058880877982966776,0.0021869443094891714,0.0001,5.877085017964517e-06,0.0053747002083809736,8.083244617910294e-05,15037,0.056840620373266454
78,0.0535512395873293,0.05949281908964467,0.0020803684739730682,0.0001,5.343024642799261e-06,0.005136613739002882,8.257684572636118e-05,15014,0.0535512395873293
79,0.05299472731480025,0.060020484602705065,0.0019070446464030763,0.0001,4.4747281293276836e-06,0.004692840451079715,8.292271593136243e-05,15102,0.05299472731480025
80,0.06457474123741933,0.06068600594508598,0.002322142026884346,0.0001,6.626720953604459e-06,0.0057074208871673825,0.00010796737954190072,14865,0.06457474123741933
81,0.06046950115740599,0.061286195218501004,0.0020307059147810346,0.0001,5.006550162291318e-06,0.004930847077215668,9.735903133498615e-05,14924,0.06046950115740599
82,0.067633861556993,0.061976742364222015,0.002324466469985631,0.0001,6.610398813146553e-06,0.00568766975002863,0.00011146103739411722,14778,0.067633861556993
83,0.05850509847876374,0.06263066367838294,0.0022894894318011357,0.0001,6.442720441459704e-06,0.005628084892614011,0.00010678461773269524,14879,0.05850509847876374
84,0.06503692833459326,0.06323443096063078,0.002196432959068491,0.0001,6.102953757849996e-06,0.005557150044259274,0.00010457087569778765,14849,0.06503692833459326
85,0.06251645840302215,0.06392520660300488,0.002311545661079088,0.0001,6.494360362188196e-06,0.005619063011851961,0.00010490547202001182,14889,0.06251645840302215
86,0.06121399629327849,0.0645865473077811,0.0021987314740646562,0.0001,5.853365501305384e-06,0.005324311377127501,9.610854932555731e-05,14945,0.06121399629327849
87,0.06767682084017546,0.06528099486268679,0.0023086310649372034,0.0001,6.520746020001811e-06,0.005649015227280743,0.00011119908551760731,14826,0.06767682084017546
88,0.06894549128331214,0.06597580891194929,0.002306789766659351,0.0001,6.479884008908202e-06,0.005618096718273764,0.00011697378545960074,14765,0.06894549128331214
89,0.07280881385046742,0.06656052238151736,0.0020327662150079573,0.0001,6.022200467196576e-06,0.00592512845081204,0.00012119148549993088,14678,0.07280881385046742
