iteration,true_perf_mean,true_perf_std,mc_perf_mean,mc_perf_std,bound_mean,bound_std,alpha_mean,alpha_std,beta_mean,beta_std,cum_samples_mean
0,0.026208741920428803,3.927737526254922e-05,0.025222099486643484,0.0025340270790098996,2.3266356829129405e-06,3.272995134289671e-07,0.0013387726029153186,9.42890280141126e-05,0.0001,0.0,15540.6
1,0.02649364699012861,2.2713050059823522e-05,0.02670348241281867,0.0021855880111910585,2.779843778901608e-06,5.804285539896701e-07,0.0014600315137229098,0.0001558511391519151,0.0001,0.0,31027.8
2,0.026769177774179725,4.159344912476344e-05,0.026242220132653815,0.0018433464455377211,2.449007001378173e-06,2.824607511082624e-07,0.0013717934745194422,8.070639949812407e-05,0.0001,0.0,46554.8
3,0.027059694664202143,2.3352808623143447e-05,0.02646195187655498,0.0015884862286288735,2.5871085589000645e-06,4.120813111247758e-07,0.0014107022354932306,0.00011454800525853173,0.0001,0.0,62070.4
4,0.02733480209399484,3.400799768546956e-05,0.024206641375477785,0.0023588579364395776,2.3942057012424366e-06,3.289433553447328e-07,0.0013616119361910845,9.681007200512196e-05,0.0001,0.0,77599.8
5,0.027640036320968935,4.141166652625447e-05,0.025948880711615285,0.0022212135164257456,2.8039895370868317e-06,3.37998127993289e-07,0.0014734098606591754,9.09078129916379e-05,0.0001,0.0,93103.2
6,0.02789496486885721,3.627542071509142e-05,0.024210344031876406,0.0018908624919803897,2.2274776628908986e-06,2.7827630788206673e-07,0.001309439134702789,8.222200553731728e-05,0.0001,0.0,108667.0
7,0.02817239607823079,6.13878137820055e-05,0.025819410173671842,0.005820590103298702,2.3645760575341018e-06,5.6363473738105e-07,0.001344546938920703,0.00017258752265617293,0.0001,0.0,124193.6
8,0.028466669060878254,6.053859834489274e-05,0.027143351099141864,0.00450720891948256,2.627006391174441e-06,3.858633971119819e-07,0.001425440022749384,0.00010195713226178047,0.0001,0.0,139670.0
9,0.02876268872235292,8.761045866268895e-05,0.02815266593782717,0.002270999432481837,2.8853799330531385e-06,4.318487061637146e-07,0.0014893727879386743,0.0001105391943590458,0.0001,0.0,155147.6
10,0.029063944367398807,9.060431787256284e-05,0.028280535163532905,0.0013623286184597742,2.7468240097206195e-06,2.72834811297533e-07,0.001457939402526514,7.046093048625902e-05,0.0001,0.0,170595.0
11,0.029385783601321463,8.529382023849256e-05,0.032276931691617924,0.0032179443006288733,3.095383792949367e-06,5.449094896085432e-07,0.0015444170124169153,0.00013693266458799047,0.0001,0.0,186014.8
12,0.029674555413839475,8.847284348182878e-05,0.02896511496784515,0.004847583173568962,2.6087884143609606e-06,4.544797125335461e-07,0.0014204810032811361,0.00011667052955189546,0.0001,0.0,201474.6
13,0.02998742791091184,8.166939556573079e-05,0.029389324656358896,0.0013543141054942849,2.890156862917443e-06,3.20127322205556e-07,0.0014953961807303163,8.375281615056236e-05,0.0001,0.0,216912.6
14,0.030303446306319527,8.018621038747722e-05,0.030084904860515894,0.002373253204614661,3.067161953033143e-06,2.7752222649826775e-07,0.001539335547792797,7.013848870948573e-05,0.0001,0.0,232353.4
15,0.030614313087797985,8.670681203134982e-05,0.029490346023387147,0.004064604451868137,2.7960325498511735e-06,6.230187812180523e-07,0.0014657803167403836,0.00015826201040613022,0.0001,0.0,247832.2
16,0.030942648162504575,7.760354910205419e-05,0.03130032671341881,0.0022004131659619994,3.036902505312969e-06,3.4671248195837856e-07,0.0015358104170187584,8.798278645998161e-05,0.0001,0.0,263221.8
17,0.031240388144415578,0.00010636094693016834,0.02887626866315022,0.002667401434390659,2.651589051013878e-06,3.7785108018304955e-07,0.0014359094285742455,0.00010757915168152954,0.0001,0.0,278700.8
18,0.03156566358236012,0.000119175526525272,0.030714846012062015,0.0022397547024743656,3.083046148752042e-06,3.489319046686418e-07,0.0015451591667540532,8.75857157745822e-05,0.0001,0.0,294139.6
19,0.03190410193507688,0.00014199503735714481,0.03077425399503505,0.004371461000554506,3.1104110327107467e-06,5.181294399026447e-07,0.0015539194877417148,0.0001279881438347248,0.0001,0.0,309559.6
20,0.03224922371336846,0.0001599084666623704,0.03399559290176134,0.0029908938828212446,3.159457735103946e-06,2.2270127281143248e-07,0.0015699010072896473,5.7695481317776355e-05,0.0001,0.0,324943.6
21,0.03261462993710608,0.0001771529682286116,0.03300192728780091,0.0033861311112747877,3.3725562826819176e-06,4.161888398363493e-07,0.001619105607394014,9.60236337663496e-05,0.0001,0.0,340338.0
22,0.03294247604928599,0.00015913619207355602,0.03173365315886023,0.0014890867413013815,2.8722942753102623e-06,1.654133103710145e-07,0.0014978166176041995,4.152927334902263e-05,0.0001,0.0,355753.0
23,0.03330589877767042,0.0001831464459801101,0.03133071557770913,0.0024378770925112974,3.1391857610206217e-06,3.9470155876003297e-07,0.0015651936072723222,0.0001006508857486734,0.0001,0.0,371189.4
24,0.03370662865392169,0.00017583059653537551,0.037304120873900594,0.002043946933243807,3.7292109568090183e-06,2.5761472532807696e-07,0.0017066407074675448,5.8459066360071007e-05,0.0001,0.0,386536.4
