# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
0.000000000000000000000000000000e+00;4.591069625855052904750408515611e-02;3.936758684969744737092156583458e-02;9.919565669673711103861146742844e-05;1.600000000000000088817841970013e+00;1.398650836020234544676554833131e+00;8.000000000000000444089209850063e-01;1.120166893948165709460340622172e-01;1.954640949327044168598588314012e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.847474866630374727748467589272e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;4.591079500496052234748134424080e-02;3.954722387560048735277717923964e-02;8.948106544066556072153373335709e-05;1.596872574481077000640993901470e+00;1.395688522145505983118596304848e+00;8.000000000000000444089209850063e-01;1.119722175182460699449649155213e-01;0.000000000000000000000000000000e+00;1.233235056090075678313089380111e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;5.517559337885945223379174597771e-09;5.000616617528045315665963244101e-01;4.999383382471955239445549068478e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;4.656699757378163218035638237779e-02;3.954660981092109062196016111557e-02;8.946999912505637750533005192466e-05;1.596872574481077000640993901470e+00;1.395688122229617356140352057992e+00;7.999013411955129271291298209690e-01;1.119583392143146949315735128039e-01;1.971551403732812145219721600142e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.898408704279764352539777716444e-05;5.000616617528045315665963244101e-01;4.999383382471955239445549068478e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;4.656707657101834263446704653688e-02;3.972507320837435212945720763855e-02;7.956488330918149440903336389042e-05;1.997385107548031557556100779038e+00;1.392701537708983083874159092375e+00;7.999013411955129271291298209690e-01;1.119130951157134845619367524705e-01;0.000000000000000000000000000000e+00;1.097284082838820214482120074528e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.365264000404650461069116558098e-09;5.001165191909004992254494936788e-01;4.998834808090996117968529688369e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;4.723259247115117742676915213451e-02;3.972452094109109321795614278017e-02;7.955614334890254049463542695975e-05;1.593724258115276182223851719755e+00;1.392701184044347062496171929524e+00;7.998135692945593788749647501390e-01;1.119007546639681494049511911726e-01;1.988588992712066096796297287597e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.949787254210686314806477703598e-05;5.001165191909004992254494936788e-01;4.998834808090996117968529688369e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;4.723265356791891966814489478566e-02;3.990175611271547240210821883011e-02;6.945896912547314745907389710311e-05;1.590554995598169929493792551511e+00;1.389690217006311456771072698757e+00;7.998135692945593788749647501390e-01;1.118547289885269135911727289567e-01;0.000000000000000000000000000000e+00;9.585178319311229338042790182328e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.328883024715967186920859537396e-09;5.001644339139248440773144466220e-01;4.998355660860752669449880158936e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;4.790757894959152968228366376024e-02;3.990126858201759052491297552478e-02;6.945232112372392392282693940331e-05;1.590554995598169929493792551511e+00;1.389689910096726155330770779983e+00;7.997369057377204937253623029392e-01;1.118439560108209218647346006037e-01;2.005753689143100534225672149091e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.001605832993573462399300444403e-05;5.001644339139248440773144466220e-01;4.998355660860752669449880158936e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;4.790762413416770060248239815337e-02;4.007722039867788604849963007837e-02;5.916159563685448026602170523702e-05;1.587364734047963965579697287467e+00;1.386654451619697914210860290041e+00;7.997369057377204937253623029392e-01;1.117971393651487066467353770349e-01;0.000000000000000000000000000000e+00;8.169153014066961857909954236590e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.416500636569103424921213478104e-09;5.002052662461371479452054700232e-01;4.997947337538629630770969924924e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;4.859205468182151155254189234256e-02;4.007680058108811782524583122722e-02;5.915678800108678699054554073200e-05;1.587364734047963965579697287467e+00;1.386654191899111987495984976704e+00;7.996715740061807187188946954848e-01;1.117879636822858291367310812348e-01;2.023045440436185577609551344835e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.053859434142029416958327714404e-05;5.002052662461371479452054700232e-01;4.997947337538629630770969924924e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;4.859208608704571746850220392844e-02;4.025141340513534171652310078571e-02;4.867106130456223843979562948547e-05;1.584153423060438825586970779113e+00;1.383594136119073114699062898580e+00;7.996715740061807187188946954848e-01;1.117403466365040065610969577392e-01;0.000000000000000000000000000000e+00;6.724563901020393357366861097901e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.636458309365048791197912213605e-09;5.002388752623823098275579468464e-01;4.997611247376177456835932844115e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+01;4.928611696044064849342447587333e-02;4.025106431260314088227403317433e-02;4.866782469471525509469023162978e-05;1.584153423060438825586970779113e+00;1.383593923947614046099374718324e+00;7.996177995801883042759072850458e-01;1.117327982595913704599865923228e-01;2.040464168275390229728705193679e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.106542723240749949041236699365e-05;5.002388752623823098275579468464e-01;4.997611247376177456835932844115e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
