# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_target[0];w_target[1]
0.000000000000000000000000000000e+00;4.582901009996601798812676520356e-02;3.936758684969744737092156583458e-02;9.919565669673711103861146742844e-05;1.600000000000000088817841970013e+00;1.398650836020234544676554833131e+00;8.000000000000000444089209850063e-01;1.120166893948165709460340622172e-01;1.708662623684784271152481416323e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.363296211737133354323370237893e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;4.640128186518817365868727620182e-02;3.952474643183312430494424916105e-02;9.071051537564888604756735412948e-05;1.597266139802104412126482202439e+00;1.396061554132062010324943912565e+00;8.000000000000000444089209850063e-01;1.119778403017671619679163086403e-01;1.721361211670161461481654008310e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.401818270442806904380744770222e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;4.698058427630599775959296948713e-02;3.968099852697942048207480070232e-02;8.207998960823968551472895605059e-05;1.594516667824334987813017505687e+00;1.393454060899195656730853443150e+00;8.000000000000000444089209850063e-01;1.119384011666240130722371759475e-01;1.734131215742530478240990277072e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.440602910873419024561509216298e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;4.756697531854083005331546019079e-02;3.983630571623954230719988345299e-02;7.330320687439490618363124863066e-05;1.591751566696638864328861018294e+00;1.390828301343790096566976899339e+00;8.000000000000000444089209850063e-01;1.118983665451345338448518873520e-01;1.746972124343912401503442488604e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.479645781155626688835313942150e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;4.816051240679564138247314986074e-02;3.999063029891351817024514048171e-02;6.437932939002452125548670025523e-05;1.588970821080739170838569407351e+00;1.388184222923958488493667573493e+00;8.000000000000000444089209850063e-01;1.118577310213205305844397230430e-01;1.759883402332554705460587740617e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.518942325593762049168108929642e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;4.876125234758826865189007548906e-02;4.014393430812994434386808961790e-02;5.530755537170610664811365442262e-05;1.586174417705928485489152990340e+00;1.385521775600758509483512170846e+00;8.000000000000000444089209850063e-01;1.118164892101826679571274780756e-01;1.772864490872042746508197019750e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.558487782939176072944872930570e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;4.936925130043313264538440421347e-02;4.029617952706719685718184109646e-02;4.608712030227751993774476524379e-05;1.583362345404447868446595748537e+00;1.382840911905220071531630310346e+00;8.000000000000000444089209850063e-01;1.117746357604490342607661546026e-01;1.785914807337289243391320603394e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.598277184825551848956423639514e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;4.998456473869479499416712542370e-02;4.044732750576146562693224950635e-02;3.671729819585103546907001170752e-05;1.580534595146409815313859326125e+00;1.380141587005375702901233125885e+00;8.000000000000000444089209850063e-01;1.117321653573690454219757839383e-01;1.799033745237990471188549435055e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.638305354377882009243166949730e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;5.060724740993901432650758920317e-02;4.059733957849656627026035948802e-02;2.719740286066753189725409001198e-05;1.577691160074225384946089434379e+00;1.377423758773211881489828556369e+00;8.000000000000000444089209850063e-01;1.116890727255491766456430013932e-01;1.812220674160099076477337121105e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.678566905002476742931466491271e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;5.123735329580830777373989803891e-02;4.074617688177040175645515773795e-02;1.752678915816987701911666697185e-05;1.574832035536499308392421880853e+00;1.374687387851495357082853843167e+00;8.000000000000000444089209850063e-01;1.116453526318310351950202630178e-01;1.825474939725857132649666780821e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.719056239365446805229462046150e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+01;5.187493557145028688637466984801e-02;4.089380037283098928702074204011e-02;7.704854256617517296173991425690e-06;1.571957219121350002311032767466e+00;1.371932437720396524838406548952e+00;8.000000000000000444089209850063e-01;1.116009998882081799553844803086e-01;1.838795863572903564048255375951e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.759767548566885696182879317284e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.100000000000000000000000000000e+01;5.252004656452920194897870942441e-02;4.104017084877462084868682268279e-02;2.268961122462798477017464904293e-06;1.569066710689116073140780827089e+00;1.369158874763845457067645838833e+00;8.000000000000000444089209850063e-01;1.115560093547812853254086462584e-01;1.852182743352996522126496792282e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;3.800694811517953499747923817864e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.200000000000000000000000000000e+01;5.317273771385241237785734824683e-02;4.118524896619694952715207136862e-02;1.239517146677651996365676634326e-05;1.566160512404408011732925842807e+00;1.366366668335550871304917563975e+00;8.000000000000000444089209850063e-01;1.115103759427493457234703555514e-01;1.865634852750823859460216347372e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.841831794527842612292992119372e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.300000000000000000000000000000e+01;5.383305952764480539762814714777e-02;4.132899526138709284106553809579e-02;2.267424524644555427523029411674e-05;1.563238628767464222235616944090e+00;1.363555790824613644929286238039e+00;8.000000000000000444089209850063e-01;1.114640946174347418962113920315e-01;1.879151441523410409270566923112e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.883172051107487005028318094446e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.400000000000000000000000000000e+01;5.450106154150604481634090348052e-02;4.147137017105348433254619067156e-02;3.310660369979591443126420990950e-05;1.560301066644770973113054424175e+00;1.360726217720658270948774770659e+00;8.000000000000000444089209850063e-01;1.114171604013406841060529472998e-01;1.892731735560572664880951698763e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.924708921996649660032807638288e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.500000000000000000000000000000e+01;5.517679227608696113094310931046e-02;4.161233405356875442171471490838e-02;4.369261963355262575782467227015e-05;1.557347835298903415690574547625e+00;1.357877927678409868406106397742e+00;8.000000000000000444089209850063e-01;1.113695683772382982734683309900e-01;1.906374936966865381998692541288e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.966435535420814788255469696132e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.600000000000000000000000000000e+01;5.586029919452336484075871680943e-02;4.175184721072036642119940097473e-02;5.443261623936862590548979579097e-05;1.554378946417549922642820092733e+00;1.355010902581641474284879222978e+00;8.000000000000000444089209850063e-01;1.113213136912814815726591177736e-01;1.920080224165452266807396775050e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.008344807584083755412629468395e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.700000000000000000000000000000e+01;5.655162865966537055761875762983e-02;4.188986990995199888310196456587e-02;6.532686592861518021409239498354e-05;1.551394414141674449325591922388e+00;1.352125127606417454018128410098e+00;8.000000000000000444089209850063e-01;1.112723915561473486679489042217e-01;1.933846752024302772035579955912e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.050429443404062899904832795173e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.800000000000000000000000000000e+01;5.725082589114518366590900200208e-02;4.202636240707907644420515680395e-02;7.637558918738223214840721286834e-05;1.548394255092777838100914777897e+00;1.349220591283541104132837062934e+00;8.000000000000000444089209850063e-01;1.112227972541985493437621812518e-01;1.947673652005069318271512912588e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.092681937494213042713631089953e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
1.900000000000000000000000000000e+01;5.795793492232309551681623815966e-02;4.216128496946230236330777074727e-02;8.757895345367215536418192822765e-05;1.545378488399217653537220940052e+00;1.346297285560155154726658111031e+00;8.000000000000000444089209850063e-01;1.111725261406672909947346283843e-01;1.961560032335039373274643281775e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.135094575399263981630923470156e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.000000000000000000000000000000e+01;5.867299855715736589534259337597e-02;4.229459789961934057522796592821e-02;9.893707201877430419678649542448e-05;1.542347135721543471831296301389e+00;1.343355205860381706983730509819e+00;8.000000000000000444089209850063e-01;1.111215736468557091498610134295e-01;1.975504978202442113444092797181e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.177659435088427867556470918231e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.100000000000000000000000000000e+01;5.939605832704210330863503486398e-02;4.242626155925582204231361060920e-02;1.104500029548313136569526182740e-04;1.539300221276809210735336819198e+00;1.340394351144940765507840296777e+00;8.000000000000000444089209850063e-01;1.110699352833515729521707271488e-01;1.989507551975426471319030596874e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.220368388711209735103188633865e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.200000000000000000000000000000e+01;6.012715444765952266248376645308e-02;4.255623639369450483815882080307e-02;1.221177480706188878296913902233e-04;1.536237771861821421737204218516e+00;1.337414723969668539638178117457e+00;8.000000000000000444089209850063e-01;1.110176066432563973807035040409e-01;2.003566793444978150207091971424e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.263213104620048996993772472131e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.300000000000000000000000000000e+01;6.086632577589400072692882304182e-02;4.268448295668022390847440306061e-02;1.339402518975575087558510523067e-04;1.533159816875283354420389514416e+00;1.334416330542836037764686807350e+00;8.000000000000000444089209850063e-01;1.109645834054220903119869490183e-01;2.017681720091995915822291607356e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.306185049663602872884946015652e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
2.400000000000000000000000000000e+01;6.161360976685773677141710891192e-02;4.281096193553733664227678445968e-02;1.459174007079888093444536290022e-04;1.530066388338794602930192922940e+00;1.331399180781190016986670343613e+00;8.000000000000000444089209850063e-01;1.109108613376934004968177305273e-01;2.031851327378728609696079132618e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.349275491754089699968088833515e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00
