# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;3.093747528942251967531973377845e-02;2.888826633256425663320854368976e-02;4.107095528453609621865143049627e-19;2.000000000000000000000000000000e+00;1.544153150529847806637917528860e+00;2.775557561562891351059079170227e-16;1.281554601851232981151625950397e-17;1.039342298781545685312788229737e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.501239856895043315242969234058e-05
1.000000000000000000000000000000e+00;3.118495287368151097640023294844e-02;2.898198213748345158924379916243e-02;4.133546753120118405334989052547e-19;2.000000000000000000000000000000e+00;1.548844617928139655305130872875e+00;2.775557561562891351059079170227e-16;1.281919727691840440620684048010e-17;1.039555614625109654369783385164e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.506419112699277927159592638251e-05
2.000000000000000000000000000000e+00;3.143595159701695340714877602295e-02;2.907525928254054564670028071305e-02;4.160043685061599323012982840487e-19;1.998960444385374790599030347948e+00;1.538609089119050921112830110360e+00;2.775557561562891351059079170227e-16;1.282277162206028002534237126338e-17;1.050385197546305085861129136049e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.527011098260069453698417607512e-05
3.000000000000000000000000000000e+00;3.168854029896358420748114781418e-02;2.916904193018464430675606990917e-02;4.186857080882620667070386430866e-19;1.999299743201635726208564847184e+00;1.539369226625666442487272433937e+00;2.775557561562891351059079170227e-16;1.282630479889174199091977359915e-17;1.053074131942600922748343172941e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.535858175511326079404166022879e-05
4.000000000000000000000000000000e+00;3.194404832178650288643240173769e-02;2.926259227885247976574945028005e-02;4.213779172562800622134043684726e-19;1.999308419932295910470543276460e+00;1.532396088093912034366894658888e+00;2.775557561562891351059079170227e-16;1.282976836138729058250691481707e-17;1.061254285915896617559228687355e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.552752573647081242406986500981e-05
5.000000000000000000000000000000e+00;3.220114465880735687974834036140e-02;2.935638951081642397666904287235e-02;4.240950529282778921133198836871e-19;1.997210360310179844134381710319e+00;1.535150973587757317062596484902e+00;2.775557561562891351059079170227e-16;1.283318009220178618777712082515e-17;1.063861835254508933501504941432e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.561557121071168767402655153109e-05
6.000000000000000000000000000000e+00;3.246020404193063896292059666848e-02;2.944993194347042889114085539859e-02;4.268228230839179152586380483029e-19;1.996512803443948103065963550762e+00;1.534618526246453118488943800912e+00;2.775557561562891351059079170227e-16;1.283652088233150747520692807417e-17;1.067995074189563532371383125508e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.572619112542214786076150145888e-05
7.000000000000000000000000000000e+00;3.272207105252557951535763436368e-02;2.954334766156670871728451288618e-02;4.295651136537952466517290100367e-19;1.994380537604313552435542078456e+00;1.530297291428044603733837902837e+00;2.775557561562891351059079170227e-16;1.283979525164377316786039459663e-17;1.075556820919705992151138573831e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.588777454510015830460752106479e-05
8.000000000000000000000000000000e+00;3.298590514455779915126143464477e-02;2.963692713424307192959794576836e-02;4.323307306007604295208689739539e-19;1.996488121242521174281137064099e+00;1.527756227365680841145945123571e+00;2.775557561562891351059079170227e-16;1.284301289570329144493695395862e-17;1.079617385971554143278550164098e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.599827090045046365887095041192e-05
9.000000000000000000000000000000e+00;3.325258581751901199030641009813e-02;2.973035600603152195375855626480e-02;4.351106622413711763097952057007e-19;1.994408559066297437212256227212e+00;1.523436246569268348594050621614e+00;2.775557561562891351059079170227e-16;1.284616252687897864410432511978e-17;1.087224390236007053045508286004e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.616178409007851962415208690871e-05
