# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;4.533711817467617893884224145040e-02;3.936758684969744737092156583458e-02;9.270270499739493749258992670094e-19;1.600000000000000088817841970013e+00;1.398650836020234544676554833131e+00;2.775557561562891351059079170227e-16;1.136648048711513716697783816341e-17;2.225169628678289209227497691401e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.379977930615079517360187233432e-06
1.000000000000000000000000000000e+00;4.541064509599625209634865541375e-02;3.938815462699730984841295367005e-02;9.283051806225821423739270993051e-19;1.599643972859411622522429752280e+00;1.398313830148252723262203289778e+00;2.775557561562891351059079170227e-16;1.136907411889702109370474367155e-17;2.227364370708849537327383982799e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.386588612207237034370556350016e-06
2.000000000000000000000000000000e+00;4.548429136869976130430615057776e-02;3.940870783691408085758212109795e-02;9.295848853291604923605875473759e-19;1.599287673860315006635346435360e+00;1.397976508994817734787829976995e+00;2.775557561562891351059079170227e-16;1.137166466417885222447987806007e-17;2.229560967143187210238314266419e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.393205837936674896604741236139e-06
3.000000000000000000000000000000e+00;4.555805713485022723219231011171e-02;3.942924639753211252246600793114e-02;9.308661646319404368483087065803e-19;1.598931102923027758322405134095e+00;1.397638872394401765575366880512e+00;2.775557561562891351059079170227e-16;1.137425211431067058519773874639e-17;2.231759417592195349731853948327e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.399829598812772796635837263546e-06
4.000000000000000000000000000000e+00;4.563194253642510050950065192410e-02;3.944977022683697487348553067932e-02;9.321490190634211906027507855880e-19;1.598574259968324806635564527824e+00;1.397300920182019456916577837546e+00;2.775557561562891351059079170227e-16;1.137683646063840395613556752188e-17;2.233959721660362966397239681271e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.406459885775501159207133416995e-06
5.000000000000000000000000000000e+00;4.570594771531498456962339105303e-02;3.947027924271571258652002711642e-02;9.334334491503185933595735625260e-19;1.598217144917439602735953485535e+00;1.396962652193227905073058536800e+00;2.775557561562891351059079170227e-16;1.137941769450387557567312810092e-17;2.236161878945758154507705839364e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.413096689695246652444977908392e-06
6.000000000000000000000000000000e+00;4.578007281332193562084498239528e-02;3.949077336295750417782812746736e-02;9.347194554135491246058979709203e-19;1.597859757692065230116895691026e+00;1.396624068264133100569779344369e+00;2.775557561562891351059079170227e-16;1.138199580724488425897839262982e-17;2.238365889040030531475372610473e-04;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.419740001372738495992367052656e-06
7.000000000000000000000000000000e+00;4.585431797215877569584563389071e-02;3.951125250525393955980391069716e-02;9.360070383682035183400679945650e-19;1.597502098214356625049958893214e+00;1.396285168231387707749036053428e+00;2.775557561562891351059079170227e-16;1.138457079019522134619105229452e-17;2.240571751528391722212141257131e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.426389811538870584090021864654e-06
8.000000000000000000000000000000e+00;4.592868333344730935596800236453e-02;3.953171658719985270824537337830e-02;9.372961985235355926779732215545e-19;1.597144166406929910451140131045e+00;1.395945951932200834733066585613e+00;2.775557561562891351059079170227e-16;1.138714263468479550268291361349e-17;2.242779465989623761696530879206e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.433046110854662522060814361380e-06
9.000000000000000000000000000000e+00;4.600316903871731061270722307199e-02;3.955216552629338411239956485588e-02;9.385869363829308571949553323388e-19;1.596785962192865726549939608958e+00;1.395606419204331816175113090139e+00;2.775557561562891351059079170227e-16;1.138971133203959111897109967344e-17;2.244989031996056326728056218300e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.439708889911060573567162801378e-06
