iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.04370465938896162,0.04563100609615624,0.0019471820184395797,0.0001,2.8103851758501428e-06,0.0028866178397665265,5.1181627848876866e-20,7577,0.04370465938896162
1,0.03425629585254916,0.045862599816061916,0.001476447984262206,0.0,1.592403641976744e-06,0.002157073813572216,0.0,7665,0.03425629585254916
2,0.03921337862934502,0.046206565347246764,0.0018036613832844836,0.0,2.2852894752327786e-06,0.0025340560001026868,0.0,7633,0.03921337862934502
3,0.043171451122597085,0.04657351041036026,0.0019454648491520907,0.0,2.7553946970943273e-06,0.0028326337515635256,0.0,7620,0.043171451122597085
4,0.035743016852905915,0.046906304107894425,0.0018648752270041086,0.0,2.427265352534596e-06,0.002603139681826283,0.0,7726,0.035743016852905915
5,0.051987707471149516,0.04731967924315147,0.0021124459812522233,0.0,3.280778332067963e-06,0.003106141753384077,0.0,7511,0.051987707471149516
6,0.03478918494238655,0.04754957290016025,0.0015887171680235837,0.0,1.76971794321205e-06,0.002227857769565917,0.0,7698,0.03478918494238655
7,0.0471977025639507,0.047932850876446914,0.0019976047261266597,0.0,2.9787926518894785e-06,0.0029823644417034736,0.0,7539,0.0471977025639507
8,0.040460030524271474,0.0481961637431878,0.0016479611158641797,0.0,1.9420352792111335e-06,0.0023568945414015347,0.0,7595,0.040460030524271474
9,0.043129047438911806,0.04857247605968156,0.002042704915959916,0.0,2.8178204822807723e-06,0.0027589109521054932,0.0,7634,0.043129047438911806
10,0.05186672865567738,0.04889593150823217,0.0018424205336141906,0.0,2.385206794965147e-06,0.0025892099566283034,0.0,7485,0.05186672865567738
11,0.05124383487872528,0.04924952307473998,0.0018901751594587227,0.0,2.5835507869026107e-06,0.0027336628290496054,0.0,7522,0.05124383487872528
12,0.036084646766798734,0.04953387433084755,0.0017509331297076778,0.0,2.1557240507443503e-06,0.002462371651057003,0.0,7663,0.036084646766798734
13,0.04962608834378626,0.049870743239711246,0.0018877144196749037,0.0,2.4955523711751825e-06,0.002643993546020545,0.0,7528,0.04962608834378626
14,0.049587462564751376,0.05028240167686031,0.0021218330447000007,0.0,3.116886905062504e-06,0.0029379190910877634,0.0,7543,0.049587462564751376
15,0.05719810089730934,0.050687856587887686,0.00218231201605787,0.0,3.4405893409821013e-06,0.0031531598741752647,0.0,7463,0.05719810089730934
16,0.04650942775698797,0.051017198213920006,0.0019347650480481084,0.0,2.694121474164814e-06,0.0027849598346660065,0.0,7521,0.04650942775698797
17,0.04667737321541214,0.05138622531636525,0.0019022530643869806,0.0,2.542115723805962e-06,0.002672741888446039,0.0,7569,0.04667737321541214
18,0.04932077785447763,0.05164947455896539,0.0014617463833419097,0.0,1.9994874935942088e-06,0.0027357515864316916,0.0,7518,0.04932077785447763
19,0.05733369810099239,0.05205849111093937,0.002086313271088123,0.0,3.1360427100492e-06,0.003006300878691709,0.0,7488,0.05733369810099239
20,0.05036995005747187,0.05239075145335287,0.0019079353255010804,0.0,2.490578579020521e-06,0.0026107578655648837,0.0,7506,0.05036995005747187
21,0.05520835518339814,0.052833364506036096,0.002296219644562513,0.0,3.695534724024073e-06,0.0032187989792484897,0.0,7504,0.05520835518339814
22,0.048869324435635166,0.053198693972522186,0.0020336701153708834,0.0,2.942417994348698e-06,0.00289370234838907,0.0,7572,0.048869324435635166
23,0.05384590354843785,0.053596981196047506,0.0023260995772439626,0.0,3.739453406605335e-06,0.0032152135215431834,0.0,7537,0.05384590354843785
24,0.03595692660059527,0.05390570074329054,0.0018082977762234782,0.0,2.2761055975195573e-06,0.0025174013123801632,0.0,7664,0.03595692660059527
25,0.04876046336891791,0.054254388526871235,0.001942454590022186,0.0,2.5883277005746428e-06,0.002665007165542109,0.0,7531,0.04876046336891791
26,0.052529378330301336,0.05465626904150489,0.0019850630165512153,0.0,2.7576786112785763e-06,0.0027784292874184708,0.0,7493,0.052529378330301336
27,0.046779606185675844,0.055069645861205746,0.002006399757845262,0.0,2.848280255475251e-06,0.002839195174678561,0.0,7554,0.046779606185675844
28,0.05831987555889945,0.0555527945331398,0.002287752534133806,0.0,3.625194943720104e-06,0.003169219475997812,0.0,7475,0.05831987555889945
29,0.06645611361486853,0.056025784847176796,0.002197775467680539,0.0,3.4161359383321592e-06,0.003108721512791694,-7.0568868896638065e-06,7408,0.06645611361486853
30,0.05265725772241884,0.05643607874769571,0.002109684165980377,0.0,3.0292429418370256e-06,0.002871750180131182,-1.7839478595484252e-07,7507,0.05265725772241884
31,0.059741106937334754,0.056899337792092164,0.002208264259453541,0.0,3.3615023548075995e-06,0.0030444747184736297,-5.1273042978078296e-06,7464,0.059741106937334754
32,0.07030854584307464,0.05733622333374852,0.00218543523711256,0.0,3.2691647736695465e-06,0.002991774561106493,-3.4201247207488372e-06,7361,0.07030854584307464
33,0.05129224520593362,0.05776096414823658,0.002136958686599427,0.0,2.9926936178561227e-06,0.0028008904773151595,-3.421052088353506e-06,7532,0.05129224520593362
34,0.06690392714916006,0.058263669778734775,0.002477723724773763,0.0001,4.391569050627476e-06,0.0035448415872342373,4.950634695244546e-06,7312,0.06690392714916006
35,0.04756265200162578,0.05861836452059022,0.0021410520171502756,0.0,3.05673383120382e-06,0.0028553569055947644,-6.065112920046687e-06,7558,0.04756265200162578
36,0.05558075590011645,0.05905143709554671,0.002046998600158656,0.0001,2.891724197292952e-06,0.0028253308986814388,3.5795137009424456e-06,7476,0.05558075590011645
37,0.06627130713387676,0.059506591668973395,0.002319384896518131,0.0,3.655137729505956e-06,0.003151816444948885,-1.781059411778794e-06,7363,0.06627130713387676
38,0.061315507743533885,0.05983132469321984,0.0020290180258285447,0.0001,2.7744655430899192e-06,0.0027347864905803115,2.2770746398046938e-06,7461,0.061315507743533885
39,0.04943511748342812,0.06025479520548796,0.002118282592848304,0.0,3.164910939605005e-06,0.002988185759813447,-3.5216007648099333e-07,7516,0.04943511748342812
40,0.06233546891779286,0.0607778163589365,0.0024384643870461586,0.0001,3.972729534550681e-06,0.003258386348109072,2.5008722540600085e-06,7407,0.06233546891779286
41,0.05899430988063194,0.0611970751737598,0.0022356936716423034,0.0001,3.471104527562728e-06,0.0031051700611675584,1.4767223793518214e-06,7451,0.05899430988063194
42,0.05743554158572063,0.061662455468496025,0.002257384692078085,0.0,3.320763707967699e-06,0.002942133628903718,-8.943461983535497e-07,7469,0.05743554158572063
43,0.05978182272813796,0.062087110252499744,0.0020607362391195394,0.0,2.890232121763216e-06,0.002805048086113227,-1.4170522394119469e-06,7430,0.05978182272813796
44,0.06547287253848694,0.06254526233126481,0.0022664701396158714,0.0001,3.478374248609774e-06,0.0030694198770245427,4.480074565375393e-06,7363,0.06547287253848694
45,0.0614901980693317,0.06296104041910042,0.0020289411697810753,0.0001,2.7726831978936474e-06,0.002733133162449281,9.05066120803364e-09,7399,0.0614901980693317
46,0.0580135611577232,0.06346776650227248,0.002448371045346727,0.0001,3.957110961069317e-06,0.0032324438475859604,5.703653863973512e-06,7515,0.0580135611577232
47,0.059677538148734596,0.06385267140360543,0.0020982321173598456,0.0,2.9586328979052827e-06,0.002820119731679694,-3.097722781685332e-06,7467,0.059677538148734596
48,0.06050208728098616,0.06420887900914868,0.0018635642570962907,0.0001,2.799584832414938e-06,0.0030045487530192343,5.679565105339118e-06,7462,0.06050208728098616
49,0.054064954762826925,0.06465217260252587,0.002148657507852607,0.0001,3.0726082785189442e-06,0.0028600261021494715,6.174773613454148e-07,7506,0.054064954762826925
50,0.06346118724539303,0.06514166249743295,0.0022853653834515424,0.0001,3.4045027856232532e-06,0.0029793947263535596,5.326713878724317e-06,7458,0.06346118724539303
51,0.05512731196002387,0.06551992927985077,0.0021554639770999906,0.0001,3.1313371943162398e-06,0.0029054878463143797,5.299390674270926e-06,7506,0.05512731196002387
52,0.05686262103549944,0.06597346806781602,0.002312686045915176,0.0001,3.4795842741014657e-06,0.0030091280917678774,1.3612198441492677e-06,7474,0.05686262103549944
53,0.06451569116383632,0.06651598705743525,0.0024914142948424534,0.0001,4.130393842707991e-06,0.0033157021305195485,6.456489365553271e-06,7428,0.06451569116383632
54,0.0603305844533681,0.06697776491009488,0.0023423097058749053,0.0001,3.6299143359226118e-06,0.0030994315797079927,2.4929697580056733e-06,7420,0.0603305844533681
55,0.0753209026661111,0.06754383891529481,0.0024675351146633295,0.0001,3.985236741243368e-06,0.0032301357881888656,1.1522375653921148e-06,7267,0.0753209026661111
56,0.07560805805241283,0.0680445189838471,0.0022391203744270252,0.0001,3.3409847646059158e-06,0.0029841939743510655,6.626162240668267e-06,7307,0.07560805805241283
57,0.06792072549947639,0.06853417605737674,0.002570986005340213,0.0001,4.307660562614993e-06,0.0033509793936392657,2.7670674233391e-06,7369,0.06792072549947639
58,0.06309828346548642,0.06902731250829762,0.002278276141106582,0.0001,3.41520002164954e-06,0.002998056258439982,7.028474629766474e-06,7414,0.06309828346548642
59,0.06312959030074847,0.06942282297243987,0.0021382585655519114,0.0001,3.1208280507677678e-06,0.002919037109024505,2.9477001064045813e-05,7459,0.06312959030074847
