iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.038352660185833394,0.04545674502175592,0.0011009917676247944,0.0001,1.1891527704936055e-06,0.002160148341633841,1.811651214608675e-20,3842,0.038352660185833394
1,0.0636747146705742,0.045714779200552495,0.0013060823637484034,0.0,1.6716488248383802e-06,0.0025597908236672236,0.0,3724,0.0636747146705742
2,0.07185978842542395,0.04594965329267287,0.0014958375189356476,0.0,2.2363011982426707e-06,0.0029900322326904785,0.0,3683,0.07185978842542395
3,0.053740868583001145,0.0461863094827443,0.0012879777852197875,0.0,1.6342417598495382e-06,0.0025376862529824804,0.0,3743,0.053740868583001145
4,0.05132270215571208,0.046419736319284775,0.0011948940888885742,0.0,1.422256141364361e-06,0.0023805559916816837,0.0,3769,0.05132270215571208
5,0.05974006277511789,0.04672511292381061,0.001350120155966348,0.0,1.7762592834470924e-06,0.0026312610408748926,0.0,3712,0.05974006277511789
6,0.04311503275995911,0.04694642768053557,0.0011375672174033223,0.0,1.2903488380158074e-06,0.0022686111524226824,0.0,3776,0.04311503275995911
7,0.050043521374756095,0.04717937204498081,0.0012578820824827395,0.0,1.5652427935244603e-06,0.002488695586529174,0.0,3765,0.050043521374756095
8,0.04213476094586931,0.04738671001640725,0.0010681584037771264,0.0,1.1038144584019703e-06,0.0020667617358975233,0.0,3771,0.04213476094586931
9,0.06117634464462432,0.04761540580859994,0.0012740004394630037,0.0,1.5839551624223268e-06,0.0024865849545389015,0.0,3735,0.06117634464462432
10,0.03516885884816686,0.04778705930979433,0.0010354333648780413,0.0,1.0224994629955463e-06,0.0019750174133436036,0.0,3835,0.03516885884816686
11,0.05064960233173292,0.04796664277680325,0.0011013581398582075,0.0,1.1740712495573067e-06,0.0021320426245879675,0.0,3795,0.05064960233173292
12,0.03045970283252991,0.048082483280827995,0.0008669754708754063,0.0,7.229486203416523e-07,0.0016677487302187996,0.0,3863,0.03045970283252991
13,0.047993576701068075,0.04830474270055126,0.0011703498181477971,0.0,1.3106450488142548e-06,0.002239749224532696,0.0,3790,0.047993576701068075
14,0.05896170529362005,0.048442396961021775,0.0011640893326983128,0.0,1.3272729394500095e-06,0.00228036268724058,0.0,3745,0.05896170529362005
15,0.04666894191214401,0.04864190736424592,0.0010879748847078138,0.0,1.1602208033770043e-06,0.0021328080632828077,0.0,3787,0.04666894191214401
16,0.037753516980821814,0.048851345292927104,0.0010448855561550942,0.0,1.0604180834155623e-06,0.00202973058086404,0.0,3827,0.037753516980821814
17,0.04392856868586656,0.04907782557215057,0.0010377726114625346,0.0,1.0412618128903683e-06,0.0020067244045358194,0.0,3775,0.04392856868586656
18,0.040133660476413625,0.049309136153721386,0.001083955593606065,0.0,1.1224028276583932e-06,0.0020709387622133545,0.0,3814,0.040133660476413625
19,0.050575065221228385,0.049496206014333056,0.0013471556689709637,0.0,1.779577149398814e-06,0.002641977004421707,0.0,3748,0.050575065221228385
20,0.04858941172872063,0.04973169013820036,0.0011974348887022473,0.0,1.369425255931384e-06,0.0022872646669173566,0.0,3780,0.04858941172872063
21,0.05839798549452695,0.04998957074540226,0.0011612290094696984,0.0,1.4953566504992302e-06,0.0025754724318885537,0.0,3721,0.05839798549452695
22,0.03784366344883006,0.050178238258128456,0.0010431625246712353,0.0,1.010322838150286e-06,0.0019370382164921054,0.0,3809,0.03784366344883006
23,0.0447946597972149,0.05040766439089718,0.0011665230012035258,0.0,1.3223327544112813e-06,0.002267135329602594,0.0,3804,0.0447946597972149
24,0.0546435093862588,0.05069400562442794,0.0013377043436717515,0.0,1.7363275300987856e-06,0.0025959810003051745,0.0,3748,0.0546435093862588
25,0.049369803642557775,0.05086121852497598,0.001188117342214118,0.0,1.3558916162858936e-06,0.002282420377366296,0.0,3788,0.049369803642557775
26,0.05354961623821332,0.0510858845244434,0.0012890745363934814,0.0,1.612750485821234e-06,0.0025021834506689113,0.0,3753,0.05354961623821332
27,0.048943165240999044,0.05132700725540784,0.0011249230395213282,0.0,1.2115664240534134e-06,0.002154043221603771,0.0,3709,0.048943165240999044
28,0.056368282267969444,0.05158960431418519,0.0011558153324116188,0.0,1.2769590231913044e-06,0.002209624647437265,0.0,3706,0.056368282267969444
29,0.04701083696897412,0.051841859406180565,0.0012366480632001351,0.0,1.4961238508897798e-06,0.0024196437052886113,-1.7074140494426365e-06,3785,0.04701083696897412
30,0.050181228023553896,0.05217288239405228,0.001466395100302773,0.0,2.0576177878282274e-06,0.0028063620608161904,-1.274013999482076e-06,3772,0.050181228023553896
31,0.049430935814872505,0.052418920135778285,0.001146360358593856,0.0,1.2310131514485966e-06,0.002147689672309634,-8.231203655548869e-07,3776,0.049430935814872505
32,0.032578477671992984,0.05257315394339965,0.0010044162251145819,0.0001,9.859149575435085e-07,0.001963160157893779,3.969232226241676e-06,3840,0.032578477671992984
33,0.05820639517593209,0.05279033771830616,0.0011820821420443135,0.0,1.3297125374768965e-06,0.002249780265146834,-2.097806700218952e-06,3700,0.05820639517593209
34,0.055875940077750944,0.05308425300546844,0.0013672723275795161,0.0,1.844999034340242e-06,0.0026988025678928874,-3.865045419609893e-06,3707,0.055875940077750944
35,0.04216087760988925,0.053258771869974936,0.0011258353045534737,0.0001,1.2014093856420011e-06,0.002134254239110935,1.8585171400941234e-06,3787,0.04216087760988925
36,0.07432753741539055,0.05356855521772455,0.0014149210869295506,0.0001,1.966655059622549e-06,0.002779879496870442,4.816158885751765e-06,3647,0.07432753741539055
37,0.07067449322030243,0.0538487570597076,0.0014592237705468886,0.0001,2.0440495703659698e-06,0.002801557391845254,1.8561387067160138e-06,3645,0.07067449322030243
38,0.04902858702895424,0.05408000197736416,0.0012376358309789102,0.0001,1.4361090386654033e-06,0.002320729576049055,1.0790282665363308e-07,3804,0.04902858702895424
39,0.04560142220615347,0.05431884715153243,0.0012476592796385171,0.0,1.478036946509338e-06,0.002369295801555001,-2.2867907015774104e-06,3823,0.04560142220615347
40,0.061158244525264346,0.05456805433019982,0.0012965520162304565,0.0,1.641578396976811e-06,0.0025322214248672727,-6.910914928468991e-07,3734,0.061158244525264346
41,0.04001466451205985,0.05476491695693265,0.0011261681346652632,0.0001,1.1737884143641056e-06,0.002084570461963917,1.034262012754688e-06,3831,0.04001466451205985
42,0.04529581110136076,0.05502291588891667,0.0012254058824953242,0.0,1.4140238386077224e-06,0.002307845684122735,-1.075491471138623e-06,3775,0.04529581110136076
43,0.05315347490678167,0.055307667283258644,0.0012075171113693729,0.0001,1.3747002614957425e-06,0.002276903985131568,1.7076895126632618e-06,3761,0.05315347490678167
44,0.06743263420898778,0.0555673819025853,0.0013465142133229822,0.0001,1.7668797180335146e-06,0.002624375889316663,1.9135420417784312e-06,3705,0.06743263420898778
45,0.06404661665940503,0.05585008061737766,0.0013609870170237283,0.0001,1.7611494069064278e-06,0.002588047328706771,9.374787897175387e-07,3702,0.06404661665940503
46,0.06815835729033522,0.056192357854810984,0.0014820645636317404,0.0001,2.0811011442222883e-06,0.002808381220751453,2.5021397666729988e-06,3659,0.06815835729033522
47,0.04527746008719101,0.05641767859432465,0.0012210738075748534,0.0001,1.425657936023605e-06,0.0023350888818998933,1.9070926956569744e-06,3790,0.04527746008719101
48,0.0637109021179858,0.05670512756225074,0.001309000797486696,0.0001,1.6198009138779649e-06,0.0024748661986883588,6.090232115721354e-07,3713,0.0637109021179858
49,0.07448096960073054,0.057033839752981014,0.0014579824864248332,0.0001,2.0328839025265973e-06,0.0027886259560106225,9.303158550432429e-07,3663,0.07448096960073054
50,0.04560289033426428,0.05723523301159658,0.0010117754628272606,0.0001,9.562967024395796e-07,0.0018903338489102046,4.843822362962102e-06,3810,0.04560289033426428
51,0.06520068943484678,0.057526964379673945,0.0015090082685136562,0.0001,2.2279133115491306e-06,0.0029528178977356848,3.654224132028505e-08,3681,0.06520068943484678
52,0.05362275100309305,0.057820419683221456,0.0012526941454999276,0.0001,1.4768123857746113e-06,0.00235781797349303,1.2242254420549787e-07,3776,0.05362275100309305
53,0.06437537422665185,0.05805888603438654,0.001234126916000683,0.0001,1.4603247726804594e-06,0.002366571466430364,2.22630459010537e-06,3713,0.06437537422665185
54,0.0655054692966007,0.05834389101233406,0.0014099839883657081,0.0,1.9045927049151826e-06,0.002701580614575302,-1.6061882411020898e-07,3691,0.0655054692966007
55,0.053327288291825765,0.05851771886545738,0.001103461384691748,0.0001,1.1600614588100984e-06,0.0021025864156255206,2.8088951522994013e-06,3765,0.053327288291825765
