iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.04353096158094931,0.04542723894246618,0.0013920927700408047,0.0001,1.3818968520675306e-06,0.00198535166880728,1.7233016006975246e-20,3808,0.04353096158094931
1,0.04261239076050778,0.045584105565129304,0.0011176702932527544,0.0,8.339060059247467e-07,0.0014922218313557054,0.0,3799,0.04261239076050778
2,0.058440589868730825,0.04576568212601283,0.0015366214810652037,0.0,1.7333041640936614e-06,0.0022559936659119397,0.0,3747,0.058440589868730825
3,0.053186371181136276,0.04595933789071657,0.0012394426438463457,0.0,1.10276245628031e-06,0.001779448951115837,0.0,3762,0.053186371181136276
4,0.049202714446563156,0.04614183161758588,0.0014897433839813879,0.0,1.5664627882598543e-06,0.002102996804823434,0.0,3751,0.049202714446563156
5,0.03648736774359926,0.04628011741376981,0.0010051501271429268,0.0,6.98213903509696e-07,0.0013892728750765284,0.0,3802,0.03648736774359926
6,0.044178796180171995,0.04650508941056182,0.0014278246809967356,0.0,1.5208124820364134e-06,0.0021302510066918932,0.0,3799,0.044178796180171995
7,0.04947570666194166,0.04672015877072144,0.0013633940656223682,0.0,1.3068527677069e-06,0.0019170580254951335,0.0,3778,0.04947570666194166
8,0.054005192984742795,0.046981548887628254,0.001405614140437449,0.0,1.4422955837704695e-06,0.0020521927636863485,0.0,3757,0.054005192984742795
9,0.056818794814799505,0.04720858382101467,0.001380818608297076,0.0,1.4261369246221579e-06,0.0020656397821593253,0.0,3757,0.056818794814799505
10,0.04437722446877976,0.0473738718171061,0.0013932786908671558,0.0,1.3744616068505301e-06,0.0019729887722535764,0.0,3802,0.04437722446877976
11,0.03956588084392276,0.04756203721692558,0.0012212088552509956,0.0,1.082159647206867e-06,0.0017722761222271851,0.0,3819,0.03956588084392276
12,0.04894551474520529,0.047734440928619566,0.001312017189786118,0.0,1.1960776268063995e-06,0.0018232651768859541,0.0,3755,0.04894551474520529
13,0.039706680679332806,0.04790589379417179,0.001274520249516275,0.0,1.1770583872616015e-06,0.0018470611003761394,0.0,3805,0.039706680679332806
14,0.058416664788999484,0.04807669999966724,0.0014205808583918477,0.0,1.4525181884038138e-06,0.002044963762285408,0.0,3733,0.058416664788999484
15,0.05320782879213208,0.04822099069390733,0.0013535781384770016,0.0,1.321382148176648e-06,0.0019524283240322136,0.0,3751,0.05320782879213208
16,0.030353236459627345,0.048341005417166384,0.0011221108912014821,0.0,8.961908909676813e-07,0.0015973303494240206,0.0,3839,0.030353236459627345
17,0.05240865295595431,0.04854505132425033,0.0014181255987149605,0.0,1.4489401108541851e-06,0.002043458086035747,0.0,3737,0.05240865295595431
18,0.05122077440676405,0.04875911580949245,0.0013236720375017427,0.0,1.28349450040172e-06,0.0019392938190703906,0.0,3770,0.05122077440676405
19,0.0409733330172682,0.04896728994948929,0.0015704311141830326,0.0,1.7003495759009595e-06,0.002165455791781752,0.0,3814,0.0409733330172682
20,0.045275893242572265,0.049168760337519754,0.0013680568666600364,0.0,1.2662475289858414e-06,0.0018511621261435545,0.0,3787,0.045275893242572265
21,0.05055417322440495,0.04936699484938204,0.0012454135422285155,0.0,1.1330352204099604e-06,0.0018195325199090611,0.0,3781,0.05055417322440495
22,0.04699773714092802,0.049520887480757204,0.0011375341449784335,0.0,9.161270438038712e-07,0.001610724474246424,0.0,3763,0.04699773714092802
23,0.044532591823653545,0.049726685043649035,0.001298631867142343,0.0,1.2134910493179194e-06,0.00186887613036668,0.0,3794,0.044532591823653545
24,0.07020751181262545,0.04999892579882319,0.0015379263444778514,0.0,1.7295412298292352e-06,0.00224918603682082,0.0,3676,0.07020751181262545
