iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.04673693364452361,0.045695424678697256,0.0016403147134931313,0.0001,3.4357179976104528e-06,0.0041890961159446296,3.797002553296942e-20,7506,0.04673693364452361
1,0.04383315733103521,0.04611234246366856,0.0015107667273847518,0.0,2.9152957838485092e-06,0.0038593592657353536,0.0,7561,0.04383315733103521
2,0.03770673507631571,0.04647279375957262,0.0013990555774896704,0.0,2.4699069136019146e-06,0.0035308202952647185,0.0,7612,0.03770673507631571
3,0.05262471679335294,0.04679692160120099,0.0014883070855823922,0.0,2.837255066121325e-06,0.003812728023143252,0.0,7506,0.05262471679335294
4,0.034946551698283805,0.0471124134241581,0.001351045968488709,0.0,2.3564907500796956e-06,0.003488394629111969,0.0,7693,0.034946551698283805
5,0.04189411085746672,0.04742076258276691,0.0012958796104465679,0.0,2.1471915614064286e-06,0.003313875060765087,0.0,7626,0.04189411085746672
6,0.05376930577398428,0.047849440783347616,0.0017414940020039995,0.0,3.908733395888218e-06,0.004488942702518985,0.0,7478,0.05376930577398428
7,0.041381642603849626,0.04824395905629621,0.0014695233695596205,0.0,2.7737648658630634e-06,0.0037750537668472615,0.0,7630,0.041381642603849626
8,0.053162950968623585,0.04868352551064063,0.0016732944834731978,0.0,3.525623380977058e-06,0.004213990323638726,0.0,7480,0.053162950968623585
9,0.0462991052323138,0.04906990272938226,0.0015469902440188173,0.0,3.0778267806878125e-06,0.003979115954464124,0.0,7571,0.0462991052323138
10,0.045601304573429806,0.04950599847268636,0.0016430150787704353,0.0,3.4570322500588103e-06,0.0042081564493563995,0.0,7572,0.045601304573429806
11,0.03954126086780485,0.04981518864510692,0.001370638050231217,0.0,2.3960727517597083e-06,0.0034962880993352086,0.0,7662,0.03954126086780485
12,0.05050691161510777,0.05030564992132304,0.001662231704600537,0.0,3.511615942876603e-06,0.0042251822452399985,0.0,7524,0.05050691161510777
13,0.047400977831664165,0.05074057592284409,0.001536255613945288,0.0,3.0247485153856913e-06,0.003937819315911596,0.0,7595,0.047400977831664165
14,0.05497059003706224,0.05117170983792507,0.0017250766158590518,0.0,3.792358100345992e-06,0.004396741646697793,0.0,7497,0.05497059003706224
15,0.04547483228562957,0.051621321758439434,0.001609300091959,0.0,3.2950139112189347e-06,0.004094965168625469,0.0,7587,0.04547483228562957
16,0.04765851108871602,0.05197359394500087,0.0015663084377836194,0.0,3.126618720810954e-06,0.003992341029887098,0.0,7501,0.04765851108871602
17,0.0514161171285073,0.05239688610145715,0.0016072496290609186,0.0,3.3108341241745797e-06,0.0041198754248386775,0.0,7556,0.0514161171285073
18,0.05284426962378712,0.0528173768888438,0.0015227079442566185,0.0,2.9494389980062455e-06,0.003873939200397555,0.0,7502,0.05284426962378712
19,0.05272055523041601,0.053332046349095975,0.001748813803019498,0.0,3.902068353983968e-06,0.004462531513928659,0.0,7509,0.05272055523041601
20,0.04968612107969411,0.053675830085071395,0.001445007414076051,0.0,2.638408337426646e-06,0.0036517575089587547,0.0,7518,0.04968612107969411
21,0.04838708573734231,0.054107409322909375,0.0015170881006725946,0.0,2.9462379404490637e-06,0.0038840696715541603,0.0,7555,0.04838708573734231
22,0.0598428879029491,0.054679535296552506,0.0018170667044798432,0.0,4.238057610212692e-06,0.004664724305127682,0.0,7447,0.0598428879029491
23,0.05636225896196104,0.055131761696690616,0.0016316895122843928,0.0,3.3994082668308027e-06,0.004166734223929127,0.0,7451,0.05636225896196104
24,0.05432810824970802,0.05560182311866012,0.0017161852944592145,0.0,3.6979786594117916e-06,0.004309533092202679,0.0,7512,0.05432810824970802
25,0.04851875469879571,0.05601303498121707,0.0014823074310025052,0.0,2.786870442277718e-06,0.003760178737541535,0.0,7568,0.04851875469879571
26,0.05556458136261476,0.056438286376189944,0.0016798724650230752,0.0,3.6298577172024074e-06,0.004321587254723587,0.0,7525,0.05556458136261476
