iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.050490815095359735,0.04554957245369827,0.001804215927824491,0.0001,2.4235110645954613e-06,0.0026864978046366225,4.577748599033965e-20,7522,0.050490815095359735
1,0.04961432035889793,0.04593775181273855,0.002072650368858992,0.0,2.9796308192728445e-06,0.002875189046875428,0.0,7499,0.04961432035889793
2,0.04290333337079816,0.046224412040273576,0.001974082303235889,0.0,2.8315578316457213e-06,0.0028687333116803383,0.0,7627,0.04290333337079816
3,0.04203183071580882,0.04655290160661412,0.0019460694800945285,0.0,2.4897638312026777e-06,0.002558761500212973,0.0,7614,0.04203183071580882
4,0.040900315806268316,0.046841271176787394,0.0017783269263557692,0.0,2.3188899618534673e-06,0.0026079456229181047,0.0,7596,0.040900315806268316
5,0.041422387027837224,0.0471100871872035,0.001717871420232139,0.0,2.114093301844282e-06,0.0024612939908606204,0.0,7625,0.041422387027837224
6,0.05093670557949018,0.047518337423430125,0.002141563082639321,0.0,3.128747906014426e-06,0.0029219292500676382,0.0,7551,0.05093670557949018
7,0.057332576303266006,0.04788926159868804,0.0020156910770712513,0.0,2.795863889607815e-06,0.0027740995844166105,0.0,7445,0.057332576303266006
8,0.05333022070201469,0.04819298446107677,0.001724877200821242,0.0,2.1605300486483318e-06,0.002505140711025304,0.0,7420,0.05333022070201469
9,0.04570164260845677,0.04853938220669431,0.0018306723992343344,0.0,2.440858716401845e-06,0.0026666253529825613,0.0,7566,0.04570164260845677
10,0.05352369369667025,0.048979605960069686,0.0022454709518886103,0.0,3.4116916177559674e-06,0.0030387314651177983,0.0,7505,0.05352369369667025
11,0.04086423640429809,0.04933041371369582,0.0018804443888643942,0.0,2.460452936919452e-06,0.0026168845529171187,0.0,7625,0.04086423640429809
12,0.048965071018407344,0.04971994805572231,0.002170489989449817,0.0,3.3302463591141072e-06,0.003068658575069742,0.0,7574,0.048965071018407344
13,0.04402120447336042,0.05003735627117277,0.001978954843255973,0.0,2.6479342377383367e-06,0.0026760936428258182,0.0,7610,0.04402120447336042
14,0.059145360286996684,0.050432138573141154,0.0021030833766952817,0.0,3.090492247627968e-06,0.002939010675348753,0.0,7435,0.059145360286996684
15,0.06372281571143812,0.050900625906127886,0.0022775404287570114,0.0,3.8009251191398723e-06,0.0033377454653696417,0.0,7424,0.06372281571143812
16,0.054459671092562896,0.05129689059069538,0.0021131537341343206,0.0,3.1889363697270048e-06,0.0030181773509568065,0.0,7540,0.054459671092562896
17,0.054684140435769954,0.05170287822599433,0.0021053239281660086,0.0,3.100732256032251e-06,0.0029456106155914576,0.0,7497,0.054684140435769954
18,0.05080772157770613,0.052110753829759056,0.0020632725232485063,0.0,3.099626022578696e-06,0.0030045725784187834,0.0,7556,0.05080772157770613
19,0.046990433343886716,0.05249142361522874,0.0019651905826418604,0.0,2.5857139383148845e-06,0.0026315146847883195,0.0,7555,0.046990433343886716
20,0.04671649322760253,0.05283529854397981,0.001909450772216275,0.0,2.600539216526082e-06,0.0027238609702492297,0.0,7582,0.04671649322760253
21,0.05175830376940557,0.05318832571169564,0.0020981804366626143,0.0,3.036898932532667e-06,0.0028947929162500318,0.0,7510,0.05175830376940557
22,0.05843371419702263,0.05363202146708679,0.0022438004763838,0.0,3.470312094433734e-06,0.003093244814732038,0.0,7466,0.05843371419702263
23,0.056710055027734824,0.0540680419575314,0.0022914382304190725,0.0,3.575198806684046e-06,0.003120484557884147,0.0,7466,0.056710055027734824
24,0.058028629716132846,0.05444518101720701,0.002182038435480555,0.0,3.3777628632066427e-06,0.003095970087678818,0.0,7490,0.058028629716132846
25,0.06675264210226625,0.05485879853858407,0.002095505739850378,0.0,3.0542150980835245e-06,0.002915014776625331,0.0,7393,0.06675264210226625
26,0.04463305368836226,0.05522663561227828,0.00184733712477681,0.0,2.337141985266869e-06,0.0025302820518471806,0.0,7621,0.04463305368836226
27,0.05559489499816529,0.05567226345536448,0.002235370036065234,0.0,3.4762251697310593e-06,0.003110201097488106,0.0,7496,0.05559489499816529
28,0.06178645640830127,0.056096664199016065,0.002225392430384599,0.0,3.427393244400092e-06,0.0030802596410447556,0.0,7442,0.06178645640830127
29,0.04899649393208651,0.05651338543901599,0.0020990762628461802,0.0,2.958857582203047e-06,0.0028191996971001633,-9.641238369043897e-06,7486,0.04899649393208651
30,0.0574965101144054,0.056956263661655196,0.0023618882252303304,0.0,3.688765713289909e-06,0.0031235734814929117,-1.3258484645783325e-05,7481,0.0574965101144054
31,0.06215340935076314,0.057404746821097384,0.002251481138956755,0.0,3.4688814017250137e-06,0.0030814216843338543,-3.0126504227396628e-05,7459,0.06215340935076314
32,0.06545429126142496,0.05785558833794387,0.0021007536388872932,0.0,2.9593067201228837e-06,0.0028173762647297753,-1.6350779353026255e-05,7349,0.06545429126142496
33,0.06069005167078052,0.058320893831292936,0.0022863746638755148,0.0,3.43809574053418e-06,0.003007464869914577,-1.3810291675933865e-05,7467,0.06069005167078052
34,0.05992860717028087,0.05875029346716372,0.002087996875686876,0.0,3.0115491135819714e-06,0.0028846299040474186,-1.902148858930845e-05,7413,0.05992860717028087
35,0.044113918319174106,0.05909439807067808,0.001797042045971465,0.0,2.1666154897664093e-06,0.0024113130737518796,-1.4520416341763875e-05,7581,0.044113918319174106
36,0.05439572619406991,0.05947209272651012,0.0019940288227924606,0.0,2.6946334930016782e-06,0.002702702651236588,-2.8465400780927833e-05,7488,0.05439572619406991
37,0.05233523476443115,0.05991754408093512,0.0020937864281515275,0.0,2.895958907615246e-06,0.002766240977282393,-1.3696287202616074e-05,7501,0.05233523476443115
38,0.061947624389833436,0.06036753464274987,0.0022214471907209877,0.0,3.295909685889525e-06,0.0029673536239408077,-2.2790414857607367e-05,7420,0.061947624389833436
39,0.04990757983909637,0.060735872863508664,0.0020313320901087393,0.0,2.7640696140005582e-06,0.0027214354831096035,-1.1841396446349757e-05,7484,0.04990757983909637
40,0.06944301937266198,0.061170010924947255,0.002254803246430503,0.0,3.4451015071920795e-06,0.0030557890251807066,-1.2200784860019261e-05,7366,0.06944301937266198
41,0.0585328001192877,0.061595712014902736,0.0021295251576882186,0.0,3.2959420229126677e-06,0.0030954713176440654,-2.3587438206258805e-05,7489,0.0585328001192877
42,0.06210363958224224,0.062024537354668355,0.002283952325945943,0.0,3.591992197347779e-06,0.003145417841294113,-3.0261964275544216e-05,7429,0.06210363958224224
43,0.060142463184751735,0.062443112556363395,0.0021723508127324755,0.0,3.330743168547193e-06,0.003066487373057064,-2.1671263626673707e-05,7468,0.060142463184751735
44,0.06014565314217284,0.0629014314180081,0.0022250623305915948,0.0,3.309299899646353e-06,0.002974568266378841,-1.756470581974259e-05,7434,0.06014565314217284
45,0.050777885562054564,0.06331676981103435,0.0019619887714406527,0.0,2.5820244547993602e-06,0.0026320481466399295,-1.9501013848616815e-05,7570,0.050777885562054564
46,0.05345161346907179,0.063735042449601,0.0021257437886434264,0.0,2.956359988273601e-06,0.002781482889958478,-1.4111068822581932e-05,7509,0.05345161346907179
