iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.04547756415684598,0.045658886352745204,0.0014154289089958704,0.0001,2.6038909985984617e-06,0.003679296052312096,5.19902587356455e-20,7526,0.04547756415684598
1,0.0449373793200394,0.046006941589998254,0.001344168055502302,0.0,2.3100744089891926e-06,0.00343718093810218,0.0,7586,0.0449373793200394
2,0.0508115920797946,0.04653307450314028,0.0016861784050475883,0.0,3.6627842601994407e-06,0.00434448009680929,0.0,7512,0.0508115920797946
3,0.04538165263193221,0.04698566544677573,0.0016603110687387866,0.0,3.5551055199732466e-06,0.00428245716951558,0.0,7605,0.04538165263193221
4,0.051209748872965664,0.04746910032267623,0.0017115842126001147,0.0,3.771062132550333e-06,0.0044065166116735895,0.0,7499,0.051209748872965664
5,0.05419429754478896,0.047905435256627646,0.0016487672408177104,0.0,3.4915139317079186e-06,0.004235302406877386,0.0,7477,0.05419429754478896
6,0.04713044063735625,0.0483647081903581,0.0015563639320000829,0.0,3.1214880647455618e-06,0.004011257265174655,0.0,7548,0.04713044063735625
7,0.04389515645963587,0.048730058230108404,0.001417698729964875,0.0,2.578963565776553e-06,0.0036382392270894533,0.0,7620,0.04389515645963587
8,0.04763467137967879,0.04918831006040869,0.0016059147445448097,0.0,3.3227807654790414e-06,0.0041381782896835785,0.0,7564,0.04763467137967879
9,0.05292447425624497,0.04966095034318012,0.0016422003875101287,0.0,3.447125942862057e-06,0.004198179429355172,0.0,7531,0.05292447425624497
10,0.056017985424217015,0.05019352486302036,0.0017843225777402236,0.0,4.085078170904685e-06,0.004578856112529025,0.0,7495,0.056017985424217015
11,0.05552278233672122,0.05073468162422594,0.0017417527676532108,0.0,3.9027945688590014e-06,0.004481456428649767,0.0,7536,0.05552278233672122
12,0.04939893449112616,0.05116342806821103,0.0015822131755927852,0.0,3.225455616533952e-06,0.004077144175373861,0.0,7579,0.04939893449112616
13,0.06006480774776052,0.05164072835954161,0.0016442571665773486,0.0,3.456208386337652e-06,0.004203975456627656,0.0,7466,0.06006480774776052
14,0.04491650391770492,0.052013548242291964,0.001429920790110885,0.0,2.5352852197202244e-06,0.0035460498752852214,0.0,7573,0.04491650391770492
