# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;4.574533402408690468954333141482e-02;3.262486121836866148626654648979e-02;9.270270499739493749258992670094e-19;1.761631650306618501744537752529e+00;1.174312106963992796693219133886e+00;2.775557561562891351059079170227e-16;1.136648048711513408548992714384e-17;1.752296205968083058976403343365e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.858421026659133194194536975452e-05
1.000000000000000000000000000000e+00;4.623016234394966561538353744254e-02;3.272756091291579433333325255262e-02;9.354628686558338171924424343546e-19;1.796217459236375546538511116523e+00;1.152110471464047769529770448571e+00;2.775557561562891351059079170227e-16;1.138275710199425947633322803279e-17;1.757187450969672744618965687380e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.875422966851059184594310846883e-05
2.000000000000000000000000000000e+00;4.673619451577387673424368585984e-02;3.282919392603535213570609130329e-02;9.439339652836455823185061778312e-19;1.766222247640962361714400685742e+00;1.130472915956172608176188987272e+00;2.775557561562891351059079170227e-16;1.139884772425383181041092126784e-17;1.826889152580695851318948186304e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.998764913572103243196050048613e-05
3.000000000000000000000000000000e+00;4.721098409882051871733210646198e-02;3.293342802205823788286309650175e-02;9.527533731329856820125699700570e-19;1.790741587549233404530468760640e+00;1.196561579068179614893097095774e+00;2.775557561562891351059079170227e-16;1.141533323155939563555665278084e-17;1.707758500280911074381551273405e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.812117082402975398497564640810e-05
4.000000000000000000000000000000e+00;4.770827647303960833413682962600e-02;3.302954031785557825751098448563e-02;9.610078136359432070888369305799e-19;1.755500188859227206350510641641e+00;1.173087330170914821536598537932e+00;2.775557561562891351059079170227e-16;1.143051968898552569273548358266e-17;1.782086561735793297372998367223e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.943074997038050405863754410696e-05
5.000000000000000000000000000000e+00;4.822957182938704401298224411221e-02;3.312848400408299059938244113255e-02;9.696323776530052964305024628468e-19;1.754902755604513142628775312915e+00;1.127096962795338441765125025995e+00;2.775557561562891351059079170227e-16;1.144613946247526519514247387017e-17;1.860992906319685865138002789365e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.082593686436182263844313355960e-05
6.000000000000000000000000000000e+00;4.871991716307018382980942305949e-02;3.323033878118566986081816594378e-02;9.786502018802686942533601214528e-19;1.756063502196503423036233471066e+00;1.205486764238489438838541900623e+00;2.775557561562891351059079170227e-16;1.146220454116535575160618965398e-17;1.744173149235716787155969775824e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.897973232107519487785185496875e-05
7.000000000000000000000000000000e+00;4.922780899965126938377935061908e-02;3.332443093592092620003342062773e-02;9.871112574811408494906215714886e-19;1.758183055154867391323136871506e+00;1.169928357030051380149870965397e+00;2.775557561562891351059079170227e-16;1.147703312333316316562610699408e-17;1.800101006383436662641739367530e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.999367083245329956993872888571e-05
8.000000000000000000000000000000e+00;4.975204462992105503005291211593e-02;3.342016362347697416845804241348e-02;9.958533820302828104064209991155e-19;1.749922777650772642843435278337e+00;1.146251833571786171717121760594e+00;2.775557561562891351059079170227e-16;1.149210882508999540146530068181e-17;1.851258795448805722153040598243e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.093468592664999150879112654877e-05
9.000000000000000000000000000000e+00;5.027596016792044986143395135514e-02;3.351716236765991258073071890067e-02;1.004853813191021987223832058559e-18;1.749202080833162309403405743069e+00;1.154916369854548152673601180140e+00;2.775557561562891351059079170227e-16;1.150737282569430838213018762493e-17;1.843462091858218002485281239444e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.089380912571895108605438129423e-05
1.000000000000000000000000000000e+01;5.077625168528802218625983755373e-02;3.361228853279592254654772887079e-02;1.013825545247950861266299546925e-18;1.775452188730200386856949990033e+00;1.199049182830236759400577284396e+00;2.775557561562891351059079170227e-16;1.152233205271226702907189063502e-17;1.754323150217102986192507785290e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.948340795243038051673227506466e-05
1.100000000000000000000000000000e+01;5.131766212630228807256571599282e-02;3.370145895415906089898072650612e-02;1.022371217969117055058746406128e-18;1.744771336061470501377357322781e+00;1.134458693351651170644345256733e+00;2.775557561562891351059079170227e-16;1.153634630866571983312240885888e-17;1.891816405991584258694526710087e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.187848647766504514480118137598e-05
