iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.03877000042342677,0.04564193909138074,0.001562973658285051,0.0001,2.454664551986953e-06,0.0031410184541181526,5.3396518860755605e-06,7648,0.03877000042342677
1,0.05055631670503991,0.046098675321919295,0.0019628764816105432,0.0001,3.8023921970088233e-06,0.0038743061345245253,1.7069088404508684e-05,7545,0.05055631670503991
2,0.04907709269593016,0.04649978157096918,0.0017102004193987256,0.0001,2.8969212610311726e-06,0.0033878149346375157,1.1396965015388322e-05,7545,0.04907709269593016
3,0.049320617924919645,0.046915959686657495,0.001836928692970326,0.0001,3.3164371292391043e-06,0.0036108501564929042,1.1447276816104458e-05,7533,0.049320617924919645
4,0.05954702445949675,0.047378581958563266,0.002025529948602248,0.0001,4.065486436488866e-06,0.004014244705978625,1.56396921408576e-05,7437,0.05954702445949675
5,0.0440114863869299,0.04773872460490462,0.0017069484883707753,0.0001,2.8379025160186506e-06,0.0033251179345515367,1.4130505822427104e-05,7585,0.0440114863869299
6,0.046314361867960605,0.04813086617903098,0.0017465167831917385,0.0001,2.9749210184026264e-06,0.0034066904446987257,1.5380691046403892e-05,7556,0.046314361867960605
7,0.04228421560332552,0.04847222050634123,0.0015032111921168714,0.0001,2.1878410808672397e-06,0.0029108898235200736,7.505293317983898e-06,7584,0.04228421560332552
8,0.04780270632876434,0.04881695947893905,0.0015728576935037128,0.0001,2.4374943745287837e-06,0.0030994468025889836,1.7735391388039652e-05,7563,0.04780270632876434
9,0.05260420665832029,0.049213398323125455,0.0019294944521181224,0.0001,3.7836508517239993e-06,0.003921909023962684,2.2933962584849186e-05,7506,0.05260420665832029
10,0.051909437809259565,0.04958863434160328,0.0016251690951080214,0.0001,2.6261467191418085e-06,0.0032318442764471276,1.947778721493571e-05,7513,0.051909437809259565
11,0.036638733062698665,0.04994067220757263,0.0015453242654296486,0.0001,2.298201264038809e-06,0.0029743935502104294,2.088574427338897e-05,7635,0.036638733062698665
12,0.039287024366938504,0.050300159595308445,0.0015625746907978512,0.0001,2.36212353574503e-06,0.0030233736021142497,1.8481910001299698e-05,7595,0.039287024366938504
13,0.053055337379233014,0.05068595033683704,0.001845915791935206,0.0001,3.3252512929481476e-06,0.0036028201367322914,1.9768057051033353e-05,7522,0.053055337379233014
14,0.04694533301449805,0.05109013824184469,0.0017431559592898398,0.0001,2.8161310668239355e-06,0.003231071840492374,2.171710803929639e-05,7597,0.04694533301449805
15,0.05508235916510473,0.051555013838232994,0.0019095703501642552,0.0001,3.569845341562012e-06,0.0037388990054804156,1.8278479930259027e-05,7466,0.05508235916510473
16,0.04605839435816822,0.05192944720413268,0.0016908281904780254,0.0001,2.724463605350743e-06,0.003222638019277986,2.0876897428632104e-05,7550,0.04605839435816822
17,0.04374679376501337,0.05230976096876259,0.0016773796511180838,0.0001,2.754690760692847e-06,0.0032845167268562773,1.7576266849810866e-05,7607,0.04374679376501337
18,0.04845439782071459,0.05279216234999616,0.002102064467888559,0.0001,4.324485673207907e-06,0.004114512888895061,2.031254366117201e-05,7550,0.04845439782071459
19,0.06347187012924604,0.05332311483890846,0.002160514817510769,0.0001,4.480245377755038e-06,0.00414738685561707,2.2842315553957038e-05,7434,0.06347187012924604
20,0.04788657296101937,0.053711489230439904,0.0017257374182716868,0.0001,2.7919553342834326e-06,0.0032356664515967373,2.1346359132195345e-05,7563,0.04788657296101937
21,0.05885034675914342,0.05420734867878915,0.0020143788135924172,0.0001,3.7457868220775637e-06,0.0037190490654509765,2.404550593227127e-05,7418,0.05885034675914342
22,0.047703553654551645,0.054628674792186346,0.0017755115230316215,0.0001,2.9387887978597304e-06,0.0033103573361685148,1.1472354423671377e-05,7578,0.047703553654551645
23,0.06434193676611491,0.055215196442034764,0.002197481208287226,0.0001,4.680850586197176e-06,0.0042601962360766235,2.8686715012481822e-05,7401,0.06434193676611491
24,0.05215201250977372,0.05566217733412404,0.001888876224036923,0.0001,3.4656150052542526e-06,0.0036694993151510052,1.7037899802345863e-05,7527,0.05215201250977372
25,0.05290246405664442,0.056093143761868566,0.0017990664767447773,0.0001,3.129230649661212e-06,0.0034787270955359334,1.848296420713274e-05,7497,0.05290246405664442
26,0.05299749585639622,0.056559277259239836,0.0017933284063842076,0.0001,3.0512821593949288e-06,0.003402926255483865,2.216817138305641e-05,7539,0.05299749585639622
27,0.0592050898482001,0.05704646972036088,0.002030444229382596,0.0001,4.043372073561637e-06,0.003982746253307453,2.571851052816604e-05,7401,0.0592050898482001
28,0.0586458581512156,0.057477748546255376,0.001836322522291355,0.0001,3.293704693887068e-06,0.003587283447111673,2.724421130956484e-05,7500,0.0586458581512156
29,0.05592939574854872,0.057866622500664426,0.0017884224546546989,0.0001,3.085910373378521e-06,0.00345098594053868,2.923348865438545e-05,7430,0.05592939574854872
30,0.06513472073917347,0.058431011407618985,0.002138113775039111,0.0001,4.174642554398783e-06,0.00390497699714078,3.0081325302163684e-05,7426,0.06513472073917347
31,0.05392665385677787,0.058876314987782216,0.0018434263325211122,0.0001,3.2398857363640086e-06,0.0035150693892205243,2.075492431893384e-05,7482,0.05392665385677787
32,0.0603755338717233,0.05935126717521745,0.001940083459275539,0.0001,3.467587736741703e-06,0.003574678934726406,2.3651338078943415e-05,7471,0.0603755338717233
33,0.05400786133935874,0.05979581318900881,0.0018626388366096464,0.0001,3.218045173755994e-06,0.003455361405019819,2.005908099204796e-05,7563,0.05400786133935874
34,0.06974771750717118,0.060201556523576644,0.002082431482861154,0.0001,4.2429908608862245e-06,0.004075035261238533,3.5582749664161185e-05,7354,0.06974771750717118
35,0.059966571460284675,0.060662310504981026,0.002021321902784424,0.0001,3.948893838408258e-06,0.003907238953843575,2.249084970952853e-05,7476,0.059966571460284675
36,0.06432933280297365,0.061144788634481854,0.00201075873070394,0.0001,3.7884084440169493e-06,0.003768138251664511,3.7206217333063576e-05,7455,0.06432933280297365
37,0.05888923318836908,0.06162030349307951,0.0019084660892528449,0.0001,3.446121250984217e-06,0.003611404227080981,2.0687868392754976e-05,7469,0.05888923318836908
38,0.06673004107491502,0.06207808622673565,0.0018050918158366927,0.0001,3.1457134297356732e-06,0.0034853777543471694,2.9707552423255278e-05,7370,0.06673004107491502
39,0.05561493186855124,0.062476937096015456,0.001739059282955128,0.0001,2.778325976026288e-06,0.0031952055956426815,2.1852272934885108e-05,7517,0.05561493186855124
40,0.05660568437036362,0.0629589842274501,0.0019351564717862287,0.0001,3.5685083100839326e-06,0.0036880824492606054,3.684247929953287e-05,7486,0.05660568437036362
41,0.07325825381404906,0.06353840987778986,0.00223516164717805,0.0001,4.765932672082307e-06,0.004264508276705106,3.650794020866252e-05,7305,0.07325825381404906
42,0.06544933620341267,0.06415652592976577,0.0022164130035045777,0.0001,4.582662302209343e-06,0.004135206114531242,3.0410105436126588e-05,7380,0.06544933620341267
43,0.06252307842400595,0.06471151735538941,0.002194044046437611,0.0001,4.462745657692368e-06,0.004068054754815304,2.8646696171634117e-05,7416,0.06252307842400595
44,0.07289671655758237,0.0652367157538874,0.0021765425274557775,0.0001,4.437754181227549e-06,0.004077801490435354,4.129753400398907e-05,7333,0.07289671655758237
45,0.06853894603196348,0.0656409054286399,0.0018725736463575337,0.0001,3.410182483573328e-06,0.0036422412439763834,2.4018284710800542e-05,7313,0.06853894603196348
46,0.07525112801644851,0.0661397493345241,0.0020800253919731034,0.0001,4.1362989023674685e-06,0.003977161931127958,5.990201074013925e-05,7276,0.07525112801644851
47,0.063342680994707,0.06657551223854868,0.0018839447165643402,0.0001,3.3495770090950007e-06,0.003555918578336485,3.993000007051042e-05,7407,0.063342680994707
48,0.07433336955950201,0.06715742859447069,0.0021623606627061333,0.0001,4.191436441972824e-06,0.003876722800466928,3.27523018206791e-05,7299,0.07433336955950201
49,0.07728035393775484,0.06759380747373958,0.0020791509692992278,0.0001,4.121540165837474e-06,0.003964637707118141,4.6187726071472745e-05,7310,0.07728035393775484
50,0.06783912939645657,0.06808856450762003,0.0019284433903392767,0.0001,3.250994697880095e-06,0.0033716257518019628,4.87155596344948e-05,7341,0.06783912939645657
51,0.08497683745834311,0.06870713410315765,0.002190800363988891,0.0001,4.472152317239589e-06,0.004082665304196806,4.288225530609788e-05,7226,0.08497683745834311
52,0.08184740623174487,0.06926459207644953,0.0022266608718363493,0.0001,4.53763969418062e-06,0.004075734883182622,4.581126575508486e-05,7282,0.08184740623174487
53,0.06383727538386093,0.06984481605747506,0.0021864049848358794,0.0001,4.366708888651435e-06,0.003994419075091175,5.0767190901562154e-05,7440,0.06383727538386093
54,0.0579810494274164,0.07027747621758171,0.0018454076383790806,0.0001,3.130942899340585e-06,0.0033932263357169777,2.804481468610921e-05,7480,0.0579810494274164
55,0.06913463751262264,0.07077811373068837,0.002040757786218649,0.0001,3.8598057785807015e-06,0.0037827181693449214,4.8155140589508475e-05,7399,0.06913463751262264
56,0.07420177515977584,0.07132491881803607,0.0020950899451646415,0.0001,3.944907616487284e-06,0.0037658599103030646,4.465155841282141e-05,7360,0.07420177515977584
57,0.07592704550942372,0.07176810713427173,0.0016669077694984543,0.0001,3.219754020817936e-06,0.003863145975720909,4.767114315513088e-05,7308,0.07592704550942372
58,0.06688663481709484,0.0723008284294914,0.002032343708402042,0.0001,3.9237386862344e-06,0.0038612943962313268,4.57951158572429e-05,7398,0.06688663481709484
59,0.06168389650335867,0.07281195618999178,0.002061772968118649,0.0001,3.819401130497082e-06,0.003704967704550182,3.204982979673116e-05,7429,0.06168389650335867
60,0.07577048300202929,0.07338158642933817,0.00216925349241639,0.0001,4.2857623359710555e-06,0.003951370691303605,5.6060152504127865e-05,7270,0.07577048300202929
61,0.0772495609807146,0.07383237315558583,0.002079556843730769,0.0001,3.883671818523528e-06,0.003735095609655121,5.276990300183907e-05,7306,0.0772495609807146
62,0.06582346893561748,0.07439318341188557,0.0020120027356356446,0.0001,3.657813309165695e-06,0.0036359923815015055,3.8920636855735506e-05,7393,0.06582346893561748
63,0.07538125330250416,0.07485685797508185,0.0021483432783396786,0.0001,4.4053779577246305e-06,0.0041011862509508015,4.7556158095923346e-05,7326,0.07538125330250416
64,0.06898193373921555,0.07538559256405913,0.0021660950504048485,0.0001,4.403724471243945e-06,0.004066049151832812,3.7991105268565596e-05,7376,0.06898193373921555
65,0.0795669464617613,0.07586014643320885,0.002024100160851767,0.0001,3.858296137322535e-06,0.003812356929707386,4.7703103041628975e-05,7310,0.0795669464617613
66,0.0664459982925967,0.07627422499639094,0.001826715824928371,0.0001,2.963565139180743e-06,0.003244692030077475,4.29940462428568e-05,7395,0.0664459982925967
67,0.07648524647216785,0.07687695290454274,0.002252911291725333,0.0001,4.606733439738678e-06,0.004089582627295309,4.786675208521446e-05,7314,0.07648524647216785
68,0.07945590210450723,0.0775261448330052,0.0024661631702412403,0.0001,5.52888387326251e-06,0.004483794048973389,5.5121194706741876e-05,7254,0.07945590210450723
69,0.07215212804328036,0.07806295456097703,0.001999745569478791,0.0001,3.61758804894939e-06,0.003618048319909288,3.9767599250938063e-05,7369,0.07215212804328036
70,0.07770063475193628,0.07860556548488615,0.0021515854257803126,0.0001,4.153298597330495e-06,0.0038606866802178897,6.051765010147388e-05,7251,0.07770063475193628
71,0.08703906308252866,0.07929299099819442,0.0025301377802535953,0.0001,5.701781893468173e-06,0.004507092015278855,6.127546160014163e-05,7210,0.08703906308252866
72,0.07418120694179947,0.07981067572547965,0.002250844929286905,0.0001,4.618069480101576e-06,0.0041034097196243876,5.445504608736336e-05,7324,0.07418120694179947
73,0.086083745066101,0.08045368308285235,0.002250426631277008,0.0001,4.545263091953108e-06,0.004039467920243987,5.588663941131679e-05,7196,0.086083745066101
74,0.08231750091108256,0.08102694344732027,0.0023016092673734147,0.0001,4.901777540805889e-06,0.004259435005142965,5.71838314008939e-05,7281,0.08231750091108256
75,0.07506734249186992,0.0815923655527176,0.0020348781669025794,0.0001,3.7835846288025576e-06,0.0037187333279631155,4.042926097009156e-05,7292,0.07506734249186992
76,0.09744632922699947,0.08224141477163296,0.002219882643864372,0.0001,5.103011003474121e-06,0.004597550251206793,6.196744905894115e-05,7082,0.09744632922699947
77,0.0823438514716189,0.08270318739621543,0.0022661683144552026,0.0001,4.727003184348471e-06,0.00417180238042898,6.491527448729761e-05,7285,0.0823438514716189
78,0.09019553195581857,0.08339714893207928,0.0024913552767339047,0.0001,5.391800280007885e-06,0.004328407377591189,4.962301086385149e-05,7183,0.09019553195581857
79,0.07983245691503986,0.08403804638192089,0.0022769220137166587,0.0001,4.854030299036209e-06,0.0042636772535857665,5.260912410843489e-05,7280,0.07983245691503986
80,0.08533583507747934,0.0845579330783694,0.00207468190882553,0.0001,3.941983554102071e-06,0.003800084762230961,6.22754368044285e-05,7197,0.08533583507747934
81,0.07724395734666763,0.08515944116520041,0.002246447449997013,0.0001,4.5694868838512164e-06,0.004068189428474984,6.53706950968332e-05,7319,0.07724395734666763
