iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.04509255146852204,0.045489231810431074,0.001150577974465625,0.0001,1.324104338483431e-06,0.0023016333840362255,6.4787005964978575e-06,3800,0.04509255146852204
1,0.04854746437304204,0.04566585286080725,0.0011013191177520116,0.0001,1.1809537006744838e-06,0.002144616726685033,3.1073346283746127e-06,3789,0.04854746437304204
2,0.06104502696928027,0.04590103083591856,0.0013471827571284035,0.0001,1.7861561513028876e-06,0.0026516909333224844,4.205174342036789e-06,3715,0.06104502696928027
3,0.03829230516221351,0.046078212443032174,0.0009321018557685093,0.0001,8.469223924785417e-07,0.0018172314264523423,5.329480903985246e-06,3807,0.03829230516221351
4,0.05047709992819447,0.04633463042640963,0.0012044708553888876,0.0001,1.4495722548077016e-06,0.002406986019333242,1.6623063030710795e-05,3789,0.05047709992819447
5,0.06959781024203031,0.046592100864598106,0.0013301820819780741,0.0001,1.763246258031025e-06,0.00265113518204809,1.7013390919915346e-05,3663,0.06959781024203031
6,0.051886196258750544,0.046867944855167765,0.001244274815113038,0.0001,1.5098016161240256e-06,0.0024267976781107885,3.7514176695576126e-06,3743,0.051886196258750544
7,0.043684004627522637,0.04711573645620293,0.0012325904237106078,0.0001,1.4948070013969274e-06,0.0024254723590938494,2.3993447400739334e-06,3791,0.043684004627522637
8,0.04849200177118281,0.04735417316625973,0.0011581298085403887,0.0001,1.2704828194451778e-06,0.002194024901312901,2.320346906287124e-06,3765,0.04849200177118281
9,0.037255139898796495,0.047550661992521046,0.0011601199256984147,0.0001,1.3083379271205593e-06,0.002255521861385002,2.5132570455286537e-06,3841,0.037255139898796495
10,0.05675427930978371,0.04779711849938915,0.00130941064620217,0.0001,1.6834260361512892e-06,0.0025712728715531954,1.5480087550157293e-05,3730,0.05675427930978371
11,0.04038300329080668,0.04794751341814969,0.0010817631091224959,0.0001,1.1348629076874972e-06,0.00209817269255572,1.3079076745587986e-05,3772,0.04038300329080668
12,0.05634782756840963,0.048250096407839,0.0013667415431602454,0.0001,1.8602086633036007e-06,0.002722107442497631,7.818434322902716e-06,3730,0.05634782756840963
13,0.03998000314226797,0.04841604405993756,0.0010607443867295307,0.0001,1.0786032639684763e-06,0.0020336723483289085,6.771876059012714e-06,3829,0.03998000314226797
14,0.04975227050120372,0.04860828798426948,0.0011477445660509112,0.0001,1.2338678438896977e-06,0.0021500739456952757,1.039319048984423e-05,3739,0.04975227050120372
15,0.05419674557304704,0.04884998251816593,0.001271476711881462,0.0001,1.602915694994097e-06,0.0025213449527080826,1.2041772148389988e-05,3757,0.05419674557304704
16,0.043664469248590985,0.049121771264619044,0.0012103776069260052,0.0001,1.441394241807797e-06,0.0023817265513834227,7.746942618295967e-06,3801,0.043664469248590985
17,0.04286349946806722,0.04935167950726829,0.001270806168261587,0.0001,1.5761994396558644e-06,0.0024806291927462767,6.255863551641185e-06,3798,0.04286349946806722
18,0.04111806937193767,0.04956267479272923,0.001140857588855493,0.0001,1.272834336310536e-06,0.0022313641049404634,8.900366525233364e-06,3836,0.04111806937193767
19,0.04972505122391925,0.04983751826436457,0.0014017336441129547,0.0001,1.8909618179701385e-06,0.0026980330049319423,7.816953036930118e-06,3783,0.04972505122391925
