iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.045362415777226134,0.04563414639981681,0.002008887010591865,0.0001,2.806120552386852e-06,0.002793706701861847,1.609270543137306e-05,7562,0.045362415777226134
1,0.04562766684918121,0.04602266088718392,0.001953631619865648,0.0001,2.736607017158159e-06,0.002801558890970813,9.358986510243643e-06,7544,0.04562766684918121
2,0.049272969935523325,0.04644156530127877,0.0021531821948936537,0.0001,3.3450813026560174e-06,0.0031071047406847356,1.0596436407646862e-05,7544,0.049272969935523325
3,0.04445311899998399,0.04676101658973324,0.0018682333007213215,0.0001,2.507567595229673e-06,0.0026844266123096155,1.6949052487994884e-05,7604,0.04445311899998399
4,0.043306371843903846,0.04713589627814907,0.0020728587108835165,0.0001,3.039118784703956e-06,0.002932297091689949,1.0388917909994644e-05,7610,0.043306371843903846
5,0.051814399928879554,0.047477539770192964,0.0021673488673933797,0.0001,3.5219529668867624e-06,0.0032500102035926807,1.5223882752293097e-05,7512,0.051814399928879554
6,0.05031513697306314,0.04780071882957666,0.0017946397553153292,0.0001,2.3850317986152517e-06,0.0026579504789764194,4.774414805576172e-06,7549,0.05031513697306314
7,0.04750314255630704,0.04808711324544018,0.0016164928188620667,0.0001,1.9338325705261788e-06,0.0023926274808786403,4.333937983744482e-06,7573,0.04750314255630704
8,0.04800361101306725,0.04843525997009434,0.001974495887115039,0.0001,2.8037917158469502e-06,0.002840007653744577,1.2901305157325641e-05,7581,0.04800361101306725
9,0.04571040566580442,0.048754276465683435,0.001804047642483725,0.0001,2.302866585626655e-06,0.0025529997450135854,9.008626770378795e-06,7566,0.04571040566580442
10,0.05550945043523741,0.049183279987349296,0.002098848247779105,0.0001,3.1227878620827435e-06,0.002975715719692569,2.6516484670328216e-05,7446,0.05550945043523741
11,0.056185323791612646,0.04960569071691011,0.0022341386602343825,0.0001,3.5634009583119503e-06,0.0031899550567180243,1.3797681669900484e-05,7505,0.056185323791612646
12,0.0451219826887789,0.049927104660078284,0.0020576171384216507,0.0001,2.9578480264517885e-06,0.0028750227350076247,1.2263293440730061e-05,7617,0.0451219826887789
13,0.050732777815908535,0.05022730452049495,0.0019852206220144107,0.0001,2.7042356774226055e-06,0.0027243679089718575,2.7462009251013342e-05,7556,0.050732777815908535
14,0.04694089709270563,0.050617916472899226,0.001997919043031194,0.0001,2.892938527554742e-06,0.0028959517029935765,1.1241731411711708e-05,7560,0.04694089709270563
15,0.04893056255439511,0.051018177378188936,0.00205993459199989,0.0001,2.973357325866806e-06,0.0028868463468833907,1.9333826663773583e-05,7549,0.04893056255439511
16,0.05425672716614002,0.051255016433649395,0.0015808293065667084,0.0001,1.7955981749099552e-06,0.0022717167090097645,1.4445907428525316e-05,7467,0.05425672716614002
17,0.047122809862682094,0.05160888090820444,0.0021566460322921797,0.0001,3.2753355241340086e-06,0.003037434493274574,1.3842871455489275e-05,7544,0.047122809862682094
18,0.04681404152386773,0.051934263235760225,0.0018417138195934773,0.0001,2.5256241938001145e-06,0.0027426890833208784,1.5441480407530424e-05,7580,0.04681404152386773
19,0.06712017956048238,0.052325310352482834,0.0020841507658050976,0.0001,2.966559984662563e-06,0.0028467806008425638,2.3766353480723945e-05,7377,0.06712017956048238
20,0.051750957852972373,0.05270341852760127,0.002078583579757734,0.0001,2.837629089441912e-06,0.0027303487981682672,1.9403071614967856e-05,7529,0.051750957852972373
21,0.05355232064064132,0.053128301876756365,0.0022173732710450748,0.0001,3.2524407137115883e-06,0.002933597835044411,3.030277550564712e-05,7515,0.05355232064064132
22,0.04892359162099994,0.05349502785236699,0.001877974383626327,0.0001,2.4792131649040525e-06,0.002640305625592982,1.2278343836005806e-05,7583,0.04892359162099994
23,0.0671505222544591,0.05395699115474796,0.0022695521646178283,0.0001,3.5863797998244207e-06,0.003160429494184668,3.105321520707341e-05,7317,0.0671505222544591
24,0.05811024193206226,0.054449041742371265,0.0023922948740404486,0.0001,3.958857009803464e-06,0.003309673111590279,2.8787556564013403e-05,7486,0.05811024193206226
25,0.050421847670480344,0.054846609959724506,0.002054952329004759,0.0001,2.9761932177337968e-06,0.002896605605615393,1.909122656037973e-05,7506,0.050421847670480344
26,0.05828430752857604,0.05527329497698171,0.0020105392473364365,0.0001,2.8899621915172873e-06,0.00287481300884418,1.826135046473678e-05,7484,0.05828430752857604
27,0.0624530531519116,0.05570328925083384,0.002141895370458713,0.0001,3.2322978897757338e-06,0.00301816599854128,2.3954667452030116e-05,7435,0.0624530531519116
28,0.049728605446889416,0.05605068604641683,0.0019812613682786773,0.0001,2.6117079879295807e-06,0.0026364093397719013,2.3882980289299733e-05,7545,0.049728605446889416
29,0.0555761558163163,0.05649974729947374,0.0021653480351355088,0.0001,3.1639521999409465e-06,0.002922349801142193,1.9710562959252283e-05,7499,0.0555761558163163
30,0.055960292089116355,0.05691084451531076,0.0020915281196810234,0.0001,3.0351007073821335e-06,0.002902280565890755,2.1450399995614223e-05,7495,0.055960292089116355
31,0.060369380243098555,0.057341314322189293,0.002235079179044015,0.0001,3.302183031570796e-06,0.002954868948296678,2.8649905699545353e-05,7440,0.060369380243098555
32,0.06061693623498994,0.05780570203399753,0.0022040169827432215,0.0001,3.3844440489979834e-06,0.003071159682976261,3.1922502423483836e-05,7486,0.06061693623498994
33,0.07034565139205198,0.058261803128971994,0.002292682020601436,0.0001,3.6579695706470937e-06,0.003190995993144748,3.450793155913078e-05,7343,0.07034565139205198
34,0.05698110727450929,0.05870532232160825,0.0023417866692600473,0.0001,3.712413351881902e-06,0.0031705820180921445,2.4316082124858308e-05,7493,0.05698110727450929
35,0.057634784373221684,0.059152335306026343,0.0022206877209312854,0.0001,3.325121627406076e-06,0.002994677365993294,2.2813381434566478e-05,7492,0.057634784373221684
36,0.053428621370751446,0.059601287336915706,0.0021797682480476934,0.0001,3.3239802068254466e-06,0.003049847349416678,4.010573110675478e-05,7562,0.053428621370751446
37,0.061605650410449526,0.05996803668360941,0.002061273356597665,0.0001,2.837091516016189e-06,0.0027527562095879298,3.172930485791988e-05,7392,0.061605650410449526
38,0.07127036424246269,0.06044102038086084,0.002413772913970545,0.0001,3.835695358257447e-06,0.0031781741654793075,2.430182253299798e-05,7299,0.07127036424246269
39,0.05160707830171863,0.060981708064617106,0.002468188798173497,0.0001,4.047318452944671e-06,0.0032795857885261916,2.326366950857872e-05,7540,0.05160707830171863
40,0.06511420826007652,0.0614445085737159,0.002205261303798105,0.0001,3.310391672974254e-06,0.0030022670486012613,4.170432853966877e-05,7407,0.06511420826007652
41,0.058528330142728235,0.06189184936776934,0.002366053297419624,0.0001,3.818828269323629e-06,0.0032280154242411837,2.436551311546845e-05,7468,0.058528330142728235
42,0.055520253315755656,0.06232770724470279,0.002079147236794863,0.0001,2.9466453971070367e-06,0.0028344749664285214,3.466512519502672e-05,7531,0.055520253315755656
43,0.05578598925126219,0.06277827892815875,0.002262804135993994,0.0001,3.3694574767995216e-06,0.002978125612554974,2.7204846387991614e-05,7500,0.05578598925126219
44,0.06720092367214478,0.06324541324335842,0.0022771875668325214,0.0001,3.47346039084259e-06,0.0030506581376377683,4.372345452070123e-05,7410,0.06720092367214478
45,0.06991649223471486,0.06362281921551179,0.002310397603091544,0.0001,3.7085333385380715e-06,0.003210298810538654,3.704442050972456e-05,7349,0.06991649223471486
46,0.0612786798232672,0.06389340565415333,0.0020788938450739913,0.0001,2.885312313918868e-06,0.002775814956358365,2.234149395051569e-05,7425,0.0612786798232672
47,0.0663953144147677,0.06437953235723984,0.0023092517246729176,0.0001,3.322229900355665e-06,0.0028773215711909664,3.3777903150287344e-05,7378,0.0663953144147677
48,0.06215689358829688,0.06478909175370069,0.0020689810592867098,0.0001,2.9360663645065025e-06,0.002838176165342687,3.865095023249959e-05,7423,0.06215689358829688
49,0.07245562369018554,0.06527670714196235,0.0023990477467805134,0.0001,4.002183273521551e-06,0.0033364765489910923,4.809883736949893e-05,7341,0.07245562369018554
50,0.0565852592111971,0.06569355821918975,0.0022813416150440986,0.0001,3.468669558461124e-06,0.003040903243589035,3.5884267956263234e-05,7501,0.0565852592111971
51,0.06826265289018149,0.0660729161259303,0.002195428352440933,0.0001,3.1485163485241372e-06,0.002868247870647692,3.633438230207837e-05,7376,0.06826265289018149
52,0.06625050667765865,0.06651335712350401,0.0021616948377573796,0.0001,3.0303972682804463e-06,0.002803723463043738,2.170700006516292e-05,7401,0.06625050667765865
53,0.06838708446354652,0.06704164792970096,0.0025078592923907257,0.0001,4.158134345657716e-06,0.0033160826512669246,3.312365884155986e-05,7378,0.06838708446354652
54,0.06854655111604607,0.06753050687224973,0.0024653025607731366,0.0001,3.895116794917155e-06,0.0031599503094627214,4.303658273008994e-05,7391,0.06854655111604607
55,0.06758204335346688,0.0680105361781295,0.002268243488430246,0.0001,3.3156719907322203e-06,0.002923559139611466,4.1915198994116345e-05,7404,0.06758204335346688
56,0.07400489057816324,0.06862989811279745,0.0027399856639781085,0.0001,4.60698727119415e-06,0.003362782026023738,3.2749437727012725e-05,7299,0.07400489057816324
57,0.051597337536421706,0.06898391673755874,0.0019846044700917403,0.0001,2.8257771122738115e-06,0.0028476980223098936,2.9561882636143712e-05,7523,0.051597337536421706
58,0.06911771607585915,0.06946717224998014,0.0023383234721726797,0.0001,3.6431231685852147e-06,0.003116012999861106,5.1523252854520357e-05,7428,0.06911771607585915
59,0.047906571827455155,0.06984313498719258,0.0019033927043271117,0.0001,2.4606050260371183e-06,0.0025854938084434783,3.525624532483621e-05,7569,0.047906571827455155
60,0.05551592009167626,0.07027738049166757,0.0021435941129273385,0.0001,2.9215805092200054e-06,0.002725870995447204,3.627819792696899e-05,7470,0.05551592009167626
61,0.07158742634938606,0.07076231499261723,0.0022954308060169765,0.0001,3.4187592375521664e-06,0.002978751725898796,4.598650095327778e-05,7376,0.07158742634938606
62,0.07554622291870419,0.07133650814119563,0.0026213736287508237,0.0001,4.5792341573132695e-06,0.0034937668610753782,3.997279052350998e-05,7306,0.07554622291870419
63,0.07473392574624993,0.07191880144417367,0.0025813289867498463,0.0001,4.3021655746134474e-06,0.0033332950559163774,4.665029947009262e-05,7341,0.07473392574624993
64,0.06669540075654018,0.07235169506797776,0.0021456126381183497,0.0001,3.026555622907313e-06,0.0028211575278206127,4.308974918775722e-05,7394,0.06669540075654018
65,0.06901902181509474,0.07278998251272942,0.0022694778839936975,0.0001,3.456522890324948e-06,0.0030460952404104125,4.4783709064945534e-05,7346,0.06901902181509474
66,0.07863210099058193,0.07334565685172553,0.0027066104694189468,0.0001,4.683346712445144e-06,0.0034606728713722614,4.690753139117727e-05,7286,0.07863210099058193
67,0.08261840310775112,0.07384186421536953,0.0023974636205844695,0.0001,3.805005040510745e-06,0.003174192098550496,4.2676771551585956e-05,7258,0.08261840310775112
68,0.08018997870191102,0.07434851660486916,0.0025397534026587987,0.0001,4.291511855375756e-06,0.0033794712910970724,4.443983126605391e-05,7232,0.08018997870191102
69,0.07870641183514396,0.07483806196274063,0.0025055666040577434,0.0001,3.8816492767897336e-06,0.0030984203497152582,5.925336625016908e-05,7268,0.07870641183514396
70,0.06722132734690799,0.07526464980544996,0.0021625672659127165,0.0001,2.8746577628542413e-06,0.002658560321489917,4.3792671985361084e-05,7381,0.06722132734690799
71,0.06660539496802742,0.07567052691183489,0.002358635342682594,0.0001,3.654846448981053e-06,0.0030991195483607175,4.847961230497946e-05,7422,0.06660539496802742
72,0.07383789782917788,0.07621495052886501,0.00237288077057764,0.0001,3.637697854850942e-06,0.0030660603768687482,4.292231953019199e-05,7318,0.07383789782917788
73,0.08174114844312674,0.0767074435780034,0.0023148645339246265,0.0001,3.5548822739035495e-06,0.0030713523161345377,5.9627307464548366e-05,7263,0.08174114844312674
74,0.07392567049741913,0.07724744165769666,0.0024777390369467656,0.0001,3.7000303756682085e-06,0.002986618300390207,3.692747838831704e-05,7332,0.07392567049741913
75,0.07742661628413061,0.07773339116503034,0.0024801135946759373,0.0001,3.958292496085144e-06,0.00319202515931723,5.231955225092364e-05,7313,0.07742661628413061
76,0.06388833524258108,0.07819173110731487,0.0022484580159416703,0.0001,3.077708685625974e-06,0.002737617214824452,3.5466421071423506e-05,7448,0.06388833524258108
77,0.08029649868535119,0.07871633209211952,0.002576379518928004,0.0001,4.4681889002902365e-06,0.003468579739486043,4.8173317941380195e-05,7248,0.08029649868535119
78,0.07621138984542059,0.07932639040262895,0.0025653886949510295,0.0001,4.324818842491076e-06,0.003371667498966375,4.1757355127946717e-05,7310,0.07621138984542059
79,0.07662087565198791,0.07979812262233507,0.002375339407108139,0.0001,3.7938688476338055e-06,0.0031943804209880536,7.086119197061968e-05,7291,0.07662087565198791
80,0.07934045654026123,0.08031873385976859,0.0025078826570372544,0.0001,3.888502048886361e-06,0.0031010239159117055,4.455132619212391e-05,7246,0.07934045654026123
81,0.07878114784411511,0.0808838524375178,0.0025056543531458684,0.0001,3.96993314660756e-06,0.0031687795578215147,5.140178797674272e-05,7264,0.07878114784411511
82,0.07904205737778035,0.08127635994595726,0.0023697563176214207,0.0001,3.7696116336456204e-06,0.0031814339775064018,4.540198407341004e-05,7220,0.07904205737778035
83,0.08449028898424155,0.08178567177316952,0.00235284860688917,0.0001,3.590899015254808e-06,0.0030523842500878393,5.486640411004305e-05,7274,0.08449028898424155
84,0.08107838890982606,0.08234105554900785,0.002370797843476504,0.0001,3.632690654540348e-06,0.003064530081749545,4.6218395527427925e-05,7289,0.08107838890982606
85,0.08404654428175226,0.082822530390915,0.0024877423533256424,0.0001,4.011495116200979e-06,0.00322500849884102,4.402507155470386e-05,7232,0.08404654428175226
86,0.08087624799911416,0.08332320798461013,0.0024905913117720052,0.0001,4.047966210350759e-06,0.003250606545696743,6.075470908283307e-05,7228,0.08087624799911416
87,0.07747822941452259,0.08392306228435192,0.0027189002863828157,0.0001,4.665648888493149e-06,0.0034320117673018874,5.3728295447067e-05,7290,0.07747822941452259
88,0.08268035231971485,0.08452753157923802,0.0027824777388204152,0.0001,5.067410436996994e-06,0.0036423726711612347,7.620754509727992e-05,7275,0.08268035231971485
89,0.08004875124644875,0.08509751116463052,0.0025897103249033727,0.0001,4.211333532626892e-06,0.003252358761618657,4.510840322526875e-05,7297,0.08004875124644875
90,0.08547390601411481,0.08561526158497741,0.0025232023829492183,0.0001,3.989231927044529e-06,0.003162038807510761,6.142940014349304e-05,7245,0.08547390601411481
91,0.08669311451309918,0.08627585756528067,0.0029276064089229573,0.0001,4.998060452145593e-06,0.003414434697855672,5.658311383568008e-05,7174,0.08669311451309918
92,0.0739831665233433,0.08674434908008066,0.0024998321161697964,0.0001,3.962883307119649e-06,0.003170519557282524,6.186837453086135e-05,7336,0.0739831665233433
93,0.07231314196474133,0.08728657477575072,0.00256214372929691,0.0001,4.17299025011722e-06,0.0032574208873616547,6.023514955140609e-05,7356,0.07231314196474133
94,0.08983092892330898,0.08786963969607797,0.0027059931628642168,0.0001,4.637610098957757e-06,0.003427658401064827,6.846411854510138e-05,7212,0.08983092892330898
95,0.09345501814038389,0.08848146332775192,0.0029011147107409906,0.0001,5.170044243016881e-06,0.0035641777444204337,5.875988999415556e-05,7140,0.09345501814038389
96,0.08649575657147962,0.08908022443796268,0.002692289242426744,0.0001,4.3974704937724e-06,0.003266714752987431,5.973080476973223e-05,7185,0.08649575657147962
97,0.09267182651172651,0.08962220742209673,0.0026896268470011733,0.0001,4.569976297387068e-06,0.00339822329070102,7.525563826623426e-05,7131,0.09267182651172651
98,0.0845386095272421,0.09007685824244821,0.002510839671933554,0.0001,3.94008266631012e-06,0.0031384581901845857,7.093755821524953e-05,7255,0.0845386095272421
99,0.08963964084968795,0.09069179247796277,0.0027740718984824845,0.0001,4.98535274520606e-06,0.0035942491237759373,6.770123252660615e-05,7178,0.08963964084968795
100,0.08641246451303139,0.09120487007286618,0.0025294346609990204,0.0001,4.034009650531074e-06,0.0031896531764436325,5.2445803185567626e-05,7240,0.08641246451303139
101,0.10318517777319014,0.09181172577529421,0.0030500281403481105,0.0001,5.811452587598815e-06,0.003810753422711393,9.586188083204249e-05,7049,0.10318517777319014
102,0.09145823328274624,0.09232522054749762,0.002584536835390699,0.0001,4.1797655290066255e-06,0.0032344406717459517,6.770880768861647e-05,7165,0.09145823328274624
103,0.10106825996430871,0.09294642660918764,0.002838399762016458,0.0001,4.917853359208602e-06,0.0034652295459007914,6.995427367373e-05,7035,0.10106825996430871
104,0.08342840814354446,0.09352754329844049,0.0025717894953130086,0.0001,4.199120252109906e-06,0.0032655240716727763,5.540394162293982e-05,7233,0.08342840814354446
105,0.09046422100195765,0.09403388071454927,0.0025389518172492824,0.0001,3.7507616048871516e-06,0.0029545748599126647,6.893480665868862e-05,7164,0.09046422100195765
106,0.08717511147480445,0.0944951372053118,0.0024598886771393766,0.0001,3.7618243395240093e-06,0.0030585321803250566,7.517409464810861e-05,7205,0.08717511147480445
