iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.050383575686205676,0.04569322386877475,0.001542233238533726,0.0001,3.0580935347413288e-06,0.003965799022265662,5.888340524617886e-06,7519,0.050383575686205676
1,0.044153022711061536,0.04611988314096048,0.0015834442684797832,0.0001,3.21886843395105e-06,0.004065654217235429,5.4004751382823225e-06,7605,0.044153022711061536
2,0.04662752217477718,0.04662146918570119,0.0017142144262016455,0.0001,3.7939565853125378e-06,0.00442646675622627,9.866052813190417e-06,7620,0.04662752217477718
3,0.04274908183651037,0.046988661787660854,0.0013840737371721373,0.0001,2.4641461584740477e-06,0.003560715144423815,8.745711051388435e-07,7585,0.04274908183651037
4,0.042582617511887695,0.047339192561019726,0.0013487674847600317,0.0001,2.3205325015849344e-06,0.0034409674429507703,6.306103720651724e-07,7572,0.042582617511887695
5,0.04573822115621925,0.047606809509469106,0.0014111011745854142,0.0001,2.541435127824035e-06,0.0036020594038137853,1.983387059196514e-05,7590,0.04573822115621925
6,0.03927911652517381,0.047967550537499175,0.0013078459187997808,0.0001,2.1588494082628158e-06,0.0033013818787522107,2.979445495510729e-06,7678,0.03927911652517381
7,0.04513011681583796,0.04834973645754436,0.0015595095305411491,0.0001,3.0977543462777955e-06,0.00397272897101549,2.1501752997120216e-05,7590,0.04513011681583796
8,0.06024168006926919,0.04879981730726706,0.0016981523020115975,0.0001,3.719402743362314e-06,0.0043805290479026916,2.402013477440241e-05,7421,0.06024168006926919
9,0.05191704964595744,0.04927862600188447,0.0018820728790204524,0.0001,4.5266680966704855e-06,0.004810300543756248,2.292711039404213e-05,7536,0.05191704964595744
10,0.04641127045336704,0.04965566326997958,0.0014733470922971776,0.0001,2.7390035635705667e-06,0.003718069663136924,4.113402447535146e-06,7586,0.04641127045336704
11,0.056332079035557925,0.050106574219731054,0.001663256196274162,0.0001,3.560600979859706e-06,0.004281482296997612,1.8666013946131627e-05,7457,0.056332079035557925
12,0.05083185123060799,0.0505772604332424,0.0016744489369908456,0.0001,3.6085903623358757e-06,0.0043101826309745565,1.697652760093544e-05,7551,0.05083185123060799
13,0.053072178296270735,0.0510400113954064,0.0016267685377870003,0.0001,3.3951087673105545e-06,0.004174052655246385,2.039775659010872e-05,7528,0.053072178296270735
14,0.05857912433500072,0.05151382788205341,0.001678275508303608,0.0001,3.6005613010567605e-06,0.004290786921744675,2.0316004570641466e-05,7481,0.05857912433500072
15,0.060662368614448764,0.052017830955122406,0.0017181823565035647,0.0001,3.7738377258718046e-06,0.004392825606184688,1.8394543451933564e-05,7458,0.060662368614448764
16,0.050266417706680624,0.05244208181851867,0.0015961208619201424,0.0001,3.2780628475863374e-06,0.004107537124278683,1.151327154379467e-05,7554,0.050266417706680624
17,0.05043096900845587,0.05289758519126216,0.001578033503180318,0.0001,3.18867591535359e-06,0.004041328538243625,2.458952045896694e-05,7573,0.05043096900845587
18,0.05692829724263504,0.053439875400860065,0.00179460704339187,0.0001,4.091473378924696e-06,0.004559742918641028,2.909317718646916e-05,7445,0.05692829724263504
19,0.05397374213649192,0.05391123273585696,0.001654775945484385,0.0001,3.5122837745048126e-06,0.004245026384495453,1.9692214767286543e-05,7525,0.05397374213649192
20,0.04667806749507569,0.05431647472496153,0.0015982779373798067,0.0001,3.237214533241844e-06,0.004050878082630467,1.1079254325109383e-05,7602,0.04667806749507569
21,0.06958044297754096,0.05485725123393388,0.0018962790807535252,0.0001,4.611990057675502e-06,0.004864252424113473,3.218011923086216e-05,7355,0.06958044297754096
22,0.05187142462350576,0.055310728893658,0.0015989423207406319,0.0001,3.2747642564619674e-06,0.004096163087290219,3.5946962854392474e-05,7516,0.05187142462350576
23,0.04999306852656543,0.05579291683316074,0.0016767157877222423,0.0001,3.5941372231853703e-06,0.004287115621506582,2.2747626096253538e-05,7561,0.04999306852656543
24,0.06132142428910674,0.05624863033250957,0.0017033857152883667,0.0001,3.697671738271369e-06,0.004341555415292876,2.4323147731402074e-05,7393,0.06132142428910674
25,0.06276488881853419,0.05684805894703429,0.0018812140620446797,0.0001,4.507713767069444e-06,0.0047923453880310005,3.463250585187096e-05,7437,0.06276488881853419
26,0.06562079226926243,0.05728478763920174,0.0016825998269306933,0.0001,3.615305531392501e-06,0.004297285038935661,3.0236010510575408e-05,7368,0.06562079226926243
27,0.0631766297950308,0.05780279329874804,0.0017597332945168023,0.0001,3.960992916803946e-06,0.004501810506337642,2.7267541023154938e-05,7425,0.0631766297950308
28,0.06447364118860702,0.05835143932113799,0.001834996715010639,0.0001,4.301931028663441e-06,0.004688761558506113,3.0386756409753857e-05,7441,0.06447364118860702
29,0.05885761043085891,0.05890023127024131,0.0018282995077751212,0.0001,4.271445060045848e-06,0.004672587879481321,3.141954616586574e-05,7445,0.05885761043085891
30,0.049511996520398234,0.05937914965669639,0.0016760540955546516,0.0001,3.555895295533526e-06,0.004243174853323315,1.0877546723983471e-05,7554,0.049511996520398234
31,0.06237594281203661,0.059795460275650386,0.0016234115865582466,0.0001,3.334824862113802e-06,0.004108415745860086,3.6167949151669507e-05,7411,0.06237594281203661
32,0.06055568727204462,0.06031227997977405,0.0018326317979714174,0.0001,4.241205516953557e-06,0.004628540792152844,2.5275527871765706e-05,7492,0.06055568727204462
33,0.05652380831169019,0.060797622422471886,0.0017397387050579868,0.0001,3.818859001966032e-06,0.004390152372725129,2.753411022265797e-05,7474,0.05652380831169019
34,0.05302084117377058,0.06132467756990563,0.0016744704010274762,0.0001,3.5533693354418153e-06,0.00424417097281794,2.643509052748382e-05,7530,0.05302084117377058
35,0.06064249302706323,0.061917361379788066,0.0018599478870552077,0.0001,4.377282723190447e-06,0.004706887492553191,2.9408941916344418e-05,7424,0.06064249302706323
36,0.05401040651033759,0.06243404374351776,0.0017229952372917183,0.0001,3.707953299361397e-06,0.004304078408469342,2.9087438845400335e-05,7508,0.05401040651033759
37,0.04593621373671851,0.0629168950603406,0.0016542027035711484,0.0001,3.4633318044743627e-06,0.004187312470228232,1.910387220101109e-05,7585,0.04593621373671851
38,0.0675843069134315,0.06347613062634652,0.0017716723045829998,0.0001,3.969444812398278e-06,0.004481014691181923,4.067920988757595e-05,7357,0.0675843069134315
39,0.07491994992942191,0.06404000353827922,0.0017546774854790496,0.0001,3.883202573483673e-06,0.004426115460669409,4.27334265394027e-05,7301,0.07491994992942191
40,0.06818459024062272,0.06462194415750261,0.0017183687690573088,0.0001,3.7265699887565876e-06,0.004337334402092248,4.2353123944811865e-05,7400,0.06818459024062272
41,0.07310145904393686,0.06515449017456015,0.0017595094035654365,0.0001,3.887341548045995e-06,0.004418665271317969,3.2990413583044684e-05,7285,0.07310145904393686
42,0.07100568127165188,0.06568516670642101,0.001740123645350187,0.0001,3.7998757646874824e-06,0.004367362945548373,4.461035158015648e-05,7362,0.07100568127165188
43,0.06169015701853149,0.06634338667494094,0.0019490296895663356,0.0001,4.763619013474117e-06,0.004888195432809476,2.853538628839118e-05,7456,0.06169015701853149
44,0.054356926353421715,0.06681888399483918,0.0016615369226948957,0.0001,3.4864820961380594e-06,0.004196695298811935,2.0862059345860546e-05,7529,0.054356926353421715
45,0.07707649715207607,0.06742800311500122,0.0019030502982902593,0.0001,4.545947406942441e-06,0.004777537841250562,4.776481660597118e-05,7275,0.07707649715207607
46,0.0685244082245973,0.06796604714907473,0.001799775451762466,0.0001,4.071815504562562e-06,0.004524803914371824,3.0930904485978536e-05,7386,0.0685244082245973
47,0.07403333190237493,0.06861286729733818,0.0019458666607723234,0.0001,4.759921385357348e-06,0.004892340756244945,5.092249864628899e-05,7305,0.07403333190237493
48,0.05825966192134953,0.069101410378493,0.0015882121229466107,0.0001,3.1825005512915835e-06,0.004007651755468392,3.0703587409358324e-05,7457,0.05825966192134953
49,0.06632713769908587,0.06968301005335092,0.0018179065580742745,0.0001,4.157733023193702e-06,0.004574198827466718,4.118104380880031e-05,7439,0.06632713769908587
50,0.07211914651024845,0.07023436163030376,0.001848980917454131,0.0001,4.292095637495653e-06,0.004642660826814218,4.331960105400243e-05,7331,0.07211914651024845
51,0.07165867425189472,0.07080650250372467,0.0016850011682368246,0.0001,3.5223641297217684e-06,0.004180844733072262,3.552548406061041e-05,7386,0.07165867425189472
52,0.062921824529458,0.07141751392078624,0.0019128685780210972,0.0001,4.592239446073812e-06,0.004801416572825489,3.311047611571056e-05,7412,0.062921824529458
53,0.06882290662575097,0.0719292438119349,0.0018637466451210376,0.0001,4.364144679784651e-06,0.004683195209187062,4.7194678130884904e-05,7397,0.06882290662575097
54,0.0726876292056253,0.07256747434020652,0.001959140514525225,0.0001,4.805931573886877e-06,0.004906163226430483,4.6745281046174276e-05,7313,0.0726876292056253
55,0.06718062295675092,0.0731074256766199,0.0017682300798080347,0.0001,3.899662654602452e-06,0.004410809089986539,4.521734474154407e-05,7368,0.06718062295675092
56,0.05879641499443099,0.0737366820492799,0.0017912738260999004,0.0001,3.99780648697541e-06,0.004463646404837772,4.597766338842454e-05,7435,0.05879641499443099
57,0.077873375928868,0.07433563085124317,0.0018425569545854593,0.0001,4.245817969314039e-06,0.004608615173330441,4.589017780730171e-05,7292,0.077873375928868
58,0.07249278899612233,0.07496092449319483,0.0018673246516776045,0.0001,4.358789436617545e-06,0.004668485935428111,3.6153566741306795e-05,7336,0.07249278899612233
59,0.07714872334130843,0.07547694994671353,0.0018359759471488473,0.0001,4.204916596087161e-06,0.004580579176559613,5.214116688360751e-05,7285,0.07714872334130843
60,0.088893819086377,0.07603988440143052,0.0019415355162267368,0.0001,4.798568921003229e-06,0.004943065816616091,6.840332841101196e-05,7152,0.088893819086377
61,0.06728187411984599,0.07662787506325155,0.0019471425688495996,0.0001,4.736072467895761e-06,0.004864638618315352,4.247282888185765e-05,7353,0.06728187411984599
62,0.0902176346849517,0.07731791943360228,0.0021175305640138775,0.0001,5.56814424322695e-06,0.005259092206605295,7.59268394740529e-05,7191,0.0902176346849517
63,0.07861893258794206,0.07795028449073962,0.0019099376011042538,0.0001,4.526855733515339e-06,0.004740317935934746,5.375558022387454e-05,7288,0.07861893258794206
64,0.08057437052974703,0.07861660896006648,0.0020195483359329003,0.0001,5.055193614268537e-06,0.005006261572772276,6.447085621191288e-05,7228,0.08057437052974703
65,0.07325940081328557,0.07917258642652783,0.0018451895874420042,0.0001,4.203310438646683e-06,0.004555965920525005,5.721822175309171e-05,7335,0.07325940081328557
66,0.07228339075275741,0.07966618803900821,0.0017502827323530121,0.0001,3.823682858239991e-06,0.004369217369926949,6.073287757950158e-05,7297,0.07228339075275741
67,0.08056851605166439,0.08013974762962672,0.0018248778164756357,0.0001,4.281760258144382e-06,0.004692654181542622,4.667790718220501e-05,7241,0.08056851605166439
68,0.06153462393313678,0.08064216219450401,0.0016309011125590534,0.0001,3.3357032310338505e-06,0.0040906259801365705,4.1207370297762567e-05,7448,0.06153462393313678
69,0.09635659220712145,0.08139227895389181,0.0022232377972953004,0.0001,6.100700444457407e-06,0.005488122279928191,5.15532532750909e-05,7119,0.09635659220712145
70,0.08451283756078548,0.081912797372448,0.0016243889167952077,0.0001,3.92807467038211e-06,0.004836372164040485,5.539584570409726e-05,7247,0.08451283756078548
71,0.07907556265195775,0.08244765795083106,0.001927313405389223,0.0001,4.71612786018564e-06,0.004893991653872416,5.0188816385397253e-05,7298,0.07907556265195775
72,0.09248939674380133,0.08311108554359409,0.0021254483766965835,0.0001,5.605339329449528e-06,0.00527450056271088,5.4710527673392567e-05,7146,0.09248939674380133
73,0.0916628750135969,0.08371773572291316,0.0018122646415494653,0.0001,4.860995228152483e-06,0.0053645534065007066,6.621326478368505e-05,7109,0.0916628750135969
74,0.07972048717255711,0.08430838820599248,0.002004034551688924,0.0001,4.9515166547579086e-06,0.004941548188962071,5.8678654163075694e-05,7257,0.07972048717255711
75,0.07674298671582308,0.08486379046445523,0.0018382756490047168,0.0001,4.146631216063211e-06,0.004511435723264124,6.205872986442083e-05,7306,0.07674298671582308
76,0.08400774624811691,0.08546419919773274,0.0020266839764455594,0.0001,5.120963248492369e-06,0.005053538990793839,5.9445216561484576e-05,7266,0.08400774624811691
77,0.0868669789796106,0.08613493969140432,0.0021473201816786737,0.0001,5.713994189179848e-06,0.005321976888153603,5.7585798050303086e-05,7196,0.0868669789796106
78,0.07855097829547406,0.08675045096273015,0.0019215435051666864,0.0001,4.555300384408153e-06,0.004741292999257905,5.295150293615884e-05,7287,0.07855097829547406
79,0.0757698848367133,0.0872925995964498,0.0017501351036792328,0.0001,3.7787842272067817e-06,0.00431827716530319,5.230770243257898e-05,7297,0.0757698848367133
80,0.09612999127744909,0.08806710553914371,0.0021101427463198256,0.0001,5.391156974528074e-06,0.005109755711010994,7.857037955887622e-05,7117,0.09612999127744909
81,0.0799534467940872,0.08867349644572163,0.0018509145799101517,0.0001,4.216114780113189e-06,0.004555709729530413,5.213632598217298e-05,7206,0.0799534467940872
82,0.08514968241728127,0.0893320902693086,0.0018896867137774805,0.0001,4.344296067506267e-06,0.0045979008433858605,5.8814540074914555e-05,7220,0.08514968241728127
83,0.07865048110690431,0.08990021201029491,0.0017975815976028697,0.0001,3.943440072596782e-06,0.004387494929693852,5.600194238841757e-05,7295,0.07865048110690431
84,0.08697376594403754,0.09052280474916641,0.001810325840189767,0.0001,4.015338657781422e-06,0.004436039710244112,7.964860679279198e-05,7249,0.08697376594403754
85,0.09774372870643104,0.09127336634777454,0.002141428295284418,0.0001,5.593951500745311e-06,0.005224505077348238,8.253046480454262e-05,7119,0.09774372870643104
86,0.08473808815442399,0.09189377532537185,0.0019457137808161547,0.0001,4.614857962451046e-06,0.004743614408194492,6.031064474564555e-05,7189,0.08473808815442399
87,0.08875920644557093,0.09263620414624554,0.0020959509801742105,0.0001,5.370400828214976e-06,0.005124548120651755,6.892052752580772e-05,7194,0.08875920644557093
88,0.09009165220129088,0.09338068708293265,0.0021370664635443474,0.0001,5.586627791194525e-06,0.005228314501673518,6.108660661910729e-05,7191,0.09009165220129088
89,0.08235011144176052,0.09404823866848253,0.002088454769625083,0.0001,5.396097429416847e-06,0.005167550198260266,6.0403085015127124e-05,7276,0.08235011144176052
90,0.09864512637039599,0.09469284653775853,0.002035390160554462,0.0001,5.078990415573554e-06,0.004990679933512091,4.492130478773439e-05,7117,0.09864512637039599
91,0.0925048833573944,0.09535937984894524,0.002079044731947054,0.0001,5.358488199706822e-06,0.005154759892721041,6.318565383935629e-05,7188,0.0925048833573944
92,0.09671185874142249,0.09602895291362978,0.0020468265398902465,0.0001,5.1583276410891706e-06,0.005040317330813745,7.284845228551033e-05,7137,0.09671185874142249
93,0.09926446953479373,0.09672790984966842,0.002134346149032839,0.0001,5.57609282514815e-06,0.005225106365876884,8.147189843193024e-05,7122,0.09926446953479373
94,0.09906136894669762,0.09743045647169465,0.0021564775399106574,0.0001,5.7029702420615155e-06,0.005289153386960653,8.669711899224568e-05,7106,0.09906136894669762
95,0.10828915558900173,0.09808955844157753,0.0018153445575076347,0.0001,4.732917892520295e-06,0.005214346635129503,8.109380868002708e-05,7023,0.10828915558900173
96,0.10131735199292344,0.09881188462087692,0.0021808359064349097,0.0001,5.8247190203513885e-06,0.005341730666818729,7.45311510165808e-05,7107,0.10131735199292344
97,0.11803118605117456,0.0994306095596019,0.001922064862140355,0.0001,5.322666856897997e-06,0.005538488280744941,8.758138250848536e-05,6927,0.11803118605117456
98,0.08745121758250056,0.10006596229207113,0.0019006782645147266,0.0001,4.402204505586631e-06,0.004632245854308841,7.01838698933935e-05,7229,0.08745121758250056
99,0.0945325283919451,0.1006987655950212,0.0017339873159804482,0.0001,4.272005926557426e-06,0.0049273785190774655,7.370725940337118e-05,7170,0.0945325283919451
100,0.10050745457723667,0.10143306946684996,0.002125425194408626,0.0001,5.425195575594343e-06,0.005105044948056935,7.993424472713679e-05,7078,0.10050745457723667
101,0.09823632393636991,0.10215821111245428,0.002073035883615676,0.0001,5.185442242985749e-06,0.0050027520352822685,7.497560342934444e-05,7099,0.09823632393636991
102,0.09875117222837868,0.10294792996902177,0.0022227676492445505,0.0001,5.939908544878327e-06,0.005344605898774096,8.349003489130423e-05,7118,0.09875117222837868
103,0.0931000991021479,0.10356908780930471,0.002021644190864196,0.0001,5.0114019057049555e-06,0.004957748676400591,7.618293220257263e-05,7160,0.0931000991021479
