iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.05020860526912776,0.04564086824452406,0.0016438675971813244,0.0001,2.6717766813062884e-06,0.003250598388687117,1.8969166953388474e-06,7556,0.05020860526912776
1,0.049190488896710065,0.04598475385308612,0.001767202715346368,0.0001,3.075740589399697e-06,0.00348091428639171,6.895746232280562e-06,7575,0.049190488896710065
2,0.05264037485965954,0.04638547217087105,0.0018510446981247397,0.0001,3.404865042907259e-06,0.0036788577243506513,1.2908830076793662e-05,7485,0.05264037485965954
3,0.0499168535147505,0.04672811591633537,0.0017804554915559591,0.0001,3.1018985490474453e-06,0.0034843876342414634,1.2451183788541023e-05,7533,0.0499168535147505
4,0.04133333072827323,0.04710618272099402,0.0016363586330375552,0.0001,2.5730543959303334e-06,0.0031448538773606117,9.060152496448654e-06,7643,0.04133333072827323
5,0.04473351387150229,0.04758284773228452,0.0018489969059583135,0.0001,3.2630020293073315e-06,0.003529483493230785,1.2177030514492877e-05,7634,0.04473351387150229
6,0.037684166909533925,0.047945996509592054,0.0015224504410412615,0.0001,2.255352219539578e-06,0.0029627922968672228,1.673326561304657e-05,7668,0.037684166909533925
7,0.047460926231725986,0.04830819667593886,0.0017424706978914843,0.0001,2.930295259659417e-06,0.0033633796691161424,9.737732837023705e-06,7574,0.047460926231725986
8,0.04432034727112668,0.04867366115232186,0.0016366455661975252,0.0001,2.5948805308317777e-06,0.0031709743201890107,1.4894009095751404e-05,7503,0.04432034727112668
9,0.037676326450361175,0.04899084329379094,0.001590432058141761,0.0001,2.4718358553414796e-06,0.003108382835579331,5.772108178643469e-06,7640,0.037676326450361175
10,0.05761064148037208,0.04941259715264344,0.001790589819727145,0.0001,3.0599478987979754e-06,0.0034178100032583214,3.185467937090814e-05,7457,0.05761064148037208
11,0.04440031899822023,0.049852473849773205,0.0018143178008735753,0.0001,3.2247015411154694e-06,0.003554726233257271,6.853693009445269e-06,7590,0.04440031899822023
12,0.03974787240515713,0.050273834802733355,0.0017056784933014402,0.0001,2.804856089552291e-06,0.0032888449969528883,1.4867517704361944e-05,7626,0.03974787240515713
13,0.043321084117537094,0.050607476968051374,0.0016081047299480757,0.0001,2.4229073311902205e-06,0.003013370069831775,1.4867621731687831e-05,7597,0.043321084117537094
14,0.05377922826263998,0.05107528380953335,0.0019729922378105536,0.0001,3.6832057838908483e-06,0.003733624201155635,2.140107598272633e-05,7474,0.05377922826263998
15,0.04754597288715586,0.05149806765313285,0.0017746350071578762,0.0001,3.0642542709276937e-06,0.0034533909886463646,1.6128708249093093e-05,7575,0.04754597288715586
16,0.050454965168876806,0.051824653648627164,0.001443455688752347,0.0001,2.428357299921014e-06,0.0033646440536321117,2.2731072877855195e-05,7505,0.050454965168876806
17,0.0620155822668208,0.05227105828811742,0.002022139094840075,0.0001,4.0601776530790754e-06,0.004015725390443709,2.1767217576265923e-05,7429,0.0620155822668208
18,0.05940496149746302,0.05278748697911684,0.0019700735445561707,0.0001,3.815204803575917e-06,0.0038731597752970476,3.0091137573264257e-05,7441,0.05940496149746302
19,0.05636993682449525,0.05325375559450969,0.001963160469529107,0.0001,3.716652813587033e-06,0.0037863973641222783,3.549971780780437e-05,7514,0.05636993682449525
20,0.05410411841572697,0.05368366577921781,0.001753098904005482,0.0001,2.9789315525996295e-06,0.003398475175351903,1.5449106872777095e-05,7511,0.05410411841572697
21,0.05617338239380523,0.05415009739705193,0.0020244429677505745,0.0001,3.770853870463753e-06,0.0037253248726030275,2.361105669825795e-05,7510,0.05617338239380523
22,0.054429327484017555,0.05461651218835871,0.0018212304592981757,0.0001,3.252095233050135e-06,0.0035713165420079274,2.1018175599905806e-05,7508,0.054429327484017555
23,0.053288435888684926,0.05503878581437148,0.0017465108637224015,0.0001,2.859641530559766e-06,0.0032746908020542262,1.9859712611097183e-05,7448,0.053288435888684926
24,0.06011148590521069,0.05555929648199471,0.0019892729178318416,0.0001,3.7801387256127582e-06,0.003800522986793413,2.8593960899451146e-05,7450,0.06011148590521069
25,0.06231724602676739,0.05606116403211232,0.0019569020443204895,0.0001,3.595827296442401e-06,0.003675020225849893,2.9936311517645324e-05,7426,0.06231724602676739
26,0.05066752765170225,0.0565123736282876,0.0018028467375930742,0.0001,3.026089503433112e-06,0.003357012485124666,2.9200639258531948e-05,7548,0.05066752765170225
27,0.06769841929903835,0.057047609012113615,0.0020056408465227845,0.0001,3.86916262816482e-06,0.003858280643688381,3.206817637360914e-05,7385,0.06769841929903835
28,0.0533199418182636,0.05746906574568593,0.0018124339975804104,0.0001,3.142230868686258e-06,0.003467415500791885,2.322937842426031e-05,7566,0.0533199418182636
29,0.0650368123634559,0.058023045001773216,0.00221628419834192,0.0001,4.698771153385162e-06,0.0042402243871977035,3.756125351704399e-05,7401,0.0650368123634559
30,0.05528577685964925,0.058539471246287444,0.002023425884018507,0.0001,3.947431604673282e-06,0.003901730857404785,3.1776567268911365e-05,7516,0.05528577685964925
31,0.0638646647201061,0.05901634262285939,0.0019433844732194374,0.0001,3.6229511805968412e-06,0.0037284965795728628,3.366963296836017e-05,7422,0.0638646647201061
32,0.05889839574474248,0.0594675030905413,0.0018691413632157643,0.0001,3.4535182180656e-06,0.003695299120794153,2.9834324381039424e-05,7456,0.05889839574474248
