iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.04238590499907276,0.04544656225296975,0.0013382872377439403,0.0001,1.2309411269774572e-06,0.001839576874472112,7.222585019818406e-06,3781,0.04238590499907276
1,0.06495184082206588,0.04570012786339795,0.00141015962407329,0.0001,1.4287823407925864e-06,0.002026412210931843,8.220563304843813e-06,3701,0.06495184082206588
2,0.05177600566629627,0.04586881205852136,0.0014242361898929507,0.0001,1.4183086015137674e-06,0.001991676116052592,4.872427416239807e-06,3792,0.05177600566629627
3,0.0505753806966859,0.04607455625725548,0.0013741193486586252,0.0001,1.2739240098601907e-06,0.0018541679237742453,1.0862073593633382e-05,3758,0.0505753806966859
4,0.053097114291940556,0.04629218659244072,0.0014192511561364038,0.0001,1.3859995354514765e-06,0.0019531420206477797,1.820426778605517e-05,3755,0.053097114291940556
5,0.05124659173033681,0.04653790751803027,0.001313298333525637,0.0001,1.2255690717651502e-06,0.001866398579026637,4.200814356122677e-06,3793,0.05124659173033681
6,0.03894334075685771,0.04670114196319228,0.0012808329824463794,0.0001,1.1429299026840972e-06,0.0017846665698772238,9.200670981237079e-06,3822,0.03894334075685771
7,0.023664396524898296,0.04683939441871145,0.0010661324893700527,0.0001,7.089703377834641e-07,0.0013299854283633627,9.768651868577581e-07,3899,0.023664396524898296
8,0.04837242959398627,0.04705357100221791,0.0012981145340437215,0.0001,1.2172921034312582e-06,0.001875477196360023,9.28950194965443e-06,3806,0.04837242959398627
9,0.03708065718043435,0.047231568088933376,0.0012145070591833298,0.0001,1.0310096991628271e-06,0.0016978241359191573,3.305400347742403e-06,3809,0.03708065718043435
10,0.05681635758748288,0.047454408165846236,0.0014532853269903063,0.0001,1.4792610824766973e-06,0.0020357476333160065,1.391023307267003e-05,3740,0.05681635758748288
11,0.0432311552410905,0.047648041873359685,0.0012823044189650312,0.0001,1.1896150816010683e-06,0.0018554331779675624,7.079528082376782e-06,3803,0.0432311552410905
12,0.040269990463776,0.04779865304540728,0.0011310400343095117,0.0001,8.956692278326129e-07,0.0015837975680134252,9.352431967394542e-06,3812,0.040269990463776
13,0.04718907635708584,0.04802874135789423,0.0014473098002214771,0.0001,1.4836956150861885e-06,0.0020502806169890417,1.1056766948143847e-05,3773,0.04718907635708584
14,0.030549712167842285,0.04817331464352839,0.0011502893055082973,0.0001,9.34572293529545e-07,0.0016249343344395784,4.103296659903343e-06,3848,0.030549712167842285
15,0.03947251912570014,0.04834123439907449,0.0012110556332589385,0.0001,1.0240735135545275e-06,0.0016912080426871154,1.8868139937222473e-06,3820,0.03947251912570014
