iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.03359157741275057,0.04558198284431918,0.0013271861267606254,0.0001,2.275515110464711e-06,0.0034290821228198823,6.232427298524242e-06,7645,0.03359157741275057
1,0.049403866266969174,0.04596884430395118,0.0015007223496747572,0.0001,2.869807366421078e-06,0.0038245680382424296,4.479559189222271e-06,7556,0.049403866266969174
2,0.047649482140600594,0.046378526112144366,0.0017444790955479673,0.0001,3.9007130219126995e-06,0.004472066225233184,1.8559202494633223e-05,7580,0.047649482140600594
3,0.056126720362627266,0.046837877631176035,0.0017744736569583342,0.0001,4.065349364418586e-06,0.004582034056664548,1.1781341516312125e-05,7480,0.056126720362627266
4,0.036470359943556005,0.04723638030123166,0.0015254133643919426,0.0001,2.981932363512217e-06,0.003909671218464601,1.5494284063210475e-05,7664,0.036470359943556005
5,0.04218003695127875,0.04763963081017793,0.0015372126209039073,0.0001,2.9922257244175145e-06,0.0038930538088583137,6.026037384220551e-06,7593,0.04218003695127875
6,0.0434582832343415,0.04804012790651097,0.0016038095511994267,0.0001,3.2812525429637154e-06,0.004091823172532916,1.6678839397267302e-05,7623,0.0434582832343415
7,0.05250717320424335,0.04852037701349994,0.0017074658264691874,0.0001,3.6978194275250662e-06,0.004331353951805484,1.3674976378511485e-05,7526,0.05250717320424335
8,0.051568773898354715,0.04895881384372052,0.001597476287673708,0.0001,3.232699107625194e-06,0.004047257705881501,2.0115925197783203e-05,7544,0.051568773898354715
9,0.049395087529240767,0.04940868342881005,0.0015452392950370216,0.0001,3.0653852762165434e-06,0.003967521776157138,2.221959259358716e-05,7531,0.049395087529240767
10,0.04683263679388259,0.04982898953735077,0.0014516791104728878,0.0001,2.7040422036116795e-06,0.0037253993449431555,1.2940797728553426e-05,7560,0.04683263679388259
11,0.0524192601379789,0.050212115603979965,0.0014947669533202069,0.0001,2.8548367215513645e-06,0.0038197750026653238,6.890616375927994e-06,7521,0.0524192601379789
12,0.05150848078545389,0.050577674377121525,0.0014825263483691585,0.0001,2.7724973207042534e-06,0.003740233451842684,1.8007987483220596e-05,7448,0.05150848078545389
13,0.05443329983934257,0.051092034161051,0.0018860339864757295,0.0001,4.521980846963933e-06,0.004795227317630445,2.4812832763559028e-05,7473,0.05443329983934257
14,0.05213563518096961,0.05146097684755638,0.0014319847428476043,0.0001,2.625124482872691e-06,0.003666414039653024,1.0749097313196606e-05,7518,0.05213563518096961
15,0.047192969279774094,0.0519085756998767,0.0015689700754895253,0.0001,3.132054433982971e-06,0.003992497349582345,1.3939792938355675e-05,7574,0.047192969279774094
16,0.04490081734039006,0.052276812172729274,0.001618064490070674,0.0001,3.395832798477139e-06,0.004197401054551065,8.145887860909362e-06,7616,0.04490081734039006
