# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
0.000000000000000000000000000000e+00;4.574533402408690468954333141482e-02;3.262486121836866148626654648979e-02;9.919565669673697551333990674038e-05;1.761631650306618501744537752529e+00;1.174312106963992796693219133886e+00;8.000000000000000444089209850063e-01;1.120166893948165709460340622172e-01;1.752296205968083058976403343365e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.858421026659133194194536975452e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;4.623212823428261147862272650855e-02;3.272766227900186786214931089489e-02;9.202206579754253874207231556070e-05;1.758544749849473287639511909219e+00;1.172071535246778317684857029235e+00;8.000000000000000444089209850063e-01;1.119836752569593751882592869151e-01;1.764269524667480635443661540762e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.887020858622623293568074109849e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;4.672750166424442797019622730659e-02;3.282960239481899633595674004027e-02;8.474106496618105601077719502001e-05;1.766740393367105754762746983033e+00;1.154420184664908255456339247758e+00;8.000000000000000444089209850063e-01;1.119502310830299968147372169369e-01;1.788489782208989081410677179917e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.935770421855876560518656959164e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;4.723403699680474299160692908117e-02;3.293165308325600448835501765643e-02;7.730111226499845585372061584906e-05;1.764900409115846446894693144714e+00;1.138057709053341026717021122749e+00;8.000000000000000444089209850063e-01;1.119161199961132835412058739166e-01;1.821740584155997523529979531531e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.999646446255673179503466185825e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;4.774602560216043012353281937976e-02;3.303428246698801584724236590773e-02;6.966266821411533176604952144473e-05;1.761685218413566955675264580350e+00;1.135880771930404709024742260226e+00;8.000000000000000444089209850063e-01;1.118811615754073396367118675698e-01;1.834261752103257935714308857200e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.029676041868568711211591459875e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;4.826350907372884552204439501111e-02;3.313616069574940037334442877182e-02;6.191140685428555634831071508017e-05;1.758453826598185276708363744547e+00;1.133690497788935935830068046926e+00;8.000000000000000444089209850063e-01;1.118457480220576838458867996451e-01;1.846860966646401893548334882666e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.059894088675111376365856052928e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;4.878652877007096100303584762514e-02;3.323726601624089199704670249957e-02;5.404672224479733859923979988338e-05;1.755206206864190932037672610022e+00;1.131486847640651660640287445858e+00;8.000000000000000444089209850063e-01;1.118098755126531174131088164359e-01;1.859538298788539472522485240802e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.090298455211136393868190386236e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;4.931512579736756218817816943556e-02;3.333757655387696583471068834115e-02;4.606802772450305227813771580259e-05;1.751942333700255760575714703009e+00;1.129269783675189486871204280760e+00;8.000000000000000444089209850063e-01;1.117735402324694232722990250295e-01;1.872293811591752270978572525451e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.120886913764507706193357394753e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;4.984934099162758452949972820534e-02;3.343707031963509546113044734739e-02;3.797475654051344902233100508937e-05;1.748662182910603268837235191313e+00;1.127039269289326739453827030957e+00;8.000000000000000444089209850063e-01;1.117367383766692395807851312384e-01;1.885127560135248193581847253597e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.151657139486221275749555648105e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;5.038921490063411057214182164898e-02;3.353572521711564030644225908873e-02;2.976636247846561802304909960526e-05;1.745365731636232098367145226803e+00;1.124795269116277030008177462150e+00;8.000000000000000444089209850063e-01;1.116994661515234438242671899388e-01;1.898039591478723657827498705331e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.182606709551844161162556523514e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
