# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
0.000000000000000000000000000000e+00;4.572530171076518573647362586598e-02;2.588213559944145536473314450632e-02;9.919565669673697551333990674038e-05;1.523263300713237455852322455030e+00;8.956914662883523892134007837740e-01;8.000000000000000444089209850063e-01;1.120166893948165709460340622172e-01;2.107774680695901313443041402707e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.727685504942036422864649891640e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;4.619164827462399203206189213233e-02;2.595020525473711037189872286035e-02;9.239789569914276133252850620181e-05;1.520052604895960612907401809935e+00;8.937029241406562185545681131771e-01;8.000000000000000444089209850063e-01;1.119851617760196510475978470822e-01;2.122494096428619372862733882812e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.753957872714522819466639869113e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;4.666278656903467131344953600092e-02;2.601764616541819841177840544333e-02;8.550137321030104923212655787523e-05;1.516826302215808386364415127900e+00;8.917034775995134054937807377428e-01;8.000000000000000444089209850063e-01;1.119532463893476298411044922432e-01;2.137318192481656078246521346387e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.780399423744946135880415361008e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;4.714904378330030815247297937276e-02;2.608399163922129476711475604134e-02;7.850550048942241565964189620175e-05;1.520730169937074105490637521143e+00;8.667253284591579509665848490840e-01;8.000000000000000444089209850063e-01;1.119209399597832499395622107841e-01;2.198861588000432937262118571198e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.867754363860408058735027014841e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;4.764034532057236093205432325703e-02;2.615156117902600260705092694025e-02;7.125516852674175060766009748292e-05;1.517386294780686206706832308555e+00;8.647720706981645300004402088234e-01;8.000000000000000444089209850063e-01;1.118875275307909256117255836216e-01;2.214406251008630907572971580066e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.895509027423492210253155865196e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;4.813672848171381829507353700137e-02;2.621842168094121877652824537108e-02;6.390043492325196217498928241696e-05;1.514026185084328846031098692038e+00;8.628076272440106109229418507311e-01;8.000000000000000444089209850063e-01;1.118537023000144015050238976983e-01;2.230060640577598198713848987040e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.923433512436668111678962633793e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;4.863823037294857237755607570762e-02;2.628455665188335343973591307076e-02;5.644073774134001795707571424998e-05;1.510649814880168362307699680969e+00;8.608319700138831187530286115361e-01;8.000000000000000444089209850063e-01;1.118194608705679465865401311930e-01;2.245825233535484691943517887580e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.951526029054631663746735559251e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;4.914488789139852958909315816527e-02;2.634994953245487631088295188420e-02;4.887553120894519431693936439842e-05;1.507257159406874880147597650648e+00;8.588450718829641061802249168977e-01;8.000000000000000444089209850063e-01;1.117847998513519514052205749977e-01;2.261700504517995691938780922214e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.979784707578845569827911965444e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;4.965673771040209766303163974044e-02;2.641458370216326345669699549035e-02;4.120428624470386406650201926993e-05;1.503848195129005915759989875369e+00;8.568469067061363908521798293805e-01;8.000000000000000444089209850063e-01;1.117497158580191829457817220828e-01;2.277686926002178268574338559915e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.008207597710374283663491146168e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;5.017381626461724086762927754535e-02;2.647844248477996056956307313612e-02;3.342649098480305453438832241631e-05;1.500422899756268968474159919424e+00;8.548374493397254969551113390480e-01;8.000000000000000444089209850063e-01;1.117142055139585671286184265227e-01;2.293784968346285202400736125128e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.036792667840496287730810143213e-05;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
