# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;4.591069625855052904750408515611e-02;3.936758684969744737092156583458e-02;9.270270499739493749258992670094e-19;1.600000000000000088817841970013e+00;1.398650836020234544676554833131e+00;2.775557561562891351059079170227e-16;1.136648048711513716697783816341e-17;1.954640949327044168598588314012e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.847474866630374727748467589272e-05
1.000000000000000000000000000000e+00;4.656691881683146239101489527457e-02;3.954722387560048735277717923964e-02;9.382747866949372178831592987492e-19;1.596872574481077000640993901470e+00;1.395688522145505983118596304848e+00;2.775557561562891351059079170227e-16;1.138909069965885059763328457141e-17;1.971581452300854350040415496892e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.898528654156172544055503070837e-05
2.000000000000000000000000000000e+00;4.723247344288847293647393144056e-02;3.972569668002368797887768891997e-02;9.496437122088434924092791712522e-19;1.593724210131542085022715582454e+00;1.392701889688284344614999099576e+00;2.775557561562891351059079170227e-16;1.141145927197367887849257735798e-17;1.988646901876118654878267122399e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.950019181379975906093920956508e-05
3.000000000000000000000000000000e+00;4.776949847245418045993403666216e-02;3.990294948146058673366098901170e-02;9.611341497190045488739869334124e-19;1.997638713854654746171490842244e+00;1.389690830073046612369580543600e+00;2.775557561562891351059079170227e-16;1.143358035956248581091476880758e-17;1.597082500694456267190113329946e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.186415117146782540738167432970e-05
4.000000000000000000000000000000e+00;4.831204076316092388410083913186e-02;4.004326520624674340398385652406e-02;9.703763497457594552047463030497e-19;1.996329733951070606323696665640e+00;1.387274207015625648864443064667e+00;2.775557561562891351059079170227e-16;1.145102432512683345809335242984e-17;1.606543121432813664428707056686e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.216561613840281824185096670732e-05
5.000000000000000000000000000000e+00;4.900223059939122494110819161506e-02;4.018261095434778884527560194329e-02;9.796871804199189391944982389144e-19;1.585463394147269111655873530253e+00;1.384844258191607835328795772512e+00;2.775557561562891351059079170227e-16;1.146828828060438037758669999391e-17;2.033473369095108260889981366404e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.085513463818780672664326969468e-05
6.000000000000000000000000000000e+00;4.970208952548988562414322700533e-02;4.035643699282741997391710242482e-02;9.914939167545432857451915498664e-19;1.582239396557595600967260907055e+00;1.381769383653151495039423934941e+00;2.775557561562891351059079170227e-16;1.148974034282074736875878520504e-17;2.050985297223732999744028049349e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;4.138522946031249704311461012907e-05
7.000000000000000000000000000000e+00;5.026409659638479687782108840111e-02;4.052883833995085671730862486584e-02;1.003423024588656067812668034541e-18;1.992207744694581839084435159748e+00;1.378669720542517573846907907864e+00;2.775557561562891351059079170227e-16;1.151092377416851768448446851234e-17;1.639558001614504047574460976477e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.322469059820356798067367276595e-05
8.000000000000000000000000000000e+00;5.083155009886579367428538489548e-02;4.066452146088839203486031692591e-02;1.012971330470546633286323523961e-18;1.991519564626494931403044574836e+00;1.376193634499758067235575254017e+00;2.775557561562891351059079170227e-16;1.152752980027951833529427974546e-17;1.648576233070746851344656747074e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.351928180480797953705307534733e-05
9.000000000000000000000000000000e+00;5.140347870513516104207241141921e-02;4.079906908045378977067940695633e-02;1.022584261335338636090250201894e-18;1.994260696669190480179167934693e+00;1.373705087517317791068194310355e+00;2.775557561562891351059079170227e-16;1.154393902924008634659826776356e-17;1.654749686813407859309332792463e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.375612339157975686724372232916e-05
