iteration,performance_mc,performance_true,alpha,beta,bound,policy_advantage,model_advantage,total_samples,avg_return
0,0.050731773100319066,0.04568642555050147,0.001576935474361448,0.0001,3.1998650135780366e-06,0.004058333477308277,1.118582096053531e-05,7517,0.050731773100319066
1,0.053124260210380234,0.04616634315911205,0.0017429211566285755,0.0001,3.9382001743911656e-06,0.00451908011950355,1.1746196302167095e-05,7516,0.053124260210380234
2,0.044344405814870286,0.04664247215135201,0.0016030977169685433,0.0001,3.2823941861171624e-06,0.004095064388619014,7.821957039139122e-06,7626,0.044344405814870286
3,0.05195543630587094,0.04704505017580342,0.001526956037636072,0.0001,2.9923815641500065e-06,0.003919407619334745,6.1068632936514595e-06,7517,0.05195543630587094
4,0.05247423685170611,0.047484409856548414,0.0016670029076382036,0.0001,3.5501808071854683e-06,0.0042593576662866605,1.8985791719771277e-05,7538,0.05247423685170611
5,0.04811101076196,0.04786838675715489,0.0015731828032266477,0.0001,3.181085100896023e-06,0.004044139173618624,5.871692993325947e-06,7541,0.04811101076196
6,0.046986603714312736,0.04824702218981302,0.0015590319696305427,0.0001,3.1358915046546417e-06,0.00402287004466981,8.27268240793335e-06,7589,0.046986603714312736
7,0.0450009795644563,0.04865350801987264,0.0016087938150495893,0.0001,3.3594179873224816e-06,0.004176318874297675,1.4399485074614166e-05,7578,0.0450009795644563
8,0.04664409887059026,0.04909731865257398,0.0015229965070408767,0.0001,2.979263051482567e-06,0.003912370169871446,1.8117704676913226e-05,7563,0.04664409887059026
9,0.04399751341475938,0.04946644167861545,0.0014333852257078384,0.0001,2.647846016449908e-06,0.0036945351032794975,9.721970665821474e-06,7591,0.04399751341475938
10,0.06620196352361704,0.04996925185967378,0.001718574736520367,0.0001,3.768650714810156e-06,0.00438578623870687,3.273371759494706e-05,7411,0.06620196352361704
11,0.05153209520955743,0.050407275749851266,0.0016091094148061535,0.0001,3.32493348725706e-06,0.004132638162032764,2.061704954082871e-05,7509,0.05153209520955743
12,0.044619738331813985,0.050845098956079485,0.0016244309561337582,0.0001,3.2946162540873245e-06,0.004056332762740137,1.0881221949660888e-05,7592,0.044619738331813985
13,0.04707775889781288,0.05128761645627049,0.0016181711690496843,0.0001,3.3294931258009548e-06,0.004115130944714942,1.4772172267254452e-05,7612,0.04707775889781288
14,0.06310679860126336,0.05176924242810539,0.0017256612069291187,0.0001,3.839546007617248e-06,0.00444994184513178,1.098437923556577e-05,7453,0.06310679860126336
