# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;w_current[0];w_current[1];w_current[2];w_current[3];w_target[0];w_target[1];w_target[2];w_target[3]
0.000000000000000000000000000000e+00;4.576153152000339563443276347243e-02;3.936758684969744737092156583458e-02;9.919565669673697551333990674038e-05;2.000000000000000000000000000000e+00;1.452932747734294594010862056166e+00;8.000000000000000444089209850063e-01;1.120166893948165709460340622172e-01;1.505292080261163255305856267796e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;2.962985835192154650350598865671e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;4.627581724114616240628450327677e-02;3.950613446836270803430579690030e-02;9.172549888077063116095105632652e-05;2.000000000000000000000000000000e+00;1.417511009133154420425171338138e+00;8.000000000000000444089209850063e-01;1.119824834067726926356556305109e-01;1.548337356183597914374705517560e-03;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.058441189788921354183320877596e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+00;4.679585779935650086125420443750e-02;3.964698435635242990127125040090e-02;8.397557429633015842369847536730e-05;1.996903325287632480211641450296e+00;1.415141911976455446620093425736e+00;8.000000000000000444089209850063e-01;1.119470572010539261009753886356e-01;1.558872573613791440508280494726e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.090229826980641953011741396296e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+00;4.732169951562446852388887919005e-02;3.978709161503660857173159115519e-02;7.610622899958029098557016345339e-05;1.993790407461683678036479250295e+00;1.412757132900164247502061698469e+00;8.000000000000000444089209850063e-01;1.119111446457167757806416830135e-01;1.569468752968728245122953524060e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.122229853065202183565532423337e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
4.000000000000000000000000000000e+00;4.785338847605231926696234268093e-02;3.992642893758206745769001599911e-02;6.811677378085565653671046293383e-05;1.990661215717203669228752005438e+00;1.410356617012804569810668908758e+00;8.000000000000000444089209850063e-01;1.118747414792013172846196766841e-01;1.580125796078738235547755941468e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.154439015478901835957264987442e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
5.000000000000000000000000000000e+00;4.839097051181165398681116585067e-02;4.006496881359155465274213270277e-02;6.000654044068217730402425846847e-05;1.987515720578995503942110190110e+00;1.407940310800479544184327096445e+00;8.000000000000000444089209850063e-01;1.118378434486194950014947835371e-01;1.590843594827377012121405464029e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.186854950703036699509104745509e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
6.000000000000000000000000000000e+00;4.893449117876449983022268952482e-02;4.020268353728273513780777648208e-02;5.177488252069200528986125942055e-05;1.984353893925293821354216561303e+00;1.405508162165491237161063509120e+00;8.000000000000000444089209850063e-01;1.118004463111469670710818036241e-01;1.601622031087028595955357168634e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.219475183106592025908399001821e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
7.000000000000000000000000000000e+00;4.948399573675623525081945786042e-02;4.033954521596593012500164832090e-02;4.342117603713127279609074182787e-05;1.981175709011309793439181703434e+00;1.403060120465107640796986743226e+00;8.000000000000000444089209850063e-01;1.117625458354393891413636197285e-01;1.612460976659724470189116729557e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.252297123847276911264708720850e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
8.000000000000000000000000000000e+00;5.003952912858727897216226665478e-02;4.047552577882092966765625874359e-02;3.494482021635248857743816230936e-05;1.977981140492622857962601301551e+00;1.400596136550478876259262506210e+00;8.000000000000000444089209850063e-01;1.117241378030734422210912271112e-01;1.623360293223363249107138450711e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.285318069833827620560354199064e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
9.000000000000000000000000000000e+00;5.060113595867191116361993863393e-02;4.061059698597213607484945896431e-02;2.634523823165577636508383196912e-05;1.974770164448402365309220840572e+00;1.398116162805671303104304570297e+00;8.000000000000000444089209850063e-01;1.116852180100128821838012527223e-01;1.634319832283512470560982166035e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.318535202752364898825046535258e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+01;5.116886047139143633977198533103e-02;4.074473043786115689091076319528e-02;1.762187794082423317361396630787e-05;1.971542758404442485797858353180e+00;1.395620153186804879297255865822e+00;8.000000000000000444089209850063e-01;1.116457822680989309116483809703e-01;1.645339435130957960948250295985e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.351945588159680437670764896474e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.100000000000000000000000000000e+01;5.174274652915235306327446096475e-02;4.087789758491417596575345783094e-02;8.774212623683573736635410433848e-06;1.968298901355992613915191213891e+00;1.393108063261245588293490982323e+00;8.000000000000000444089209850063e-01;1.116058264065630661887595920234e-01;1.656418932805160150467660429285e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.385546174646108792509469065379e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.200000000000000000000000000000e+01;5.232283759015760038479925242427e-02;4.101006973750433853842523035382e-02;1.982582810090751518350415949499e-07;1.965038573790367282256852377031e+00;1.390579850246859372475682903314e+00;8.000000000000000444089209850063e-01;1.115653462735644585457350785873e-01;1.667558146063828758073888103297e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;3.419333793071052364975423443205e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.300000000000000000000000000000e+01;5.290917668590196243361134520455e-02;4.114121807620470250288491342872e-02;9.296008440080449214404367808129e-06;1.961761757709313380715343555494e+00;1.388035473051270951572178091737e+00;8.000000000000000444089209850063e-01;1.115243377377487521417975813165e-01;1.678756885358731205243332240684e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.453305155873686996866739340462e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.400000000000000000000000000000e+01;5.350180639840224072756313944410e-02;4.127131366233052073289044869853e-02;1.851948389252941582112932383808e-05;1.958468436651125355041358488961e+00;1.385474892311126637878260225989e+00;8.000000000000000444089209850063e-01;1.114827966898295358300075008628e-01;1.690014950817930565463154124473e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.487456856461745028285745262586e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.500000000000000000000000000000e+01;5.410076883717319928823741292945e-02;4.140032744876723236338023070857e-02;2.786910231902177230434158872185e-05;1.955158595712480185113690822618e+00;1.382898070431316295270107730175e+00;8.000000000000000444089209850063e-01;1.114407190441911166267630051152e-01;1.701332132234615246088593742968e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.521785368681120884353646927067e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.600000000000000000000000000000e+01;5.470610561596165460906959765452e-02;4.152823029108043684232143277768e-02;3.734525231499337752372191800987e-05;1.951832221569979708419850794598e+00;1.380304971624131571417137820390e+00;8.000000000000000444089209850063e-01;1.113981007405120127184972034229e-01;1.712708209062659180446641649098e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.556287046368902630966157829562e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.700000000000000000000000000000e+01;5.531785782925058292391895520268e-02;4.165499295890445763390630418144e-02;4.694829266817059413262336331485e-05;1.948489302501383413357416429790e+00;1.377695561948335978286195313558e+00;8.000000000000000444089209850063e-01;1.113549377454085692606966517815e-01;1.724142950419093591948871413422e-03;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.590958122992605057151663250359e-05;5.000000000000000000000000000000e-01;5.000000000000000000000000000000e-01;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
