# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;adv_budget;adv_disadvantage;adv_dist_sup;adv_dist_mean
0.000000000000000000000000000000e+00;7.925124031481696196266284459853e-01;8.784827082599622194436506106285e-01;1.497232708259962574715018490679e+00;2.000000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.999999999999999777955395074969e+00;1.750000000000000000000000000000e+00;0.000000000000000000000000000000e+00;4.564692826250833670824469390226e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.532582195546219189230541246616e-03;1.000000000000000020816681711722e-03;7.968160415932080400600034941760e-04;2.000000000000001776356839400250e-03;1.999999999999917642268254525106e-03
1.000000000000000000000000000000e+00;7.971988908375978732934186155035e-01;8.770571877622502787730240925157e-01;1.495564924734444911536002109642e+00;2.000000000000000000000000000000e+00;1.502202724689911672584230473149e+00;1.999087061434749568178403933416e+00;1.750302038362282264216673866031e+00;0.000000000000000000000000000000e+00;4.560903256085897111704596795789e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.534713255716438958659031399634e-03;1.000391278830141915390239404360e-03;7.909317082454342309055794757455e-04;2.000782557660257809928339156613e-03;2.000782557660252605757911226192e-03
2.000000000000000000000000000000e+00;8.018736827761216989784998077084e-01;8.737974449142107413734947840567e-01;1.491621245567278153387746897351e+00;2.000000000000000000000000000000e+00;1.501197924106567826996183612209e+00;1.998175297165980079938663038774e+00;1.748678912446442357264686506824e+00;0.000000000000000000000000000000e+00;4.555176381718681701861461963432e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.537507894098207386623933246028e-03;1.000782710759407032746759469433e-03;7.925546927178409896408428636505e-04;2.001565421518946771839431164608e-03;2.001565421518822739110898822901e-03
3.000000000000000000000000000000e+00;8.065348371714493591611017109244e-01;8.705569950531629741519168419472e-01;1.487698633029701955621248998796e+00;2.000000000000000000000000000000e+00;1.500196828909073243352167992271e+00;1.997265093073961716996223003662e+00;1.747060359763304315805498845293e+00;0.000000000000000000000000000000e+00;4.549478724134074455499876510345e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.540294457781483505182107407450e-03;1.001174295847699277639542003726e-03;7.941663024405441924369331019307e-04;2.002348591695337839957424819204e-03;2.002348591695313553828761143905e-03
4.000000000000000000000000000000e+00;8.111824336349825470549035344447e-01;8.673370700057863036391836430994e-01;1.483798310133756181983244459843e+00;2.000000000000000000000000000000e+00;1.499199846599465146823604300153e+00;1.996356441569222095466784594464e+00;1.745446706892690436063730885508e+00;0.000000000000000000000000000000e+00;4.543813415862810829379259125460e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.543072472603292371456928933071e-03;1.001566034154946624110116282225e-03;7.957664338992737670247512582478e-04;2.003132068310023352480930824981e-03;2.003132068309913631221075291933e-03
5.000000000000000000000000000000e+00;8.158165545163497123226648000127e-01;8.641374953502196643029265032965e-01;1.479920092236963302667618336272e+00;2.000000000000000000000000000000e+00;1.498206950898093747781558704446e+00;1.995449334451017575631226463884e+00;1.743837923889636432051020165090e+00;0.000000000000000000000000000000e+00;4.538180224020471609236437871004e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.545842036459960230562749039507e-03;1.001957925741100681807371763909e-03;7.973552027710544215857724204000e-04;2.003915851482206134104302464038e-03;2.003915851482190521593018672775e-03
6.000000000000000000000000000000e+00;8.204372814547044034938494405651e-01;8.609580962148190019789240068349e-01;1.476063794329991019083081482677e+00;2.000000000000000000000000000000e+00;1.497218115029995466613854659954e+00;1.994543763580253648015627732093e+00;1.742233980469840126659164525336e+00;0.000000000000000000000000000000e+00;4.532578912313996481395217408306e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.548603246982076459339894292100e-03;1.002349970666136262306689097557e-03;7.989327237227875641925600724846e-04;2.004699941332322397913312528317e-03;2.004699941332281631911627073350e-03
7.000000000000000000000000000000e+00;8.250446953808758809856271909666e-01;8.577986996508886186063591594575e-01;1.472229233411644688800379299209e+00;2.000000000000000000000000000000e+00;1.496233312463105757927905870019e+00;1.993639720880004295722187634965e+00;1.740634846615942477043859071273e+00;0.000000000000000000000000000000e+00;4.527009246759133116386197848158e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.551356200575393796264878076840e-03;1.002742168990051379109940121737e-03;8.004991100584296897374469992315e-04;2.005484337980209010032783822908e-03;2.005484337980178652371954228784e-03
8.000000000000000000000000000000e+00;8.296388765252843411346361790493e-01;8.546591346108067810405373165850e-01;1.468416228466065343027935341524e+00;2.000000000000000000000000000000e+00;1.495252516906680817498909163987e+00;1.992737198334891157713855136535e+00;1.739040492575512297790396587516e+00;0.000000000000000000000000000000e+00;4.521470995661882675067944070690e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.554100992438561118502704516686e-03;1.003134520772867681326356859017e-03;8.020544737379274287739083781901e-04;2.006269041545819496741298593179e-03;2.006269041545777863377875149808e-03
9.000000000000000000000000000000e+00;8.342199044257638806953991661430e-01;8.515392319224940331778839208710e-01;1.464624600436285728477514567203e+00;2.000000000000000000000000000000e+00;1.494275702308506925675146703725e+00;1.991836187990466466857242266997e+00;1.737450888858043329676661414851e+00;0.000000000000000000000000000000e+00;4.515963929590635812794108261414e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;-1.556837716581930880152540019878e-03;1.003527026074630670512966013064e-03;8.035989253966221643188383438883e-04;2.007054052149326826837150150595e-03;2.007054052149280856665036765207e-03
