# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;adv_budget;adv_disadvantage;adv_dist_sup;adv_dist_mean
0.000000000000000000000000000000e+00;7.968160415932955542572813101287e-01;8.784827082599622194436506106285e-01;1.497232708259962574715018490679e+00;2.000000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.999999999999999777955395074969e+00;1.750000000000000000000000000000e+00;0.000000000000000000000000000000e+00;4.564692826250833670824469390226e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.417203701311179219260449890783e-04;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.000000000000000000000000000000e+00;8.014921438070631287686751420551e-01;8.784827082599622194436506106285e-01;1.496549267519699855100157037668e+00;2.000000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.999087061434749568178403933416e+00;1.749201178755406038689557135513e+00;0.000000000000000000000000000000e+00;4.566777419863585901760316687614e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.416735125669757540747828450378e-04;5.000000000000000409015269570157e-06;3.988139442485317390555375760552e-06;1.000000000001618084138899078539e-05;9.999999999977857682723417220849e-06
2.000000000000000000000000000000e+00;8.061624548135581935781601714552e-01;8.752004214968314155242978813476e-01;1.492586558992957668223766631854e+00;2.000000000000000000000000000000e+00;1.499004128721366901899614276772e+00;1.998174122869499802490622641926e+00;1.747581690871099491246809520817e+00;0.000000000000000000000000000000e+00;4.560988801951651764807205147179e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.401960988189543962090244377805e-04;1.000000000000000081803053914031e-05;7.989024992969751188566507327238e-06;1.999999999997064347410924423087e-05;1.999999999995705028937170721903e-05
3.000000000000000000000000000000e+00;8.108189146436425298603012379317e-01;8.719335317006936536543548754707e-01;1.488640994535653350183679322072e+00;2.000000000000000000000000000000e+00;1.498010695360362909411833243212e+00;1.997262757889623818741142713407e+00;1.745965739961722107409514137544e+00;0.000000000000000000000000000000e+00;4.555219919987717192011444922173e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.386326375236783318284361499195e-04;1.499999999999999868594696694757e-05;1.200247839880837907996710689496e-05;3.000000000004821726351522670484e-05;3.000000000001151024371301434535e-05
4.000000000000000000000000000000e+00;8.154615945702515800164178472187e-01;8.686875441207849712910160633328e-01;1.484718070464568384636550035793e+00;2.000000000000000000000000000000e+00;1.497021419097041894374910953047e+00;1.996352960779605112406898115296e+00;1.744354730600002456597508171399e+00;0.000000000000000000000000000000e+00;4.549484133581671889065556335652e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.369853441947556369970295797600e-04;2.000000000000000163606107828063e-05;1.602830659358806534220062700591e-05;4.000000000005908551425903851850e-05;3.999999999998700639857948657685e-05
5.000000000000000000000000000000e+00;8.200905791121110288699469492713e-01;8.654622864128456161125768630882e-01;1.480817604463221526245320092130e+00;2.000000000000000000000000000000e+00;1.496036275282039973433256818680e+00;1.995444723167595801882612249756e+00;1.742748634077898595151623339916e+00;0.000000000000000000000000000000e+00;4.543781218840238348734283935215e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.352541218808530111734900192033e-04;2.500000000000000119804340059648e-05;2.006632348776461475452041749445e-05;4.999999999995518418878168165342e-05;4.999999999993765399490530665361e-05
6.000000000000000000000000000000e+00;8.247059520687460842935934124398e-01;8.622575785228364653178800836031e-01;1.476939406584130143329502971028e+00;2.000000000000000000000000000000e+00;1.495055236522959241085573012242e+00;1.994538036741959396991319408698e+00;1.741147419501671400610121054342e+00;0.000000000000000000000000000000e+00;4.538110930988796076594737893828e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.334388709622679932038924466298e-04;2.999999999999999737189393389514e-05;2.411634560625195786566325739653e-05;6.000000000000874967633068823858e-05;5.999999999997761274518962015811e-05
7.000000000000000000000000000000e+00;8.293077965049453492696329703904e-01;8.590732423850663268538596639701e-01;1.473083288950665536987116865930e+00;2.000000000000000000000000000000e+00;1.494078275674725730937097978313e+00;1.993632893255278260014051738835e+00;1.739551056249697413846888593980e+00;0.000000000000000000000000000000e+00;4.532473027640960671486025646004e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.315394930889201162774182485293e-04;3.500000000000000371013983424540e-05;2.817819203382626290781305666844e-05;7.000000000002980942749586379392e-05;7.000000000001383099797885867233e-05
8.000000000000000000000000000000e+00;8.338961947590329826240918009717e-01;8.559091019115329102007194705948e-01;1.469249065745516613645804682164e+00;2.000000000000000000000000000000e+00;1.493105365841753018329995938984e+00;1.992729284523708344067927100696e+00;1.737959513973510006223932577996e+00;0.000000000000000000000000000000e+00;4.526867268808502106983149282371e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.295558911674584972630042134512e-04;4.000000000000000327212215656125e-05;3.225168437616540516700916474413e-05;8.000000000002785698755003451765e-05;7.999999999997420253253915811698e-05
9.000000000000000000000000000000e+00;8.384712284510655866398565194686e-01;8.527649829651039459221806282585e-01;1.465436553182989154464621606166e+00;2.000000000000000000000000000000e+00;1.492136480375026774680691232788e+00;1.991827202426337484197915728146e+00;1.736372762594667662483516323846e+00;0.000000000000000000000000000000e+00;4.521293416871877200551022024655e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.274879693419845594522243903413e-04;4.500000000000000283410447887711e-05;3.633664672172399708657136718770e-05;9.000000000012826678521399292876e-05;8.999999999991648144334610570638e-05
1.000000000000000000000000000000e+01;8.430329784909179613450191936863e-01;8.496407133331057570657662836311e-01;1.461645569481723194726896508655e+00;2.000000000000000000000000000000e+00;1.491171592869222184418731558253e+00;1.990926638904550127762149713817e+00;1.734790772301665562338257586816e+00;0.000000000000000000000000000000e+00;4.515751236551125832527353587409e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.253356329751364451469131111594e-04;5.000000000000000239608680119296e-05;4.043290560371110248065462666744e-05;9.999999999999448891362108238212e-05;9.999999999997069067593502555980e-05
1.100000000000000000000000000000e+01;8.475815250862575034318524558330e-01;8.465361227013306066879749778309e-01;1.457875934837847831104795659485e+00;2.000000000000000000000000000000e+00;1.490210677159863550400586973410e+00;1.990027585961398504110775320441e+00;1.733213513546886463956298030098e+00;0.000000000000000000000000000000e+00;4.510240494877225782624496908113e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.230987886294570013250015971806e-04;5.500000000000000873433270154322e-05;4.454028996306514569594736663305e-05;1.100000000000272580482491013854e-04;1.100000000000023349508090908522e-04
1.200000000000000000000000000000e+01;8.521169477504062506056925485609e-01;8.434510426284613782144106153282e-01;1.454127471398556803450219376828e+00;2.000000000000000000000000000000e+00;1.489253707320525643709174801188e+00;1.989130035660986006718076168909e+00;1.731640957043599104991926651564e+00;0.000000000000000000000000000000e+00;4.504760961163822700382974861810e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.207773440491615648574585950570e-04;5.999999999999999474378786779027e-05;4.865863111218354407003228168094e-05;1.200000000000599865252956521822e-04;1.200000000000068064087352381897e-04
1.300000000000000000000000000000e+01;8.566393253101004523486494690587e-01;8.403853065209032635607400152367e-01;1.450400003236107959736500561121e+00;2.000000000000000000000000000000e+00;1.488300657660072801036221790127e+00;1.988233980127853683939065376762e+00;1.730073073762995239377460165997e+00;0.000000000000000000000000000000e+00;4.499312406979411645829847188338e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.183712081421619446985893375768e-04;6.499999999999999430577019010613e-05;5.278776269931958889988082850309e-05;1.300000000001239671299640976443e-04;1.300000000000557437082604472778e-04
1.400000000000000000000000000000e+01;8.611487359131383412247373598802e-01;8.373387496080076930482505304099e-01;1.446693356322221957199758435308e+00;2.000000000000000000000000000000e+00;1.487351502719931994889179804886e+00;1.987339411546376499728694398073e+00;1.728509834931261535118096617225e+00;0.000000000000000000000000000000e+00;4.493894606119900269301792317123e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.158802909624677064323594599671e-04;7.000000000000000742027966849079e-05;5.692752067281036027802942900422e-05;1.400000000001255112420245341198e-04;1.400000000000181481218941570432e-04
