# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound
0.000000000000000000000000000000e+00;8.015137734192271379285443799745e-01;8.784827082599622194436506106285e-01;1.497232708259962574715018490679e+00;2.000000000000000000000000000000e+00;1.500000000000000000000000000000e+00;1.999999999999999777955395074969e+00;1.750000000000000000000000000000e+00;0.000000000000000000000000000000e+00;4.564692826250833670824469390226e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.417203701311179219260449890783e-04
1.000000000000000000000000000000e+00;8.061977559126354275775838686968e-01;8.752073991123214824483511620201e-01;1.493273281281779496509898308432e+00;2.000000000000000000000000000000e+00;1.498993079845824860640846054594e+00;1.999087061434749568178403933416e+00;1.748374613754550388478037348250e+00;0.000000000000000000000000000000e+00;4.558934894878150477504075155366e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.403867834812349980888601663764e-04
2.000000000000000000000000000000e+00;8.108680730288725380106029660965e-01;8.719529131232123253525401196384e-01;1.489336454530211018010277257417e+00;2.000000000000000000000000000000e+00;1.497990308399806513861562962120e+00;1.998175690658522407616715099721e+00;1.746754171250454179542543897696e+00;0.000000000000000000000000000000e+00;4.553209734711412054117274372800e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.390630621513767263899841175601e-04
3.000000000000000000000000000000e+00;8.155248079899467539277679861698e-01;8.687190703819929193940652112360e-01;1.485422037746197965191186085576e+00;2.000000000000000000000000000000e+00;1.496991658340621533795911091147e+00;1.997265879357885243194914437481e+00;1.745138641566456705334076104918e+00;0.000000000000000000000000000000e+00;4.547517103440187782696646490166e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.377491061238904724271792101575e-04
4.000000000000000000000000000000e+00;8.201680432927874742077278824581e-01;8.655056929703476287230046182231e-01;1.481529842750715086907575823716e+00;2.000000000000000000000000000000e+00;1.495997102597160566261891290196e+00;1.996357619283235740326176710369e+00;1.743527994056223828778229290037e+00;0.000000000000000000000000000000e+00;4.541856761141520944409510907036e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.364448166565134974888284791206e-04
5.000000000000000000000000000000e+00;8.247978607173879206371225336625e-01;8.623126049353362354565888381330e-01;1.477659683416856273296957624552e+00;2.000000000000000000000000000000e+00;1.495006614345616879901967877231e+00;1.995450902248155689022723890957e+00;1.741922198345204897407256794395e+00;0.000000000000000000000000000000e+00;4.536228470250669897630146909506e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.351500962628567231380016799847e-04
6.000000000000000000000000000000e+00;8.294143413348462612333378274343e-01;8.591396322628627180151283937448e-01;1.473811375642354981607695663115e+00;2.000000000000000000000000000000e+00;1.494020167006600452452858007746e+00;1.994545720128779509039418371685e+00;1.740321224327531002273872218211e+00;0.000000000000000000000000000000e+00;4.530631995532255289725609426199e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.338648486932330010368286110634e-04
7.000000000000000000000000000000e+00;8.340175655152840539230396643688e-01;8.559866028515842328872054167732e-01;1.469984737322549861460174724925e+00;2.000000000000000000000000000000e+00;1.493037734242308456344972000807e+00;1.993642064863162532972751250782e+00;1.738725042162959200098271139723e+00;0.000000000000000000000000000000e+00;4.525067104051874017876799793925e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.325889789158302674819400746031e-04
8.000000000000000000000000000000e+00;8.386076129356698771744049736299e-01;8.528533464872134484124899245217e-01;1.466179588323762272850103727251e+00;2.000000000000000000000000000000e+00;1.492059289953721501476024968724e+00;1.992739928450665720660595070512e+00;1.737133622273859590023903365363e+00;0.000000000000000000000000000000e+00;4.519533565148057424089300671000e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.313223930982101754320889863692e-04
9.000000000000000000000000000000e+00;8.431845625875260541448596995906e-01;8.497396948172477593175244692247e-01;1.462395750457113230424965877319e+00;2.000000000000000000000000000000e+00;1.491084808277848727797731953615e+00;1.991839302951341705849586105614e+00;1.735546935342244800892785860924e+00;0.000000000000000000000000000000e+00;4.514031150404708707564449543526e-04;1.000000000000000000000000000000e+00;1.000000000000000000000000000000e+00;3.300649985891440218316317256608e-04
